sample_name,clonal_or_population,tech_rep_description,media_description,carbon_source,nitrogen_source,phosphorous_source,sulfur_source,calcium_source,supplement,temperature,strain,strain_details,taxonomy_id,reseq_reference,breseq_version,reseq_date,experiment,project,person,doi
A0 F0 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),42,511145,BOP27,,NC_000913_3.gb,0.27.0b,15:38:18 14 Feb 2016,42C,42C,Troy Sandberg,10.1093/molbev/msu209
A1 F124 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),42,511145,BOP27,,NC_000913_3.gb,0.27.1,12:08:49 20 Apr 2016,42C,42C,Troy Sandberg,10.1093/molbev/msu209
A2 F163 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),42,511145,BOP27,,NC_000913_3.gb,0.27.1,13:12:26 20 Apr 2016,42C,42C,Troy Sandberg,10.1093/molbev/msu209
A3 F120 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),42,511145,BOP27,,NC_000913_3.gb,0.27.1,12:41:51 20 Apr 2016,42C,42C,Troy Sandberg,10.1093/molbev/msu209
A4 F161 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),42,511145,BOP27,,NC_000913_3.gb,0.27.1,10:55:37 20 Apr 2016,42C,42C,Troy Sandberg,10.1093/molbev/msu209
A5 F125 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),42,511145,BOP27,,NC_000913_3.gb,0.27.1,10:37:05 20 Apr 2016,42C,42C,Troy Sandberg,10.1093/molbev/msu209
A6 F164 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),42,511145,BOP27,,NC_000913_3.gb,0.27.1,11:56:13 20 Apr 2016,42C,42C,Troy Sandberg,10.1093/molbev/msu209
A7 F135 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),42,511145,BOP27,,NC_000913_3.gb,0.27.1,11:18:12 20 Apr 2016,42C,42C,Troy Sandberg,10.1093/molbev/msu209
A8 F164 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),42,511145,BOP27,,NC_000913_3.gb,0.27.1,15:21:02 20 Apr 2016,42C,42C,Troy Sandberg,10.1093/molbev/msu209
A9 F131 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),42,511145,BOP27,,NC_000913_3.gb,0.27.1,14:34:27 20 Apr 2016,42C,42C,Troy Sandberg,10.1093/molbev/msu209
A10 F153 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),42,511145,BOP27,,NC_000913_3.gb,0.27.1,09:48:56 20 Apr 2016,42C,42C,Troy Sandberg,10.1093/molbev/msu209
