sample_name,clonal_or_population,tech_rep_description,media_description,carbon_source,nitrogen_source,phosphorous_source,sulfur_source,calcium_source,supplement,temperature,strain,strain_details,taxonomy_id,reseq_reference,breseq_version,reseq_date,experiment,project,person,doi
A0 F1 I1 R1,clonal,,DM,glucose(0.25),(NH4)2SO4(1),"K2HPO4(5.3),KH2PO4(2)","(NH4)2SO4(1),MgSO4(idk concentration)",,,42,413997,E. coli B REL1206,,/var/data/REL606.gbk,0.33.1,03:10:25 01 Feb 2019,42C_Tenaillon-Ara-_LTEE_strain_from_generation_2000-DM25-REL606gbk-stationary-42-Glucose0025-NH4Cl1-KH2PO49-MgSO405-O20,42C_Tenaillon,Olivier Tenaillon,10.1126/science.1212986
A1 F1 I1 R1,clonal,,DM,glucose(0.25),(NH4)2SO4(1),"K2HPO4(5.3),KH2PO4(2)","(NH4)2SO4(1),MgSO4(idk concentration)",,,42,413997,E. coli B REL1206,,/var/data/REL606.gbk,0.33.1,07:11:55 01 Feb 2019,42C_Tenaillon-Ara-_LTEE_strain_from_generation_2000-DM25-REL606gbk-stationary-42-Glucose0025-NH4Cl1-KH2PO49-MgSO405-O20,42C_Tenaillon,Olivier Tenaillon,10.1126/science.1212986
A2 F1 I1 R1,clonal,,DM,glucose(0.25),(NH4)2SO4(1),"K2HPO4(5.3),KH2PO4(2)","(NH4)2SO4(1),MgSO4(idk concentration)",,,42,413997,E. coli B REL1206,,/var/data/REL606.gbk,0.33.1,17:40:45 31 Jan 2019,42C_Tenaillon-Ara-_LTEE_strain_from_generation_2000-DM25-REL606gbk-stationary-42-Glucose0025-NH4Cl1-KH2PO49-MgSO405-O20,42C_Tenaillon,Olivier Tenaillon,10.1126/science.1212986
A3 F1 I1 R1,clonal,,DM,glucose(0.25),(NH4)2SO4(1),"K2HPO4(5.3),KH2PO4(2)","(NH4)2SO4(1),MgSO4(idk concentration)",,,42,413997,E. coli B REL1206,,/var/data/REL606.gbk,0.33.1,12:15:36 01 Feb 2019,42C_Tenaillon-Ara-_LTEE_strain_from_generation_2000-DM25-REL606gbk-stationary-42-Glucose0025-NH4Cl1-KH2PO49-MgSO405-O20,42C_Tenaillon,Olivier Tenaillon,10.1126/science.1212986
A4 F1 I1 R1,clonal,,DM,glucose(0.25),(NH4)2SO4(1),"K2HPO4(5.3),KH2PO4(2)","(NH4)2SO4(1),MgSO4(idk concentration)",,,42,413997,E. coli B REL1206,,/var/data/REL606.gbk,0.33.1,09:04:03 01 Feb 2019,42C_Tenaillon-Ara-_LTEE_strain_from_generation_2000-DM25-REL606gbk-stationary-42-Glucose0025-NH4Cl1-KH2PO49-MgSO405-O20,42C_Tenaillon,Olivier Tenaillon,10.1126/science.1212986
A5 F1 I1 R1,clonal,,DM,glucose(0.25),(NH4)2SO4(1),"K2HPO4(5.3),KH2PO4(2)","(NH4)2SO4(1),MgSO4(idk concentration)",,,42,413997,E. coli B REL1206,,/var/data/REL606.gbk,0.33.1,14:07:00 31 Jan 2019,42C_Tenaillon-Ara-_LTEE_strain_from_generation_2000-DM25-REL606gbk-stationary-42-Glucose0025-NH4Cl1-KH2PO49-MgSO405-O20,42C_Tenaillon,Olivier Tenaillon,10.1126/science.1212986
A6 F1 I1 R1,clonal,,DM,glucose(0.25),(NH4)2SO4(1),"K2HPO4(5.3),KH2PO4(2)","(NH4)2SO4(1),MgSO4(idk concentration)",,,42,413997,E. coli B REL1206,,/var/data/REL606.gbk,0.33.1,05:26:26 01 Feb 2019,42C_Tenaillon-Ara-_LTEE_strain_from_generation_2000-DM25-REL606gbk-stationary-42-Glucose0025-NH4Cl1-KH2PO49-MgSO405-O20,42C_Tenaillon,Olivier Tenaillon,10.1126/science.1212986
A7 F1 I1 R1,clonal,,DM,glucose(0.25),(NH4)2SO4(1),"K2HPO4(5.3),KH2PO4(2)","(NH4)2SO4(1),MgSO4(idk concentration)",,,42,413997,E. coli B REL1206,,/var/data/REL606.gbk,0.33.1,08:53:09 01 Feb 2019,42C_Tenaillon-Ara-_LTEE_strain_from_generation_2000-DM25-REL606gbk-stationary-42-Glucose0025-NH4Cl1-KH2PO49-MgSO405-O20,42C_Tenaillon,Olivier Tenaillon,10.1126/science.1212986
A8 F1 I1 R1,clonal,,DM,glucose(0.25),(NH4)2SO4(1),"K2HPO4(5.3),KH2PO4(2)","(NH4)2SO4(1),MgSO4(idk concentration)",,,42,413997,E. coli B REL1206,,/var/data/REL606.gbk,0.33.1,20:56:37 31 Jan 2019,42C_Tenaillon-Ara-_LTEE_strain_from_generation_2000-DM25-REL606gbk-stationary-42-Glucose0025-NH4Cl1-KH2PO49-MgSO405-O20,42C_Tenaillon,Olivier Tenaillon,10.1126/science.1212986
A9 F1 I1 R1,clonal,,DM,glucose(0.25),(NH4)2SO4(1),"K2HPO4(5.3),KH2PO4(2)","(NH4)2SO4(1),MgSO4(idk concentration)",,,42,413997,E. coli B REL1206,,/var/data/REL606.gbk,0.33.1,04:59:49 02 Feb 2019,42C_Tenaillon-Ara-_LTEE_strain_from_generation_2000-DM25-REL606gbk-stationary-42-Glucose0025-NH4Cl1-KH2PO49-MgSO405-O20,42C_Tenaillon,Olivier Tenaillon,10.1126/science.1212986
