sample_name,clonal_or_population,tech_rep_description,media_description,carbon_source,nitrogen_source,phosphorous_source,sulfur_source,calcium_source,supplement,temperature,strain,strain_details,taxonomy_id,reseq_reference,breseq_version,reseq_date,experiment,project,person,doi
A0 F0 I0 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,679895,BW25113,,CP009273_1.gb,0.32.0b,00:27:16 16 Jan 2018,Auxotrophic strains hisD gltA,AUX,Colton Lloyd,10.1371/journal.pcbi.1006213
A0 F0 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,679895,BW25113,,CP009273_1.gb,0.32.0b,23:41:01 15 Jan 2018,Auxotrophic strains hisD gltA,AUX,Colton Lloyd,10.1371/journal.pcbi.1006213
A9 F4 I0 R1,population,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,679895,BW25113,,CP009273_1.gb,0.32.0b,04:50:44 16 Jan 2018,Auxotrophic strains hisD gltA,AUX,Colton Lloyd,10.1371/journal.pcbi.1006213
A9 F12 I0 R1,population,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,679895,BW25113,,CP009273_1.gb,0.32.0b,06:17:13 18 Jan 2018,Auxotrophic strains hisD gltA,AUX,Colton Lloyd,10.1371/journal.pcbi.1006213
A9 F12 I1 R2,population,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,679895,BW25113,,CP009273_1.gb,0.32.0,22:12:33 19 Apr 2018,Auxotrophic strains hisD gltA,AUX,Colton Lloyd,10.1371/journal.pcbi.1006213
A9 F20 I0 R1,population,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,679895,BW25113,,CP009273_1.gb,0.32.0b,23:02:52 16 Jan 2018,Auxotrophic strains hisD gltA,AUX,Colton Lloyd,10.1371/journal.pcbi.1006213
A9 F20 I1 R2,population,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,679895,BW25113,,CP009273_1.gb,0.32.0,18:48:40 19 Apr 2018,Auxotrophic strains hisD gltA,AUX,Colton Lloyd,10.1371/journal.pcbi.1006213
A9 F32 I0 R1,population,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,679895,BW25113,,CP009273_1.gb,0.32.0b,05:34:32 16 Jan 2018,Auxotrophic strains hisD gltA,AUX,Colton Lloyd,10.1371/journal.pcbi.1006213
A9 F44 I0 R1,population,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,679895,BW25113,,CP009273_1.gb,0.32.0b,03:27:30 18 Jan 2018,Auxotrophic strains hisD gltA,AUX,Colton Lloyd,10.1371/journal.pcbi.1006213
A9 F44 I0 R2,population,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,679895,BW25113,,CP009273_1.gb,0.32.0b,07:55:44 16 Jan 2018,Auxotrophic strains hisD gltA,AUX,Colton Lloyd,10.1371/journal.pcbi.1006213
A9 F44 I30 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,679895,BW25113,,CP009273_1.gb,0.32.0b,17:04:33 22 Jan 2018,Auxotrophic strains hisD gltA,AUX,Colton Lloyd,10.1371/journal.pcbi.1006213
A9 F44 I40 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,679895,BW25113,,CP009273_1.gb,0.32.0b,13:03:30 22 Jan 2018,Auxotrophic strains hisD gltA,AUX,Colton Lloyd,10.1371/journal.pcbi.1006213
A10 F4 I1 R1,population,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,679895,BW25113,,CP009273_1.gb,0.32.0,14:32:34 19 Apr 2018,Auxotrophic strains hisD gltA,AUX,Colton Lloyd,10.1371/journal.pcbi.1006213
A10 F11 I0 R1,population,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,679895,BW25113,,CP009273_1.gb,0.32.0b,04:04:54 17 Jan 2018,Auxotrophic strains hisD gltA,AUX,Colton Lloyd,10.1371/journal.pcbi.1006213
A10 F11 I0 R2,population,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,679895,BW25113,,CP009273_1.gb,0.32.0b,10:14:49 16 Jan 2018,Auxotrophic strains hisD gltA,AUX,Colton Lloyd,10.1371/journal.pcbi.1006213
A10 F16 I0 R1,population,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,679895,BW25113,,CP009273_1.gb,0.32.0b,06:55:48 18 Jan 2018,Auxotrophic strains hisD gltA,AUX,Colton Lloyd,10.1371/journal.pcbi.1006213
A10 F16 I0 R2,population,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,679895,BW25113,,CP009273_1.gb,0.32.0b,23:07:36 15 Jan 2018,Auxotrophic strains hisD gltA,AUX,Colton Lloyd,10.1371/journal.pcbi.1006213
A10 F23 I1 R1,population,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,679895,BW25113,,CP009273_1.gb,0.32.0,14:39:01 19 Apr 2018,Auxotrophic strains hisD gltA,AUX,Colton Lloyd,10.1371/journal.pcbi.1006213
A10 F30 I0 R1,population,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,679895,BW25113,,CP009273_1.gb,0.32.0b,10:21:23 18 Jan 2018,Auxotrophic strains hisD gltA,AUX,Colton Lloyd,10.1371/journal.pcbi.1006213
A10 F30 I0 R2,population,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,679895,BW25113,,CP009273_1.gb,0.32.0b,00:31:19 16 Jan 2018,Auxotrophic strains hisD gltA,AUX,Colton Lloyd,10.1371/journal.pcbi.1006213
A10 F30 I30 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,679895,BW25113,,CP009273_1.gb,0.32.0b,13:30:20 22 Jan 2018,Auxotrophic strains hisD gltA,AUX,Colton Lloyd,10.1371/journal.pcbi.1006213
A10 F30 I40 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,679895,BW25113,,CP009273_1.gb,0.32.0b,13:58:58 22 Jan 2018,Auxotrophic strains hisD gltA,AUX,Colton Lloyd,10.1371/journal.pcbi.1006213
A11 F8 I0 R1,population,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,679895,BW25113,,CP009273_1.gb,0.32.0b,16:02:57 16 Jan 2018,Auxotrophic strains hisD gltA,AUX,Colton Lloyd,10.1371/journal.pcbi.1006213
