sample_name,clonal_or_population,tech_rep_description,media_description,carbon_source,nitrogen_source,phosphorous_source,sulfur_source,calcium_source,supplement,temperature,strain,strain_details,taxonomy_id,reseq_reference,breseq_version,reseq_date,experiment,project,person,doi
A0 F0 I0 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,679895,BW25113,,CP009273_1.gb,0.32.0b,00:27:16 16 Jan 2018,Auxotrophic strains hisD gltB,AUX,Colton Lloyd,10.1371/journal.pcbi.1006213
A0 F0 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,679895,BW25113,,CP009273_1.gb,0.32.0b,22:37:43 15 Jan 2018,Auxotrophic strains hisD gltB,AUX,Colton Lloyd,10.1371/journal.pcbi.1006213
A5 F5 I0 R1,population,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,679895,BW25113,,CP009273_1.gb,0.32.0b,19:02:04 16 Jan 2018,Auxotrophic strains hisD gltB,AUX,Colton Lloyd,10.1371/journal.pcbi.1006213
A5 F5 I0 R2,population,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,679895,BW25113,,CP009273_1.gb,0.32.0b,00:41:02 16 Jan 2018,Auxotrophic strains hisD gltB,AUX,Colton Lloyd,10.1371/journal.pcbi.1006213
A5 F10 I0 R1,population,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,679895,BW25113,,CP009273_1.gb,0.32.0b,09:10:17 17 Jan 2018,Auxotrophic strains hisD gltB,AUX,Colton Lloyd,10.1371/journal.pcbi.1006213
A5 F10 I0 R2,population,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,679895,BW25113,,CP009273_1.gb,0.32.0b,21:07:05 15 Jan 2018,Auxotrophic strains hisD gltB,AUX,Colton Lloyd,10.1371/journal.pcbi.1006213
A5 F18 I0 R1,population,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,679895,BW25113,,CP009273_1.gb,0.32.0b,07:15:41 16 Jan 2018,Auxotrophic strains hisD gltB,AUX,Colton Lloyd,10.1371/journal.pcbi.1006213
A5 F28 I0 R1,population,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,679895,BW25113,,CP009273_1.gb,0.32.0b,05:39:45 18 Jan 2018,Auxotrophic strains hisD gltB,AUX,Colton Lloyd,10.1371/journal.pcbi.1006213
A5 F28 I0 R2,population,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,679895,BW25113,,CP009273_1.gb,0.32.0b,09:15:00 16 Jan 2018,Auxotrophic strains hisD gltB,AUX,Colton Lloyd,10.1371/journal.pcbi.1006213
A5 F28 I30 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,679895,BW25113,,CP009273_1.gb,0.32.0b,15:44:08 22 Jan 2018,Auxotrophic strains hisD gltB,AUX,Colton Lloyd,10.1371/journal.pcbi.1006213
