sample_name,clonal_or_population,tech_rep_description,media_description,carbon_source,nitrogen_source,phosphorous_source,sulfur_source,calcium_source,supplement,temperature,strain,strain_details,taxonomy_id,reseq_reference,breseq_version,reseq_date,experiment,project,person,doi
A0 F0 I0 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,679895,BW25113,,CP009273_1.gb,0.32.0b,00:27:16 16 Jan 2018,Auxotrophic strains hisD pyrC,AUX,Colton Lloyd,10.1371/journal.pcbi.1006213
A0 F0 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,679895,BW25113,,CP009273_1.gb,0.32.0b,21:36:18 15 Jan 2018,Auxotrophic strains hisD pyrC,AUX,Colton Lloyd,10.1371/journal.pcbi.1006213
A2 F4 I0 R1,population,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,679895,BW25113,,CP009273_1.gb,0.32.0b,22:22:41 15 Jan 2018,Auxotrophic strains hisD pyrC,AUX,Colton Lloyd,10.1371/journal.pcbi.1006213
A2 F4 I0 R2,population,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,679895,BW25113,,CP009273_1.gb,0.32.0b,23:24:55 15 Jan 2018,Auxotrophic strains hisD pyrC,AUX,Colton Lloyd,10.1371/journal.pcbi.1006213
A2 F10 I0 R1,population,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,679895,BW25113,,CP009273_1.gb,0.32.0b,17:34:25 16 Jan 2018,Auxotrophic strains hisD pyrC,AUX,Colton Lloyd,10.1371/journal.pcbi.1006213
A2 F10 I0 R2,population,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,679895,BW25113,,CP009273_1.gb,0.32.0b,02:52:04 16 Jan 2018,Auxotrophic strains hisD pyrC,AUX,Colton Lloyd,10.1371/journal.pcbi.1006213
A2 F21 I0 R1,population,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,679895,BW25113,,CP009273_1.gb,0.32.0b,15:23:54 16 Jan 2018,Auxotrophic strains hisD pyrC,AUX,Colton Lloyd,10.1371/journal.pcbi.1006213
A2 F21 I0 R2,population,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,679895,BW25113,,CP009273_1.gb,0.32.0b,03:56:05 16 Jan 2018,Auxotrophic strains hisD pyrC,AUX,Colton Lloyd,10.1371/journal.pcbi.1006213
A2 F21 I30 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,679895,BW25113,,CP009273_1.gb,0.32.0b,15:01:05 22 Jan 2018,Auxotrophic strains hisD pyrC,AUX,Colton Lloyd,10.1371/journal.pcbi.1006213
A2 F21 I40 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,679895,BW25113,,CP009273_1.gb,0.32.0b,16:31:29 22 Jan 2018,Auxotrophic strains hisD pyrC,AUX,Colton Lloyd,10.1371/journal.pcbi.1006213
A3 F7 I0 R1,population,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,679895,BW25113,,CP009273_1.gb,0.32.0b,13:40:36 16 Jan 2018,Auxotrophic strains hisD pyrC,AUX,Colton Lloyd,10.1371/journal.pcbi.1006213
A3 F7 I0 R2,population,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,679895,BW25113,,CP009273_1.gb,0.32.0b,10:02:46 16 Jan 2018,Auxotrophic strains hisD pyrC,AUX,Colton Lloyd,10.1371/journal.pcbi.1006213
A3 F11 I0 R1,population,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,679895,BW25113,,CP009273_1.gb,0.32.0b,03:53:24 16 Jan 2018,Auxotrophic strains hisD pyrC,AUX,Colton Lloyd,10.1371/journal.pcbi.1006213
A3 F11 I1 R2,population,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,679895,BW25113,,CP009273_1.gb,0.32.0,16:54:34 19 Apr 2018,Auxotrophic strains hisD pyrC,AUX,Colton Lloyd,10.1371/journal.pcbi.1006213
A3 F17 I0 R1,population,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,679895,BW25113,,CP009273_1.gb,0.32.0b,08:34:30 16 Jan 2018,Auxotrophic strains hisD pyrC,AUX,Colton Lloyd,10.1371/journal.pcbi.1006213
