sample_name,clonal_or_population,tech_rep_description,media_description,carbon_source,nitrogen_source,phosphorous_source,sulfur_source,calcium_source,supplement,temperature,strain,strain_details,taxonomy_id,reseq_reference,breseq_version,reseq_date,experiment,project,person,doi
A3 F72 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,Illumina/ 600,/var/data/NC_000913_3.gb,0.33.1,22:12:07 22 May 2019,BOP27-M9-NC_000913_3gb-log-37-Glucose2-NH4Cl1-KH2PO43-MgSO4024-O2,GLU,Ryan LaCroix,10.1128/AEM.02246-14
A3 F244 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,Illumina/ 600,/var/data/NC_000913_3.gb,0.33.1,08:01:01 22 May 2019,BOP27-M9-NC_000913_3gb-log-37-Glucose2-NH4Cl1-KH2PO43-MgSO4024-O2,GLU,Ryan LaCroix,10.1128/AEM.02246-14
A3 F412 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,Illumina/ 600,/var/data/NC_000913_3.gb,0.33.1,20:10:11 22 May 2019,BOP27-M9-NC_000913_3gb-log-37-Glucose2-NH4Cl1-KH2PO43-MgSO4024-O2,GLU,Ryan LaCroix,10.1128/AEM.02246-14
A3 F412 I2 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,Illumina/ 600,/var/data/NC_000913_3.gb,0.33.1,10:54:12 22 May 2019,BOP27-M9-NC_000913_3gb-log-37-Glucose2-NH4Cl1-KH2PO43-MgSO4024-O2,GLU,Ryan LaCroix,10.1128/AEM.02246-14
A3 F412 I3 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,Illumina/ 600,/var/data/NC_000913_3.gb,0.33.1,10:03:41 22 May 2019,BOP27-M9-NC_000913_3gb-log-37-Glucose2-NH4Cl1-KH2PO43-MgSO4024-O2,GLU,Ryan LaCroix,10.1128/AEM.02246-14
A4 F13 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,Illumina/ 600,/var/data/NC_000913_3.gb,0.33.1,23:14:25 22 May 2019,BOP27-M9-NC_000913_3gb-log-37-Glucose2-NH4Cl1-KH2PO43-MgSO4024-O2,GLU,Ryan LaCroix,10.1128/AEM.02246-14
A4 F66 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,Illumina/ 600,/var/data/NC_000913_3.gb,0.33.1,13:54:01 23 May 2019,BOP27-M9-NC_000913_3gb-log-37-Glucose2-NH4Cl1-KH2PO43-MgSO4024-O2,GLU,Ryan LaCroix,10.1128/AEM.02246-14
A4 F149 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,Illumina/ 600,/var/data/NC_000913_3.gb,0.33.1,08:54:56 23 May 2019,BOP27-M9-NC_000913_3gb-log-37-Glucose2-NH4Cl1-KH2PO43-MgSO4024-O2,GLU,Ryan LaCroix,10.1128/AEM.02246-14
A4 F237 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,Illumina/ 600,/var/data/NC_000913_3.gb,0.33.1,05:07:53 23 May 2019,BOP27-M9-NC_000913_3gb-log-37-Glucose2-NH4Cl1-KH2PO43-MgSO4024-O2,GLU,Ryan LaCroix,10.1128/AEM.02246-14
A4 F403 I0 R1,population,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,Illumina/ 600,/var/data/NC_000913_3.gb,0.33.1,06:13:09 22 May 2019,BOP27-M9-NC_000913_3gb-log-37-Glucose2-NH4Cl1-KH2PO43-MgSO4024-O2,GLU,Ryan LaCroix,10.1128/AEM.02246-14
A4 F403 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,Illumina/ 600,/var/data/NC_000913_3.gb,0.33.1,10:16:58 22 May 2019,BOP27-M9-NC_000913_3gb-log-37-Glucose2-NH4Cl1-KH2PO43-MgSO4024-O2,GLU,Ryan LaCroix,10.1128/AEM.02246-14
A4 F403 I2 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,Illumina/ 600,/var/data/NC_000913_3.gb,0.33.1,15:51:12 22 May 2019,BOP27-M9-NC_000913_3gb-log-37-Glucose2-NH4Cl1-KH2PO43-MgSO4024-O2,GLU,Ryan LaCroix,10.1128/AEM.02246-14
A4 F403 I3 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,Illumina/ 600,/var/data/NC_000913_3.gb,0.33.1,04:39:44 23 May 2019,BOP27-M9-NC_000913_3gb-log-37-Glucose2-NH4Cl1-KH2PO43-MgSO4024-O2,GLU,Ryan LaCroix,10.1128/AEM.02246-14
A5 F75 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,Illumina/ 600,/var/data/NC_000913_3.gb,0.33.1,11:45:12 22 May 2019,BOP27-M9-NC_000913_3gb-log-37-Glucose2-NH4Cl1-KH2PO43-MgSO4024-O2,GLU,Ryan LaCroix,10.1128/AEM.02246-14
A5 F150 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,Illumina/ 600,/var/data/NC_000913_3.gb,0.33.1,08:02:39 23 May 2019,BOP27-M9-NC_000913_3gb-log-37-Glucose2-NH4Cl1-KH2PO43-MgSO4024-O2,GLU,Ryan LaCroix,10.1128/AEM.02246-14
