sample_name,clonal_or_population,tech_rep_description,media_description,carbon_source,nitrogen_source,phosphorous_source,sulfur_source,calcium_source,supplement,temperature,strain,strain_details,taxonomy_id,reseq_reference,breseq_version,reseq_date,experiment,project,person,doi
A0 F0 I1 R1,clonal,,M9,U-13C glucose(2),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,,NC_000913_3.gb,0.27.0b,15:38:18 14 Feb 2016,C13,C13,Troy Sandberg,10.1371/journal.pone.0151130
A1 F58 I1 R1,clonal,,M9,U-13C glucose(2),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,,NC_000913_3.gb,0.27.1,14:36:19 28 Jun 2016,C13,C13,Troy Sandberg,10.1371/journal.pone.0151130
A1 F133 I1 R1,clonal,,M9,U-13C glucose(2),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,,NC_000913_3.gb,0.27.1,02:54:54 26 Jun 2016,C13,C13,Troy Sandberg,10.1371/journal.pone.0151130
A1 F134 I1 R1,clonal,,M9,U-13C glucose(2),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,,NC_000913_3.gb,0.27.1,04:02:45 26 Jun 2016,C13,C13,Troy Sandberg,10.1371/journal.pone.0151130
A2 F58 I1 R1,clonal,,M9,U-13C glucose(2),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,,NC_000913_3.gb,0.27.1,18:58:09 25 Jun 2016,C13,C13,Troy Sandberg,10.1371/journal.pone.0151130
A3 F57 I1 R1,clonal,,M9,U-13C glucose(2),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,,NC_000913_3.gb,0.27.1,06:55:52 26 Jun 2016,C13,C13,Troy Sandberg,10.1371/journal.pone.0151130
A3 F133 I1 R1,clonal,,M9,U-13C glucose(2),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,,NC_000913_3.gb,0.27.1,08:08:19 26 Jun 2016,C13,C13,Troy Sandberg,10.1371/journal.pone.0151130
A4 F59 I1 R1,clonal,,M9,U-13C glucose(2),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,,NC_000913_3.gb,0.27.1,00:25:43 26 Jun 2016,C13,C13,Troy Sandberg,10.1371/journal.pone.0151130
A4 F135 I1 R1,clonal,,M9,U-13C glucose(2),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,,NC_000913_3.gb,0.27.1,10:25:16 26 Jun 2016,C13,C13,Troy Sandberg,10.1371/journal.pone.0151130
A5 F54 I1 R1,clonal,,M9,U-13C glucose(2),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,,NC_000913_3.gb,0.27.1,23:29:52 25 Jun 2016,C13,C13,Troy Sandberg,10.1371/journal.pone.0151130
A5 F135 I1 R1,clonal,,M9,U-13C glucose(2),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,,NC_000913_3.gb,0.27.1,05:19:59 26 Jun 2016,C13,C13,Troy Sandberg,10.1371/journal.pone.0151130
A6 F58 I1 R1,clonal,,M9,U-13C glucose(2),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,,NC_000913_3.gb,0.27.1,21:26:04 25 Jun 2016,C13,C13,Troy Sandberg,10.1371/journal.pone.0151130
A6 F133 I1 R1,clonal,,M9,U-13C glucose(2),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,,NC_000913_3.gb,0.27.1,06:07:09 26 Jun 2016,C13,C13,Troy Sandberg,10.1371/journal.pone.0151130
