sample_name,clonal_or_population,tech_rep_description,media_description,carbon_source,nitrogen_source,phosphorous_source,sulfur_source,calcium_source,supplement,temperature,strain,strain_details,taxonomy_id,reseq_reference,breseq_version,reseq_date,experiment,project,person,doi
A0 F0 I1 R1,clonal,,M9,glucose(2g/L),NH4Cl(1g/L),"KH2PO4(3g/L),Na2HPO4(6.78g/L)",MgSO4(1mM),CaCl2(0.1mM),,37,511145,E. coli K-12 MG1655 with all UAG stop codons replaced with UAA.,Illumina/ 150,NC_000913_3.gb,0.32.1,19:37:43 19 Jul 2018,C321.∆A,C321,Timothy Wannier,10.1073/pnas.1715530115
A1 F1 I1 R1,clonal,,M9,glucose(2g/L),NH4Cl(1g/L),"KH2PO4(3g/L),Na2HPO4(6.78g/L)",MgSO4(1mM),CaCl2(0.1mM),,37,511145,E. coli K-12 MG1655 with all UAG stop codons replaced with UAA.,Illumina/ 150,NC_000913_3.gb,0.32.1,04:29:51 20 Jul 2018,C321.∆A,C321,Timothy Wannier,10.1073/pnas.1715530115
A1 F1 I2 R1,clonal,,M9,glucose(2g/L),NH4Cl(1g/L),"KH2PO4(3g/L),Na2HPO4(6.78g/L)",MgSO4(1mM),CaCl2(0.1mM),,37,511145,E. coli K-12 MG1655 with all UAG stop codons replaced with UAA.,Illumina/ 150,NC_000913_3.gb,0.32.1,16:41:15 19 Jul 2018,C321.∆A,C321,Timothy Wannier,10.1073/pnas.1715530115
A2 F1 I1 R1,clonal,,M9,glucose(2g/L),NH4Cl(1g/L),"KH2PO4(3g/L),Na2HPO4(6.78g/L)",MgSO4(1mM),CaCl2(0.1mM),,37,511145,E. coli K-12 MG1655 with all UAG stop codons replaced with UAA.,Illumina/ 150,NC_000913_3.gb,0.32.1,18:24:08 19 Jul 2018,C321.∆A,C321,Timothy Wannier,10.1073/pnas.1715530115
A2 F1 I2 R1,clonal,,M9,glucose(2g/L),NH4Cl(1g/L),"KH2PO4(3g/L),Na2HPO4(6.78g/L)",MgSO4(1mM),CaCl2(0.1mM),,37,511145,E. coli K-12 MG1655 with all UAG stop codons replaced with UAA.,Illumina/ 150,NC_000913_3.gb,0.32.1,05:16:07 20 Jul 2018,C321.∆A,C321,Timothy Wannier,10.1073/pnas.1715530115
A3 F1 I1 R1,clonal,,M9,glucose(2g/L),NH4Cl(1g/L),"KH2PO4(3g/L),Na2HPO4(6.78g/L)",MgSO4(1mM),CaCl2(0.1mM),,37,511145,E. coli K-12 MG1655 with all UAG stop codons replaced with UAA.,Illumina/ 150,NC_000913_3.gb,0.32.1,22:43:35 19 Jul 2018,C321.∆A,C321,Timothy Wannier,10.1073/pnas.1715530115
A3 F1 I2 R1,clonal,,M9,glucose(2g/L),NH4Cl(1g/L),"KH2PO4(3g/L),Na2HPO4(6.78g/L)",MgSO4(1mM),CaCl2(0.1mM),,37,511145,E. coli K-12 MG1655 with all UAG stop codons replaced with UAA.,Illumina/ 150,NC_000913_3.gb,0.32.1,09:29:00 20 Jul 2018,C321.∆A,C321,Timothy Wannier,10.1073/pnas.1715530115
A4 F1 I1 R1,clonal,,M9,glucose(2g/L),NH4Cl(1g/L),"KH2PO4(3g/L),Na2HPO4(6.78g/L)",MgSO4(1mM),CaCl2(0.1mM),,37,511145,E. coli K-12 MG1655 with all UAG stop codons replaced with UAA.,Illumina/ 150,NC_000913_3.gb,0.32.1,13:16:47 20 Jul 2018,C321.∆A,C321,Timothy Wannier,10.1073/pnas.1715530115
A4 F1 I2 R1,clonal,,M9,glucose(2g/L),NH4Cl(1g/L),"KH2PO4(3g/L),Na2HPO4(6.78g/L)",MgSO4(1mM),CaCl2(0.1mM),,37,511145,E. coli K-12 MG1655 with all UAG stop codons replaced with UAA.,Illumina/ 150,NC_000913_3.gb,0.32.1,02:19:12 20 Jul 2018,C321.∆A,C321,Timothy Wannier,10.1073/pnas.1715530115
A5 F1 I1 R1,clonal,,M9,glucose(2g/L),NH4Cl(1g/L),"KH2PO4(3g/L),Na2HPO4(6.78g/L)",MgSO4(1mM),CaCl2(0.1mM),,37,511145,E. coli K-12 MG1655 with all UAG stop codons replaced with UAA.,Illumina/ 150,NC_000913_3.gb,0.32.1,04:40:41 20 Jul 2018,C321.∆A,C321,Timothy Wannier,10.1073/pnas.1715530115
A5 F1 I2 R1,clonal,,M9,glucose(2g/L),NH4Cl(1g/L),"KH2PO4(3g/L),Na2HPO4(6.78g/L)",MgSO4(1mM),CaCl2(0.1mM),,37,511145,E. coli K-12 MG1655 with all UAG stop codons replaced with UAA.,Illumina/ 150,NC_000913_3.gb,0.32.1,15:01:00 20 Jul 2018,C321.∆A,C321,Timothy Wannier,10.1073/pnas.1715530115
A6 F1 I1 R1,clonal,,M9,glucose(2g/L),NH4Cl(1g/L),"KH2PO4(3g/L),Na2HPO4(6.78g/L)",MgSO4(1mM),CaCl2(0.1mM),,37,511145,E. coli K-12 MG1655 with all UAG stop codons replaced with UAA.,Illumina/ 150,NC_000913_3.gb,0.32.1,15:10:23 20 Jul 2018,C321.∆A,C321,Timothy Wannier,10.1073/pnas.1715530115
A6 F1 I2 R1,clonal,,M9,glucose(2g/L),NH4Cl(1g/L),"KH2PO4(3g/L),Na2HPO4(6.78g/L)",MgSO4(1mM),CaCl2(0.1mM),,37,511145,E. coli K-12 MG1655 with all UAG stop codons replaced with UAA.,Illumina/ 150,NC_000913_3.gb,0.32.1,11:59:54 20 Jul 2018,C321.∆A,C321,Timothy Wannier,10.1073/pnas.1715530115
A7 F1 I1 R1,clonal,,M9,glucose(2g/L),NH4Cl(1g/L),"KH2PO4(3g/L),Na2HPO4(6.78g/L)",MgSO4(1mM),CaCl2(0.1mM),,37,511145,E. coli K-12 MG1655 with all UAG stop codons replaced with UAA.,Illumina/ 150,NC_000913_3.gb,0.32.1,01:57:03 20 Jul 2018,C321.∆A,C321,Timothy Wannier,10.1073/pnas.1715530115
