sample_name,clonal_or_population,tech_rep_description,media_description,carbon_source,nitrogen_source,phosphorous_source,sulfur_source,calcium_source,supplement,temperature,strain,strain_details,taxonomy_id,reseq_reference,breseq_version,reseq_date,experiment,project,person,doi
A0 F0 I1 R1,clonal,,M9,glucose(2g/L),NH4Cl(1g/L),"KH2PO4(3g/L),Na2HPO4(6.78g/L)",MgSO4(1mM),CaCl2(0.1mM),,37,511145,E. coli K-12 MG1655 with all UAG stop codons replaced with UAA.,Illumina/ 150,NC_000913_3.gb,0.32.1,16:16:29 20 Jul 2018,C321.∆A.earlyfix,C321,Timothy Wannier,10.1073/pnas.1715530115
A1 F1 I1 R1,clonal,,M9,glucose(2g/L),NH4Cl(1g/L),"KH2PO4(3g/L),Na2HPO4(6.78g/L)",MgSO4(1mM),CaCl2(0.1mM),,37,511145,E. coli K-12 MG1655 with all UAG stop codons replaced with UAA.,Illumina/ 150,NC_000913_3.gb,0.32.1,03:04:34 20 Jul 2018,C321.∆A.earlyfix,C321,Timothy Wannier,10.1073/pnas.1715530115
A1 F1 I2 R1,clonal,,M9,glucose(2g/L),NH4Cl(1g/L),"KH2PO4(3g/L),Na2HPO4(6.78g/L)",MgSO4(1mM),CaCl2(0.1mM),,37,511145,E. coli K-12 MG1655 with all UAG stop codons replaced with UAA.,Illumina/ 150,NC_000913_3.gb,0.32.1,15:52:14 19 Jul 2018,C321.∆A.earlyfix,C321,Timothy Wannier,10.1073/pnas.1715530115
A2 F1 I1 R1,clonal,,M9,glucose(2g/L),NH4Cl(1g/L),"KH2PO4(3g/L),Na2HPO4(6.78g/L)",MgSO4(1mM),CaCl2(0.1mM),,37,511145,E. coli K-12 MG1655 with all UAG stop codons replaced with UAA.,Illumina/ 150,NC_000913_3.gb,0.32.1,18:44:48 20 Jul 2018,C321.∆A.earlyfix,C321,Timothy Wannier,10.1073/pnas.1715530115
A2 F1 I2 R1,clonal,,M9,glucose(2g/L),NH4Cl(1g/L),"KH2PO4(3g/L),Na2HPO4(6.78g/L)",MgSO4(1mM),CaCl2(0.1mM),,37,511145,E. coli K-12 MG1655 with all UAG stop codons replaced with UAA.,Illumina/ 150,NC_000913_3.gb,0.32.1,21:35:18 19 Jul 2018,C321.∆A.earlyfix,C321,Timothy Wannier,10.1073/pnas.1715530115
A3 F1 I1 R1,clonal,,M9,glucose(2g/L),NH4Cl(1g/L),"KH2PO4(3g/L),Na2HPO4(6.78g/L)",MgSO4(1mM),CaCl2(0.1mM),,37,511145,E. coli K-12 MG1655 with all UAG stop codons replaced with UAA.,Illumina/ 150,NC_000913_3.gb,0.32.1,17:07:55 20 Jul 2018,C321.∆A.earlyfix,C321,Timothy Wannier,10.1073/pnas.1715530115
A3 F1 I2 R1,clonal,,M9,glucose(2g/L),NH4Cl(1g/L),"KH2PO4(3g/L),Na2HPO4(6.78g/L)",MgSO4(1mM),CaCl2(0.1mM),,37,511145,E. coli K-12 MG1655 with all UAG stop codons replaced with UAA.,Illumina/ 150,NC_000913_3.gb,0.32.1,10:41:33 20 Jul 2018,C321.∆A.earlyfix,C321,Timothy Wannier,10.1073/pnas.1715530115
A4 F1 I1 R1,clonal,,M9,glucose(2g/L),NH4Cl(1g/L),"KH2PO4(3g/L),Na2HPO4(6.78g/L)",MgSO4(1mM),CaCl2(0.1mM),,37,511145,E. coli K-12 MG1655 with all UAG stop codons replaced with UAA.,Illumina/ 150,NC_000913_3.gb,0.32.1,17:37:12 19 Jul 2018,C321.∆A.earlyfix,C321,Timothy Wannier,10.1073/pnas.1715530115
A4 F1 I2 R1,clonal,,M9,glucose(2g/L),NH4Cl(1g/L),"KH2PO4(3g/L),Na2HPO4(6.78g/L)",MgSO4(1mM),CaCl2(0.1mM),,37,511145,E. coli K-12 MG1655 with all UAG stop codons replaced with UAA.,Illumina/ 150,NC_000913_3.gb,0.32.1,02:10:16 20 Jul 2018,C321.∆A.earlyfix,C321,Timothy Wannier,10.1073/pnas.1715530115
A5 F1 I1 R1,clonal,,M9,glucose(2g/L),NH4Cl(1g/L),"KH2PO4(3g/L),Na2HPO4(6.78g/L)",MgSO4(1mM),CaCl2(0.1mM),,37,511145,E. coli K-12 MG1655 with all UAG stop codons replaced with UAA.,Illumina/ 150,NC_000913_3.gb,0.32.1,20:15:50 19 Jul 2018,C321.∆A.earlyfix,C321,Timothy Wannier,10.1073/pnas.1715530115
