sample_name,clonal_or_population,tech_rep_description,media_description,carbon_source,nitrogen_source,phosphorous_source,sulfur_source,calcium_source,supplement,temperature,strain,strain_details,taxonomy_id,reseq_reference,breseq_version,reseq_date,experiment,project,person,doi
A7 F106 I0 R1,population,,M9,glycerol(2.5),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,Kapa/ ,/var/data/NC_000913_3.gb,0.33.1,04:33:36 07 Jan 2019,GYD_150uL,GYD,Patrick Phaneuf,10.1128/AEM.03115-16 10.1186/s12864-020-06920-4
A7 F106 I1 R1,clonal,,M9,glycerol(2.5),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,Kapa/ ,/var/data/NC_000913_3.gb,0.33.1,04:43:06 08 Jan 2019,GYD_150uL,GYD,Patrick Phaneuf,10.1128/AEM.03115-16 10.1186/s12864-020-06920-4
A8 F104 I0 R1,population,,M9,glycerol(2.5),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,Kapa/ ,/var/data/NC_000913_3.gb,0.33.1,09:11:06 06 Jan 2019,GYD_150uL,GYD,Patrick Phaneuf,10.1128/AEM.03115-16 10.1186/s12864-020-06920-4
A8 F104 I1 R1,clonal,,M9,glycerol(2.5),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,Kapa/ ,/var/data/NC_000913_3.gb,0.33.1,01:50:34 08 Jan 2019,GYD_150uL,GYD,Patrick Phaneuf,10.1128/AEM.03115-16 10.1186/s12864-020-06920-4
A9 F105 I0 R1,population,,M9,glycerol(2.5),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,Kapa/ ,/var/data/NC_000913_3.gb,0.33.1,13:24:40 06 Jan 2019,GYD_150uL,GYD,Patrick Phaneuf,10.1128/AEM.03115-16 10.1186/s12864-020-06920-4
A9 F105 I1 R1,clonal,,M9,glycerol(2.5),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,Kapa/ ,/var/data/NC_000913_3.gb,0.33.1,11:42:09 08 Jan 2019,GYD_150uL,GYD,Patrick Phaneuf,10.1128/AEM.03115-16 10.1186/s12864-020-06920-4
A10 F106 I0 R1,population,,M9,glycerol(2.5),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,Kapa/ ,/var/data/NC_000913_3.gb,0.33.1,05:25:55 06 Jan 2019,GYD_150uL,GYD,Patrick Phaneuf,10.1128/AEM.03115-16 10.1186/s12864-020-06920-4
A10 F106 I1 R1,clonal,,M9,glycerol(2.5),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,Kapa/ ,/var/data/NC_000913_3.gb,0.33.1,10:43:49 08 Jan 2019,GYD_150uL,GYD,Patrick Phaneuf,10.1128/AEM.03115-16 10.1186/s12864-020-06920-4
A11 F109 I0 R1,population,,M9,glycerol(2.5),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,Kapa/ ,/var/data/NC_000913_3.gb,0.33.1,09:51:47 06 Jan 2019,GYD_150uL,GYD,Patrick Phaneuf,10.1128/AEM.03115-16 10.1186/s12864-020-06920-4
A11 F109 I1 R1,clonal,,M9,glycerol(2.5),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,Kapa/ ,/var/data/NC_000913_3.gb,0.33.1,07:12:11 08 Jan 2019,GYD_150uL,GYD,Patrick Phaneuf,10.1128/AEM.03115-16 10.1186/s12864-020-06920-4
A12 F114 I0 R1,population,,M9,glycerol(2.5),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,Kapa/ ,/var/data/NC_000913_3.gb,0.33.1,03:11:46 07 Jan 2019,GYD_150uL,GYD,Patrick Phaneuf,10.1128/AEM.03115-16 10.1186/s12864-020-06920-4
