sample_name,clonal_or_population,tech_rep_description,media_description,carbon_source,nitrogen_source,phosphorous_source,sulfur_source,calcium_source,supplement,temperature,strain,strain_details,taxonomy_id,reseq_reference,breseq_version,reseq_date,experiment,project,person,doi
A13 F69 I0 R1,population,,M9,glycerol(2.5),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,Kapa/ ,/var/data/NC_000913_3.gb,0.33.1,07:38:31 06 Jan 2019,GYD_15_uL,GYD,Patrick Phaneuf,10.1128/AEM.03115-16 10.1186/s12864-020-06920-4
A13 F69 I1 R1,clonal,,M9,glycerol(2.5),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,Kapa/ ,/var/data/NC_000913_3.gb,0.33.1,13:47:53 08 Jan 2019,GYD_15_uL,GYD,Patrick Phaneuf,10.1128/AEM.03115-16 10.1186/s12864-020-06920-4
A14 F68 I0 R1,population,,M9,glycerol(2.5),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,Kapa/ ,/var/data/NC_000913_3.gb,0.33.1,15:16:19 06 Jan 2019,GYD_15_uL,GYD,Patrick Phaneuf,10.1128/AEM.03115-16 10.1186/s12864-020-06920-4
A14 F68 I1 R1,clonal,,M9,glycerol(2.5),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,Kapa/ ,/var/data/NC_000913_3.gb,0.33.1,05:22:13 08 Jan 2019,GYD_15_uL,GYD,Patrick Phaneuf,10.1128/AEM.03115-16 10.1186/s12864-020-06920-4
A15 F71 I0 R1,population,,M9,glycerol(2.5),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,Kapa/ ,/var/data/NC_000913_3.gb,0.33.1,00:21:32 06 Jan 2019,GYD_15_uL,GYD,Patrick Phaneuf,10.1128/AEM.03115-16 10.1186/s12864-020-06920-4
A15 F71 I1 R1,clonal,,M9,glycerol(2.5),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,Kapa/ ,/var/data/NC_000913_3.gb,0.33.1,06:34:27 08 Jan 2019,GYD_15_uL,GYD,Patrick Phaneuf,10.1128/AEM.03115-16 10.1186/s12864-020-06920-4
A16 F70 I0 R1,population,,M9,glycerol(2.5),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,Kapa/ ,/var/data/NC_000913_3.gb,0.33.1,06:25:54 07 Jan 2019,GYD_15_uL,GYD,Patrick Phaneuf,10.1128/AEM.03115-16 10.1186/s12864-020-06920-4
A16 F70 I1 R1,clonal,,M9,glycerol(2.5),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,Kapa/ ,/var/data/NC_000913_3.gb,0.33.1,21:22:03 07 Jan 2019,GYD_15_uL,GYD,Patrick Phaneuf,10.1128/AEM.03115-16 10.1186/s12864-020-06920-4
A17 F70 I0 R1,population,,M9,glycerol(2.5),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,Kapa/ ,/var/data/NC_000913_3.gb,0.33.1,00:45:00 06 Jan 2019,GYD_15_uL,GYD,Patrick Phaneuf,10.1128/AEM.03115-16 10.1186/s12864-020-06920-4
A17 F70 I1 R1,clonal,,M9,glycerol(2.5),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,Kapa/ ,/var/data/NC_000913_3.gb,0.33.1,10:59:56 08 Jan 2019,GYD_15_uL,GYD,Patrick Phaneuf,10.1128/AEM.03115-16 10.1186/s12864-020-06920-4
