sample_name,clonal_or_population,tech_rep_description,media_description,carbon_source,nitrogen_source,phosphorous_source,sulfur_source,calcium_source,supplement,temperature,strain,strain_details,taxonomy_id,reseq_reference,breseq_version,reseq_date,experiment,project,person,doi
A0 F0 I1 R1,clonal,,M9,glucose(2),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,536056,E. coli DH1,,NC_017625_1_gene_names_locus_mapping.gbk,0.30.1,16:40:53 30 Jun 2017,ILT_DH1,ILT,Elsayed Mohamed,10.1186/s12934-017-0819-1
A5 F61 I3 R1,clonal,,M9,glucose(2),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,536056,E. coli DH1,,NC_017625_1_gene_names_locus_mapping.gbk,0.28.1,22:00:34 18 Oct 2016,ILT_DH1,ILT,Elsayed Mohamed,10.1186/s12934-017-0819-1
A5 F61 I7 R1,clonal,,M9,glucose(2),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,536056,E. coli DH1,,NC_017625_1_gene_names_locus_mapping.gbk,0.28.1,20:04:32 18 Oct 2016,ILT_DH1,ILT,Elsayed Mohamed,10.1186/s12934-017-0819-1
A5 F61 I10 R1,clonal,,M9,glucose(2),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,536056,E. coli DH1,,NC_017625_1_gene_names_locus_mapping.gbk,0.28.1,21:12:12 18 Oct 2016,ILT_DH1,ILT,Elsayed Mohamed,10.1186/s12934-017-0819-1
A6 F71 I1 R1,clonal,,M9,glucose(2),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,536056,E. coli DH1,,NC_017625_1_gene_names_locus_mapping.gbk,0.28.1,19:12:10 18 Oct 2016,ILT_DH1,ILT,Elsayed Mohamed,10.1186/s12934-017-0819-1
A6 F71 I7 R1,clonal,,M9,glucose(2),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,536056,E. coli DH1,,NC_017625_1_gene_names_locus_mapping.gbk,0.28.1,22:07:52 18 Oct 2016,ILT_DH1,ILT,Elsayed Mohamed,10.1186/s12934-017-0819-1
A6 F71 I8 R1,clonal,,M9,glucose(2),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,536056,E. coli DH1,,NC_017625_1_gene_names_locus_mapping.gbk,0.28.1,22:07:11 18 Oct 2016,ILT_DH1,ILT,Elsayed Mohamed,10.1186/s12934-017-0819-1
A7 F78 I2 R1,clonal,,M9,glucose(2),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,536056,E. coli DH1,,NC_017625_1_gene_names_locus_mapping.gbk,0.28.1,23:06:08 18 Oct 2016,ILT_DH1,ILT,Elsayed Mohamed,10.1186/s12934-017-0819-1
A7 F78 I5 R1,clonal,,M9,glucose(2),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,536056,E. coli DH1,,NC_017625_1_gene_names_locus_mapping.gbk,0.28.1,22:17:24 18 Oct 2016,ILT_DH1,ILT,Elsayed Mohamed,10.1186/s12934-017-0819-1
A7 F78 I7 R1,clonal,,M9,glucose(2),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,536056,E. coli DH1,,NC_017625_1_gene_names_locus_mapping.gbk,0.28.1,22:24:12 18 Oct 2016,ILT_DH1,ILT,Elsayed Mohamed,10.1186/s12934-017-0819-1
A13 F77 I2 R1,clonal,,M9,glucose(2),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,536056,E. coli DH1,,NC_017625_1_gene_names_locus_mapping.gbk,0.28.1,02:28:34 19 Oct 2016,ILT_DH1,ILT,Elsayed Mohamed,10.1186/s12934-017-0819-1
A13 F77 I8 R1,clonal,,M9,glucose(2),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,536056,E. coli DH1,,NC_017625_1_gene_names_locus_mapping.gbk,0.28.1,07:20:14 19 Oct 2016,ILT_DH1,ILT,Elsayed Mohamed,10.1186/s12934-017-0819-1
A13 F77 I10 R1,clonal,,M9,glucose(2),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,536056,E. coli DH1,,NC_017625_1_gene_names_locus_mapping.gbk,0.28.1,03:47:12 19 Oct 2016,ILT_DH1,ILT,Elsayed Mohamed,10.1186/s12934-017-0819-1
A14 F92 I2 R1,clonal,,M9,glucose(2),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,536056,E. coli DH1,,NC_017625_1_gene_names_locus_mapping.gbk,0.28.1,06:58:29 19 Oct 2016,ILT_DH1,ILT,Elsayed Mohamed,10.1186/s12934-017-0819-1
A14 F92 I4 R1,clonal,,M9,glucose(2),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,536056,E. coli DH1,,NC_017625_1_gene_names_locus_mapping.gbk,0.28.1,07:39:02 19 Oct 2016,ILT_DH1,ILT,Elsayed Mohamed,10.1186/s12934-017-0819-1
A14 F92 I7 R1,clonal,,M9,glucose(2),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,536056,E. coli DH1,,NC_017625_1_gene_names_locus_mapping.gbk,0.28.1,06:23:40 19 Oct 2016,ILT_DH1,ILT,Elsayed Mohamed,10.1186/s12934-017-0819-1
A15 F79 I2 R1,clonal,,M9,glucose(2),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,536056,E. coli DH1,,NC_017625_1_gene_names_locus_mapping.gbk,0.28.1,07:37:59 19 Oct 2016,ILT_DH1,ILT,Elsayed Mohamed,10.1186/s12934-017-0819-1
A15 F79 I8 R1,clonal,,M9,glucose(2),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,536056,E. coli DH1,,NC_017625_1_gene_names_locus_mapping.gbk,0.28.1,06:57:31 19 Oct 2016,ILT_DH1,ILT,Elsayed Mohamed,10.1186/s12934-017-0819-1
A15 F79 I10 R1,clonal,,M9,glucose(2),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,536056,E. coli DH1,,NC_017625_1_gene_names_locus_mapping.gbk,0.28.1,06:43:59 19 Oct 2016,ILT_DH1,ILT,Elsayed Mohamed,10.1186/s12934-017-0819-1
A16 F88 I1 R1,clonal,,M9,glucose(2),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,536056,E. coli DH1,,NC_017625_1_gene_names_locus_mapping.gbk,0.28.1,07:12:56 19 Oct 2016,ILT_DH1,ILT,Elsayed Mohamed,10.1186/s12934-017-0819-1
A16 F88 I6 R1,clonal,,M9,glucose(2),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,536056,E. coli DH1,,NC_017625_1_gene_names_locus_mapping.gbk,0.28.1,04:11:46 19 Oct 2016,ILT_DH1,ILT,Elsayed Mohamed,10.1186/s12934-017-0819-1
A16 F88 I7 R1,clonal,,M9,glucose(2),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,536056,E. coli DH1,,NC_017625_1_gene_names_locus_mapping.gbk,0.28.1,07:30:37 19 Oct 2016,ILT_DH1,ILT,Elsayed Mohamed,10.1186/s12934-017-0819-1
