sample_name,clonal_or_population,tech_rep_description,media_description,carbon_source,nitrogen_source,phosphorous_source,sulfur_source,calcium_source,supplement,temperature,strain,strain_details,taxonomy_id,reseq_reference,breseq_version,reseq_date,experiment,project,person,doi
A0 F0 I1 R1,clonal,,M9,,,,,,,37,,,,NC_000913.3.gb,0.24rc7,19:10:53 12 Mar 2015,ILT_MG1655,ILT,Elsayed Mohamed,10.1186/s12934-017-0819-1
A1 F61 I1 R1,clonal,,M9,glucose(2),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,BOP27 E. coli K-12 MG1655,,NC_000913_3.gb,0.27.1,10:05:25 22 Apr 2016,ILT_MG1655,ILT,Elsayed Mohamed,10.1186/s12934-017-0819-1
A1 F61 I2 R1,clonal,,M9,glucose(2),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,BOP27 E. coli K-12 MG1655,,NC_000913_3.gb,0.27.1,17:21:55 22 Apr 2016,ILT_MG1655,ILT,Elsayed Mohamed,10.1186/s12934-017-0819-1
A1 F61 I8 R1,clonal,,M9,glucose(2),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,BOP27 E. coli K-12 MG1655,,NC_000913_3.gb,0.27.1,13:24:32 22 Apr 2016,ILT_MG1655,ILT,Elsayed Mohamed,10.1186/s12934-017-0819-1
A2 F67 I1 R1,clonal,,M9,glucose(2),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,BOP27 E. coli K-12 MG1655,,NC_000913_3.gb,0.27.1,00:26:59 22 Apr 2016,ILT_MG1655,ILT,Elsayed Mohamed,10.1186/s12934-017-0819-1
A2 F67 I2 R1,clonal,,M9,glucose(2),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,BOP27 E. coli K-12 MG1655,,NC_000913_3.gb,0.27.1,21:28:25 21 Apr 2016,ILT_MG1655,ILT,Elsayed Mohamed,10.1186/s12934-017-0819-1
A2 F67 I3 R1,clonal,,M9,glucose(2),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,BOP27 E. coli K-12 MG1655,,NC_000913_3.gb,0.27.1,06:52:29 22 Apr 2016,ILT_MG1655,ILT,Elsayed Mohamed,10.1186/s12934-017-0819-1
A3 F63 I6 R1,clonal,,M9,glucose(2),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,BOP27 E. coli K-12 MG1655,,NC_000913_3.gb,0.27.1,03:59:48 22 Apr 2016,ILT_MG1655,ILT,Elsayed Mohamed,10.1186/s12934-017-0819-1
A3 F63 I9 R1,clonal,,M9,glucose(2),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,BOP27 E. coli K-12 MG1655,,NC_000913_3.gb,0.27.1,18:03:25 21 Apr 2016,ILT_MG1655,ILT,Elsayed Mohamed,10.1186/s12934-017-0819-1
A3 F63 I10 R1,clonal,,M9,glucose(2),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,BOP27 E. coli K-12 MG1655,,NC_000913_3.gb,0.27.1,14:41:59 21 Apr 2016,ILT_MG1655,ILT,Elsayed Mohamed,10.1186/s12934-017-0819-1
A4 F84 I5 R1,clonal,,M9,glucose(2),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,BOP27 E. coli K-12 MG1655,,NC_000913_3.gb,0.27.1,06:59:51 21 Apr 2016,ILT_MG1655,ILT,Elsayed Mohamed,10.1186/s12934-017-0819-1
A4 F84 I7 R1,clonal,,M9,glucose(2),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,BOP27 E. coli K-12 MG1655,,NC_000913_3.gb,0.27.1,03:09:33 21 Apr 2016,ILT_MG1655,ILT,Elsayed Mohamed,10.1186/s12934-017-0819-1
A4 F84 I10 R1,clonal,,M9,glucose(2),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,BOP27 E. coli K-12 MG1655,,NC_000913_3.gb,0.27.1,10:42:49 21 Apr 2016,ILT_MG1655,ILT,Elsayed Mohamed,10.1186/s12934-017-0819-1
A9 F86 I2 R1,clonal,,M9,glucose(2),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,BOP27 E. coli K-12 MG1655,,NC_000913_3.gb,0.27.1,19:20:48 21 Apr 2016,ILT_MG1655,ILT,Elsayed Mohamed,10.1186/s12934-017-0819-1
A9 F86 I4 R1,clonal,,M9,glucose(2),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,BOP27 E. coli K-12 MG1655,,NC_000913_3.gb,0.27.1,08:01:05 21 Apr 2016,ILT_MG1655,ILT,Elsayed Mohamed,10.1186/s12934-017-0819-1
A9 F86 I8 R1,clonal,,M9,glucose(2),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,BOP27 E. coli K-12 MG1655,,NC_000913_3.gb,0.27.1,01:44:26 22 Apr 2016,ILT_MG1655,ILT,Elsayed Mohamed,10.1186/s12934-017-0819-1
A10 F86 I1 R1,clonal,,M9,,,,,,,37,,,,NC_000913_3.gb,0.27.1,05:15:16 22 Apr 2016,ILT_MG1655,ILT,Elsayed Mohamed,10.1186/s12934-017-0819-1
A10 F86 I8 R1,clonal,,M9,,,,,,,37,,,,NC_000913_3.gb,0.27.1,09:11:28 22 Apr 2016,ILT_MG1655,ILT,Elsayed Mohamed,10.1186/s12934-017-0819-1
A10 F86 I9 R1,clonal,,M9,,,,,,,37,,,,NC_000913_3.gb,0.27.1,12:53:58 22 Apr 2016,ILT_MG1655,ILT,Elsayed Mohamed,10.1186/s12934-017-0819-1
A11 F90 I1 R1,clonal,,M9,glucose(2),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,BOP27 E. coli K-12 MG1655,,NC_000913_3.gb,0.27.1,17:51:23 22 Apr 2016,ILT_MG1655,ILT,Elsayed Mohamed,10.1186/s12934-017-0819-1
A11 F90 I5 R1,clonal,,M9,glucose(2),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,BOP27 E. coli K-12 MG1655,,NC_000913_3.gb,0.27.1,21:40:17 22 Apr 2016,ILT_MG1655,ILT,Elsayed Mohamed,10.1186/s12934-017-0819-1
A11 F90 I10 R1,clonal,,M9,glucose(2),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,BOP27 E. coli K-12 MG1655,,NC_000913_3.gb,0.27.1,22:47:08 21 Apr 2016,ILT_MG1655,ILT,Elsayed Mohamed,10.1186/s12934-017-0819-1
A12 F91 I3 R1,clonal,,M9,glucose(2),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,BOP27 E. coli K-12 MG1655,,NC_000913_3.gb,0.27.1,03:52:26 21 Apr 2016,ILT_MG1655,ILT,Elsayed Mohamed,10.1186/s12934-017-0819-1
A12 F91 I7 R1,clonal,,M9,glucose(2),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,BOP27 E. coli K-12 MG1655,,NC_000913_3.gb,0.27.1,15:53:23 21 Apr 2016,ILT_MG1655,ILT,Elsayed Mohamed,10.1186/s12934-017-0819-1
A12 F91 I8 R1,clonal,,M9,glucose(2),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,BOP27 E. coli K-12 MG1655,,NC_000913_3.gb,0.27.1,12:05:53 21 Apr 2016,ILT_MG1655,ILT,Elsayed Mohamed,10.1186/s12934-017-0819-1
