sample_name,clonal_or_population,tech_rep_description,media_description,carbon_source,nitrogen_source,phosphorous_source,sulfur_source,calcium_source,supplement,temperature,strain,strain_details,taxonomy_id,reseq_reference,breseq_version,reseq_date,experiment,project,person,doi
A1 F0 I1 R1,clonal,,M9,Glucose(5),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,CGSC6300,,/var/data/MG1655.gb,0.35.4,00:08:39 02 Feb 2021,Isoprenol_TALE,Ecoli_Isoprenol_TALE,Jens O. Kromer,
A1 F1 I1 R1,clonal,,M9,Glucose(5),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,CGSC6300,,/var/data/MG1655.gb,0.35.4,23:08:09 01 Feb 2021,Isoprenol_TALE,Ecoli_Isoprenol_TALE,Jens O. Kromer,
A1 F2 I1 R1,clonal,,M9,Glucose(5),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,CGSC6300,,/var/data/MG1655.gb,0.35.4,20:38:49 01 Feb 2021,Isoprenol_TALE,Ecoli_Isoprenol_TALE,Jens O. Kromer,
A1 F3 I1 R1,clonal,,M9,Glucose(5),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,CGSC6300,,/var/data/MG1655.gb,0.35.4,23:47:43 01 Feb 2021,Isoprenol_TALE,Ecoli_Isoprenol_TALE,Jens O. Kromer,
A1 F4 I1 R1,clonal,,M9,Glucose(5),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,CGSC6300,,/var/data/MG1655.gb,0.35.4,21:41:06 01 Feb 2021,Isoprenol_TALE,Ecoli_Isoprenol_TALE,Jens O. Kromer,
A1 F5 I1 R1,clonal,,M9,Glucose(5),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,CGSC6300,,/var/data/MG1655.gb,0.35.4,21:22:01 01 Feb 2021,Isoprenol_TALE,Ecoli_Isoprenol_TALE,Jens O. Kromer,
A1 F6 I1 R1,clonal,,M9,Glucose(5),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,CGSC6300,,/var/data/MG1655.gb,0.35.4,00:33:28 02 Feb 2021,Isoprenol_TALE,Ecoli_Isoprenol_TALE,Jens O. Kromer,
A1 F7 I1 R1,clonal,,M9,Glucose(5),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,CGSC6300,,/var/data/MG1655.gb,0.35.4,23:43:06 01 Feb 2021,Isoprenol_TALE,Ecoli_Isoprenol_TALE,Jens O. Kromer,
A2 F1 I1 R1,clonal,,M9,Glucose(5),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,CGSC6300,,/var/data/MG1655.gb,0.35.4,22:28:32 01 Feb 2021,Isoprenol_TALE,Ecoli_Isoprenol_TALE,Jens O. Kromer,
A2 F2 I1 R1,clonal,,M9,Glucose(5),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,CGSC6300,,/var/data/MG1655.gb,0.35.4,21:05:13 01 Feb 2021,Isoprenol_TALE,Ecoli_Isoprenol_TALE,Jens O. Kromer,
A2 F3 I1 R1,clonal,,M9,Glucose(5),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,CGSC6300,,/var/data/MG1655.gb,0.35.4,22:54:40 01 Feb 2021,Isoprenol_TALE,Ecoli_Isoprenol_TALE,Jens O. Kromer,
A2 F4 I1 R1,clonal,,M9,Glucose(5),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,CGSC6300,,/var/data/MG1655.gb,0.35.4,23:19:22 01 Feb 2021,Isoprenol_TALE,Ecoli_Isoprenol_TALE,Jens O. Kromer,
A2 F5 I1 R1,clonal,,M9,Glucose(5),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,CGSC6300,,/var/data/MG1655.gb,0.35.4,22:13:44 01 Feb 2021,Isoprenol_TALE,Ecoli_Isoprenol_TALE,Jens O. Kromer,
A2 F6 I1 R1,clonal,,M9,Glucose(5),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,CGSC6300,,/var/data/MG1655.gb,0.35.4,23:13:59 01 Feb 2021,Isoprenol_TALE,Ecoli_Isoprenol_TALE,Jens O. Kromer,
A2 F7 I1 R1,clonal,,M9,Glucose(5),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,CGSC6300,,/var/data/MG1655.gb,0.35.4,23:02:31 01 Feb 2021,Isoprenol_TALE,Ecoli_Isoprenol_TALE,Jens O. Kromer,
A3 F1 I1 R1,clonal,,M9,Glucose(5),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,CGSC6300,,/var/data/MG1655.gb,0.35.4,23:19:16 01 Feb 2021,Isoprenol_TALE,Ecoli_Isoprenol_TALE,Jens O. Kromer,
A3 F2 I1 R1,clonal,,M9,Glucose(5),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,CGSC6300,,/var/data/MG1655.gb,0.35.4,23:25:15 01 Feb 2021,Isoprenol_TALE,Ecoli_Isoprenol_TALE,Jens O. Kromer,
A3 F3 I1 R1,clonal,,M9,Glucose(5),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,CGSC6300,,/var/data/MG1655.gb,0.35.4,22:55:35 01 Feb 2021,Isoprenol_TALE,Ecoli_Isoprenol_TALE,Jens O. Kromer,
A3 F4 I1 R1,clonal,,M9,Glucose(5),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,CGSC6300,,/var/data/MG1655.gb,0.35.4,21:10:49 01 Feb 2021,Isoprenol_TALE,Ecoli_Isoprenol_TALE,Jens O. Kromer,
A3 F5 I1 R1,clonal,,M9,Glucose(5),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,CGSC6300,,/var/data/MG1655.gb,0.35.4,21:49:55 01 Feb 2021,Isoprenol_TALE,Ecoli_Isoprenol_TALE,Jens O. Kromer,
A3 F6 I1 R1,clonal,,M9,Glucose(5),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,CGSC6300,,/var/data/MG1655.gb,0.35.4,22:16:50 01 Feb 2021,Isoprenol_TALE,Ecoli_Isoprenol_TALE,Jens O. Kromer,
A3 F7 I1 R1,clonal,,M9,Glucose(5),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,CGSC6300,,/var/data/MG1655.gb,0.35.4,23:20:27 01 Feb 2021,Isoprenol_TALE,Ecoli_Isoprenol_TALE,Jens O. Kromer,
