sample_name,clonal_or_population,tech_rep_description,media_description,carbon_source,nitrogen_source,phosphorous_source,sulfur_source,calcium_source,supplement,temperature,strain,strain_details,taxonomy_id,reseq_reference,breseq_version,reseq_date,experiment,project,person,doi
A9 F17 I1 R1,clonal,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,30,160488,Pseudomonas putida KT2440,,/var/data/KT2440_diff.gb,0.33.1,08:43:54 30 Mar 2020,KT2440_NRELM9_Glc_TEA_HS_30,Pputida_IL_TALE,Hyungyu Lim,
A9 F35 I1 R1,clonal,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,30,160488,Pseudomonas putida KT2440,,/var/data/KT2440_diff.gb,0.33.1,21:58:51 29 Mar 2020,KT2440_NRELM9_Glc_TEA_HS_30,Pputida_IL_TALE,Hyungyu Lim,
A9 F43 I1 R1,clonal,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,30,160488,Pseudomonas putida KT2440,,/var/data/KT2440_diff.gb,0.33.1,09:01:23 30 Mar 2020,KT2440_NRELM9_Glc_TEA_HS_30,Pputida_IL_TALE,Hyungyu Lim,
A9 F60 I0 R1,population,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,30,160488,Pseudomonas putida KT2440,,/var/data/KT2440_diff.gb,0.33.1,23:11:48 29 Mar 2020,KT2440_NRELM9_Glc_TEA_HS_30,Pputida_IL_TALE,Hyungyu Lim,
A9 F60 I1 R1,clonal,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,30,160488,Pseudomonas putida KT2440,,/var/data/KT2440_diff.gb,0.33.1,19:19:36 29 Mar 2020,KT2440_NRELM9_Glc_TEA_HS_30,Pputida_IL_TALE,Hyungyu Lim,
A10 F16 I1 R1,clonal,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,30,160488,Pseudomonas putida KT2440,,/var/data/KT2440_diff.gb,0.33.1,06:37:18 30 Mar 2020,KT2440_NRELM9_Glc_TEA_HS_30,Pputida_IL_TALE,Hyungyu Lim,
A10 F32 I1 R1,clonal,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,30,160488,Pseudomonas putida KT2440,,/var/data/KT2440_diff.gb,0.33.1,08:36:56 30 Mar 2020,KT2440_NRELM9_Glc_TEA_HS_30,Pputida_IL_TALE,Hyungyu Lim,
A10 F42 I1 R1,clonal,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,30,160488,Pseudomonas putida KT2440,,/var/data/KT2440_diff.gb,0.33.1,04:37:14 30 Mar 2020,KT2440_NRELM9_Glc_TEA_HS_30,Pputida_IL_TALE,Hyungyu Lim,
A10 F54 I0 R1,population,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,30,160488,Pseudomonas putida KT2440,,/var/data/KT2440_diff.gb,0.33.1,04:06:35 30 Mar 2020,KT2440_NRELM9_Glc_TEA_HS_30,Pputida_IL_TALE,Hyungyu Lim,
A10 F54 I1 R1,clonal,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,30,160488,Pseudomonas putida KT2440,,/var/data/KT2440_diff.gb,0.33.1,21:44:02 29 Mar 2020,KT2440_NRELM9_Glc_TEA_HS_30,Pputida_IL_TALE,Hyungyu Lim,
A11 F12 I1 R1,clonal,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,30,160488,Pseudomonas putida KT2440,,/var/data/KT2440_diff.gb,0.33.1,09:42:01 30 Mar 2020,KT2440_NRELM9_Glc_TEA_HS_30,Pputida_IL_TALE,Hyungyu Lim,
A11 F26 I1 R1,clonal,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,30,160488,Pseudomonas putida KT2440,,/var/data/KT2440_diff.gb,0.33.1,06:09:04 30 Mar 2020,KT2440_NRELM9_Glc_TEA_HS_30,Pputida_IL_TALE,Hyungyu Lim,
A11 F36 I1 R1,clonal,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,30,160488,Pseudomonas putida KT2440,,/var/data/KT2440_diff.gb,0.33.1,05:20:03 30 Mar 2020,KT2440_NRELM9_Glc_TEA_HS_30,Pputida_IL_TALE,Hyungyu Lim,
A11 F50 I0 R1,population,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,30,160488,Pseudomonas putida KT2440,,/var/data/KT2440_diff.gb,0.33.1,19:39:34 29 Mar 2020,KT2440_NRELM9_Glc_TEA_HS_30,Pputida_IL_TALE,Hyungyu Lim,
A11 F50 I1 R1,clonal,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,30,160488,Pseudomonas putida KT2440,,/var/data/KT2440_diff.gb,0.33.1,01:48:19 30 Mar 2020,KT2440_NRELM9_Glc_TEA_HS_30,Pputida_IL_TALE,Hyungyu Lim,
A12 F17 I1 R1,clonal,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,30,160488,Pseudomonas putida KT2440,,/var/data/KT2440_diff.gb,0.33.1,06:52:43 30 Mar 2020,KT2440_NRELM9_Glc_TEA_HS_30,Pputida_IL_TALE,Hyungyu Lim,
A12 F34 I1 R1,clonal,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,30,160488,Pseudomonas putida KT2440,,/var/data/KT2440_diff.gb,0.33.1,17:49:41 29 Mar 2020,KT2440_NRELM9_Glc_TEA_HS_30,Pputida_IL_TALE,Hyungyu Lim,
A12 F41 I1 R1,clonal,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,30,160488,Pseudomonas putida KT2440,,/var/data/KT2440_diff.gb,0.33.1,06:47:31 30 Mar 2020,KT2440_NRELM9_Glc_TEA_HS_30,Pputida_IL_TALE,Hyungyu Lim,
A12 F55 I0 R1,population,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,30,160488,Pseudomonas putida KT2440,,/var/data/KT2440_diff.gb,0.33.1,17:22:23 29 Mar 2020,KT2440_NRELM9_Glc_TEA_HS_30,Pputida_IL_TALE,Hyungyu Lim,
A12 F55 I1 R1,clonal,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,30,160488,Pseudomonas putida KT2440,,/var/data/KT2440_diff.gb,0.33.1,03:14:10 30 Mar 2020,KT2440_NRELM9_Glc_TEA_HS_30,Pputida_IL_TALE,Hyungyu Lim,
