sample_name,clonal_or_population,tech_rep_description,media_description,carbon_source,nitrogen_source,phosphorous_source,sulfur_source,calcium_source,supplement,temperature,strain,strain_details,taxonomy_id,reseq_reference,breseq_version,reseq_date,experiment,project,person,doi
A5 F26 I1 R1,clonal,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,30,160488,Pseudomonas putida KT2440,,/var/data/KT2440_diff.gb,0.33.1,09:55:47 26 Mar 2020,KT2440_NRELM9_Glc_TEOH_OAc_30,Pputida_IL_TALE,Hyungyu Lim,
A5 F43 I1 R1,clonal,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,30,160488,Pseudomonas putida KT2440,,/var/data/KT2440_diff.gb,0.33.1,18:25:13 26 Mar 2020,KT2440_NRELM9_Glc_TEOH_OAc_30,Pputida_IL_TALE,Hyungyu Lim,
A5 F63 I1 R1,clonal,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,30,160488,Pseudomonas putida KT2440,,/var/data/KT2440_diff.gb,0.33.1,13:33:35 26 Mar 2020,KT2440_NRELM9_Glc_TEOH_OAc_30,Pputida_IL_TALE,Hyungyu Lim,
A5 F91 I0 R1,population,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,30,160488,Pseudomonas putida KT2440,,/var/data/KT2440_diff.gb,0.33.1,21:35:31 26 Mar 2020,KT2440_NRELM9_Glc_TEOH_OAc_30,Pputida_IL_TALE,Hyungyu Lim,
A5 F91 I1 R1,clonal,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,30,160488,Pseudomonas putida KT2440,,/var/data/KT2440_diff.gb,0.33.1,17:53:49 26 Mar 2020,KT2440_NRELM9_Glc_TEOH_OAc_30,Pputida_IL_TALE,Hyungyu Lim,
A6 F19 I1 R1,clonal,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,30,160488,Pseudomonas putida KT2440,,/var/data/KT2440_diff.gb,0.33.1,23:32:25 26 Mar 2020,KT2440_NRELM9_Glc_TEOH_OAc_30,Pputida_IL_TALE,Hyungyu Lim,
A6 F35 I1 R1,clonal,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,30,160488,Pseudomonas putida KT2440,,/var/data/KT2440_diff.gb,0.33.1,21:02:42 26 Mar 2020,KT2440_NRELM9_Glc_TEOH_OAc_30,Pputida_IL_TALE,Hyungyu Lim,
A6 F54 I1 R1,clonal,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,30,160488,Pseudomonas putida KT2440,,/var/data/KT2440_diff.gb,0.33.1,22:42:30 26 Mar 2020,KT2440_NRELM9_Glc_TEOH_OAc_30,Pputida_IL_TALE,Hyungyu Lim,
A6 F80 I0 R1,population,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,30,160488,Pseudomonas putida KT2440,,/var/data/KT2440_diff.gb,0.33.1,12:03:55 26 Mar 2020,KT2440_NRELM9_Glc_TEOH_OAc_30,Pputida_IL_TALE,Hyungyu Lim,
A6 F80 I1 R1,clonal,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,30,160488,Pseudomonas putida KT2440,,/var/data/KT2440_diff.gb,0.33.1,15:23:39 26 Mar 2020,KT2440_NRELM9_Glc_TEOH_OAc_30,Pputida_IL_TALE,Hyungyu Lim,
