sample_name,clonal_or_population,tech_rep_description,media_description,carbon_source,nitrogen_source,phosphorous_source,sulfur_source,calcium_source,supplement,temperature,strain,strain_details,taxonomy_id,reseq_reference,breseq_version,reseq_date,experiment,project,person,doi
A1 F0 I1 R1,clonal,,M9,xylose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,30,160488,"An engineered strain based on wild-type Pseudomonas putida KT2440 to have a heterogous gene (xylD, expressed under a synthetic constitutive promoter) from Caulobacter crescentus for xylose utilization",,/var/data/P_putida_KT2440_SBRG_200401_xylD_new.gb,0.35.4,07:25:52 03 Feb 2021,KT2440_NRELM9_XylD_xylose_30,Pputida_carbon_ALE,Hyungyu Lim,10.1021/acssuschemeng.1c03765
A1 F11 I1 R1,clonal,,M9,xylose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,30,160488,"An engineered strain based on wild-type Pseudomonas putida KT2440 to have a heterogous gene (xylD, expressed under a synthetic constitutive promoter) from Caulobacter crescentus for xylose utilization",,/var/data/P_putida_KT2440_SBRG_200401_xylD_new.gb,0.35.4,14:20:43 05 Mar 2021,KT2440_NRELM9_XylD_xylose_30,Pputida_carbon_ALE,Hyungyu Lim,10.1021/acssuschemeng.1c03765
A1 F37 I1 R1,clonal,,M9,xylose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,30,160488,"An engineered strain based on wild-type Pseudomonas putida KT2440 to have a heterogous gene (xylD, expressed under a synthetic constitutive promoter) from Caulobacter crescentus for xylose utilization",,/var/data/P_putida_KT2440_SBRG_200401_xylD_new.gb,0.35.4,07:17:12 03 Feb 2021,KT2440_NRELM9_XylD_xylose_30,Pputida_carbon_ALE,Hyungyu Lim,10.1021/acssuschemeng.1c03765
A2 F10 I1 R1,clonal,,M9,xylose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,30,160488,"An engineered strain based on wild-type Pseudomonas putida KT2440 to have a heterogous gene (xylD, expressed under a synthetic constitutive promoter) from Caulobacter crescentus for xylose utilization",,/var/data/P_putida_KT2440_SBRG_200401_xylD_new.gb,0.35.4,07:59:16 03 Feb 2021,KT2440_NRELM9_XylD_xylose_30,Pputida_carbon_ALE,Hyungyu Lim,10.1021/acssuschemeng.1c03765
A2 F35 I1 R1,clonal,,M9,xylose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,30,160488,"An engineered strain based on wild-type Pseudomonas putida KT2440 to have a heterogous gene (xylD, expressed under a synthetic constitutive promoter) from Caulobacter crescentus for xylose utilization",,/var/data/P_putida_KT2440_SBRG_200401_xylD_new.gb,0.35.4,04:32:00 03 Feb 2021,KT2440_NRELM9_XylD_xylose_30,Pputida_carbon_ALE,Hyungyu Lim,10.1021/acssuschemeng.1c03765
A2 F72 I1 R1,clonal,,M9,xylose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,30,160488,"An engineered strain based on wild-type Pseudomonas putida KT2440 to have a heterogous gene (xylD, expressed under a synthetic constitutive promoter) from Caulobacter crescentus for xylose utilization",,/var/data/P_putida_KT2440_SBRG_200401_xylD_new.gb,0.35.4,10:10:49 03 Feb 2021,KT2440_NRELM9_XylD_xylose_30,Pputida_carbon_ALE,Hyungyu Lim,10.1021/acssuschemeng.1c03765
A3 F14 I1 R1,clonal,,M9,xylose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,30,160488,"An engineered strain based on wild-type Pseudomonas putida KT2440 to have a heterogous gene (xylD, expressed under a synthetic constitutive promoter) from Caulobacter crescentus for xylose utilization",,/var/data/P_putida_KT2440_SBRG_200401_xylD_new.gb,0.35.4,10:21:56 05 Mar 2021,KT2440_NRELM9_XylD_xylose_30,Pputida_carbon_ALE,Hyungyu Lim,10.1021/acssuschemeng.1c03765
A3 F39 I1 R1,clonal,,M9,xylose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,30,160488,"An engineered strain based on wild-type Pseudomonas putida KT2440 to have a heterogous gene (xylD, expressed under a synthetic constitutive promoter) from Caulobacter crescentus for xylose utilization",,/var/data/P_putida_KT2440_SBRG_200401_xylD_new.gb,0.35.4,04:55:26 03 Feb 2021,KT2440_NRELM9_XylD_xylose_30,Pputida_carbon_ALE,Hyungyu Lim,10.1021/acssuschemeng.1c03765
A3 F76 I1 R1,clonal,,M9,xylose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,30,160488,"An engineered strain based on wild-type Pseudomonas putida KT2440 to have a heterogous gene (xylD, expressed under a synthetic constitutive promoter) from Caulobacter crescentus for xylose utilization",,/var/data/P_putida_KT2440_SBRG_200401_xylD_new.gb,0.35.4,10:23:47 05 Mar 2021,KT2440_NRELM9_XylD_xylose_30,Pputida_carbon_ALE,Hyungyu Lim,10.1021/acssuschemeng.1c03765
A4 F11 I1 R1,clonal,,M9,xylose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,30,160488,"An engineered strain based on wild-type Pseudomonas putida KT2440 to have a heterogous gene (xylD, expressed under a synthetic constitutive promoter) from Caulobacter crescentus for xylose utilization",,/var/data/P_putida_KT2440_SBRG_200401_xylD_new.gb,0.35.4,10:27:03 05 Mar 2021,KT2440_NRELM9_XylD_xylose_30,Pputida_carbon_ALE,Hyungyu Lim,10.1021/acssuschemeng.1c03765
A4 F36 I1 R1,clonal,,M9,xylose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,30,160488,"An engineered strain based on wild-type Pseudomonas putida KT2440 to have a heterogous gene (xylD, expressed under a synthetic constitutive promoter) from Caulobacter crescentus for xylose utilization",,/var/data/P_putida_KT2440_SBRG_200401_xylD_new.gb,0.35.4,04:42:14 03 Feb 2021,KT2440_NRELM9_XylD_xylose_30,Pputida_carbon_ALE,Hyungyu Lim,10.1021/acssuschemeng.1c03765
A4 F56 I1 R1,clonal,,M9,xylose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,30,160488,"An engineered strain based on wild-type Pseudomonas putida KT2440 to have a heterogous gene (xylD, expressed under a synthetic constitutive promoter) from Caulobacter crescentus for xylose utilization",,/var/data/P_putida_KT2440_SBRG_200401_xylD_new.gb,0.35.4,05:24:08 03 Feb 2021,KT2440_NRELM9_XylD_xylose_30,Pputida_carbon_ALE,Hyungyu Lim,10.1021/acssuschemeng.1c03765
