sample_name,clonal_or_population,tech_rep_description,media_description,carbon_source,nitrogen_source,phosphorous_source,sulfur_source,calcium_source,supplement,temperature,strain,strain_details,taxonomy_id,reseq_reference,breseq_version,reseq_date,experiment,project,person,doi
A0 F0 I1 R1,clonal,,M9,glucose(2),NH4Cl(2),"KH2PO4(6),Na2HPO4(13.6)",MgSO4(24),CaCl2(0.1),"NaCl(1g/L),trace elements(), NaCl(0.5)",37,511145,E. coli K12 MG1655 Δpgi,Qiagen/ 600,NC_000913_3.gb,0.27.1,00:02:30 18 Jun 2016,PGI,PGI,Pep Charusanti,10.1371/journal.pgen.1001186 10.1073/pnas.1715530115
A1 F50 I1 R1,clonal,,M9,glucose(2),NH4Cl(2),"KH2PO4(6),Na2HPO4(13.6)",MgSO4(24),CaCl2(0.1),"NaCl(1g/L),trace elements(), NaCl(0.5)",37,511145,E. coli K12 MG1655 Δpgi,Qiagen/ 600,NC_000913_3.gb,0.27.1,23:02:37 17 Jun 2016,PGI,PGI,Pep Charusanti,10.1371/journal.pgen.1001186 10.1073/pnas.1715530115
A2 F50 I1 R1,clonal,,M9,glucose(2),NH4Cl(2),"KH2PO4(6),Na2HPO4(13.6)",MgSO4(24),CaCl2(0.1),"NaCl(1g/L),trace elements(), NaCl(0.5)",37,511145,E. coli K12 MG1655 Δpgi,Qiagen/ 600,NC_000913_3.gb,0.27.1,21:51:33 17 Jun 2016,PGI,PGI,Pep Charusanti,10.1371/journal.pgen.1001186 10.1073/pnas.1715530115
A3 F50 I1 R1,clonal,,M9,glucose(2),NH4Cl(2),"KH2PO4(6),Na2HPO4(13.6)",MgSO4(24),CaCl2(0.1),"NaCl(1g/L),trace elements(), NaCl(0.5)",37,511145,E. coli K12 MG1655 Δpgi,Qiagen/ 600,NC_000913_3.gb,0.27.1,22:27:00 17 Jun 2016,PGI,PGI,Pep Charusanti,10.1371/journal.pgen.1001186 10.1073/pnas.1715530115
A4 F50 I1 R1,clonal,,M9,glucose(2),NH4Cl(2),"KH2PO4(6),Na2HPO4(13.6)",MgSO4(24),CaCl2(0.1),"NaCl(1g/L),trace elements(), NaCl(0.5)",37,511145,E. coli K12 MG1655 Δpgi,Qiagen/ 600,NC_000913_3.gb,0.27.1,20:35:52 17 Jun 2016,PGI,PGI,Pep Charusanti,10.1371/journal.pgen.1001186 10.1073/pnas.1715530115
A5 F50 I1 R1,clonal,,M9,glucose(2),NH4Cl(2),"KH2PO4(6),Na2HPO4(13.6)",MgSO4(24),CaCl2(0.1),"NaCl(1g/L),trace elements(), NaCl(0.5)",37,511145,E. coli K12 MG1655 Δpgi,Qiagen/ 600,NC_000913_3.gb,0.27.1,21:14:47 17 Jun 2016,PGI,PGI,Pep Charusanti,10.1371/journal.pgen.1001186 10.1073/pnas.1715530115
A6 F50 I1 R1,clonal,,M9,glucose(2),NH4Cl(2),"KH2PO4(6),Na2HPO4(13.6)",MgSO4(24),CaCl2(0.1),"NaCl(1g/L),trace elements(), NaCl(0.5)",37,511145,E. coli K12 MG1655 Δpgi,Qiagen/ 600,NC_000913_3.gb,0.27.1,23:29:09 17 Jun 2016,PGI,PGI,Pep Charusanti,10.1371/journal.pgen.1001186 10.1073/pnas.1715530115
A7 F50 I1 R1,clonal,,M9,glucose(2),NH4Cl(2),"KH2PO4(6),Na2HPO4(13.6)",MgSO4(24),CaCl2(0.1),"NaCl(1g/L),trace elements(), NaCl(0.5)",37,511145,E. coli K12 MG1655 Δpgi,Qiagen/ 600,NC_000913_3.gb,0.27.1,20:02:20 17 Jun 2016,PGI,PGI,Pep Charusanti,10.1371/journal.pgen.1001186 10.1073/pnas.1715530115
A8 F50 I1 R1,clonal,,M9,glucose(2),NH4Cl(2),"KH2PO4(6),Na2HPO4(13.6)",MgSO4(24),CaCl2(0.1),"NaCl(1g/L),trace elements(), NaCl(0.5)",37,511145,E. coli K12 MG1655 Δpgi,Qiagen/ 600,NC_000913_3.gb,0.27.1,18:46:09 17 Jun 2016,PGI,PGI,Pep Charusanti,10.1371/journal.pgen.1001186 10.1073/pnas.1715530115
A9 F50 I1 R1,clonal,,M9,glucose(2),NH4Cl(2),"KH2PO4(6),Na2HPO4(13.6)",MgSO4(24),CaCl2(0.1),"NaCl(1g/L),trace elements(), NaCl(0.5)",37,511145,E. coli K12 MG1655 Δpgi,Qiagen/ 600,NC_000913_3.gb,0.27.1,18:53:41 20 Jun 2016,PGI,PGI,Pep Charusanti,10.1371/journal.pgen.1001186 10.1073/pnas.1715530115
A10 F50 I1 R1,clonal,,M9,glucose(2),NH4Cl(2),"KH2PO4(6),Na2HPO4(13.6)",MgSO4(24),CaCl2(0.1),"NaCl(1g/L),trace elements(), NaCl(0.5)",37,511145,E. coli K12 MG1655 Δpgi,Qiagen/ 600,NC_000913_3.gb,0.27.1,19:26:54 17 Jun 2016,PGI,PGI,Pep Charusanti,10.1371/journal.pgen.1001186 10.1073/pnas.1715530115
