sample_name,clonal_or_population,tech_rep_description,media_description,carbon_source,nitrogen_source,phosphorous_source,sulfur_source,calcium_source,supplement,temperature,strain,strain_details,taxonomy_id,reseq_reference,breseq_version,reseq_date,experiment,project,person,doi
A0 F0 I1 R1,clonal,,M9,,,,,,,37,,,,/var/data/Pseudomonas_putida_KT2440.gb,0.33.1,12:53:18 18 Feb 2020,PutidaTALE_Coumaric,P. putida Hydroxycinnamic TALE,Elsayed Mohamed,10.1016/j.mec.2020.e00143
A1 F26 I1 R1,clonal,,M9,,,,,,,37,,,,/var/data/Pseudomonas_putida_KT2440.gb,0.33.1,03:17:30 19 Feb 2020,PutidaTALE_Coumaric,P. putida Hydroxycinnamic TALE,Elsayed Mohamed,10.1016/j.mec.2020.e00143
A1 F43 I1 R1,clonal,,M9,,,,,,,37,,,,/var/data/Pseudomonas_putida_KT2440.gb,0.33.1,09:28:18 19 Feb 2020,PutidaTALE_Coumaric,P. putida Hydroxycinnamic TALE,Elsayed Mohamed,10.1016/j.mec.2020.e00143
A1 F61 I0 R1,population,,M9,,,,,,,37,,,,/var/data/Pseudomonas_putida_KT2440.gb,0.33.1,16:47:17 17 Feb 2020,PutidaTALE_Coumaric,P. putida Hydroxycinnamic TALE,Elsayed Mohamed,10.1016/j.mec.2020.e00143
A3 F27 I1 R1,clonal,,M9,,,,,,,37,,,,/var/data/Pseudomonas_putida_KT2440.gb,0.33.1,18:56:44 18 Feb 2020,PutidaTALE_Coumaric,P. putida Hydroxycinnamic TALE,Elsayed Mohamed,10.1016/j.mec.2020.e00143
A3 F47 I1 R1,clonal,,M9,,,,,,,37,,,,/var/data/Pseudomonas_putida_KT2440.gb,0.33.1,17:17:06 17 Feb 2020,PutidaTALE_Coumaric,P. putida Hydroxycinnamic TALE,Elsayed Mohamed,10.1016/j.mec.2020.e00143
A3 F68 I0 R1,population,,M9,,,,,,,37,,,,/var/data/Pseudomonas_putida_KT2440.gb,0.33.1,18:27:14 18 Feb 2020,PutidaTALE_Coumaric,P. putida Hydroxycinnamic TALE,Elsayed Mohamed,10.1016/j.mec.2020.e00143
A3 F68 I2 R1,clonal,,M9,,,,,,,37,,,,/var/data/Pseudomonas_putida_KT2440.gb,0.33.1,07:01:50 18 Feb 2020,PutidaTALE_Coumaric,P. putida Hydroxycinnamic TALE,Elsayed Mohamed,10.1016/j.mec.2020.e00143
A5 F26 I1 R1,clonal,,M9,,,,,,,37,,,,/var/data/Pseudomonas_putida_KT2440.gb,0.33.1,07:37:22 18 Feb 2020,PutidaTALE_Coumaric,P. putida Hydroxycinnamic TALE,Elsayed Mohamed,10.1016/j.mec.2020.e00143
A5 F49 I1 R1,clonal,,M9,,,,,,,37,,,,/var/data/Pseudomonas_putida_KT2440.gb,0.33.1,01:50:34 19 Feb 2020,PutidaTALE_Coumaric,P. putida Hydroxycinnamic TALE,Elsayed Mohamed,10.1016/j.mec.2020.e00143
A5 F72 I0 R1,population,,M9,,,,,,,37,,,,/var/data/Pseudomonas_putida_KT2440.gb,0.33.1,19:46:42 18 Feb 2020,PutidaTALE_Coumaric,P. putida Hydroxycinnamic TALE,Elsayed Mohamed,10.1016/j.mec.2020.e00143
