sample_name,clonal_or_population,tech_rep_description,media_description,carbon_source,nitrogen_source,phosphorous_source,sulfur_source,calcium_source,supplement,temperature,strain,strain_details,taxonomy_id,reseq_reference,breseq_version,reseq_date,experiment,project,person,doi
A0 F0 I1 R1,clonal,,M9,,,,,,,37,,,,/var/data/Pseudomonas_putida_KT2440.gb,0.33.1,00:02:37 18 Feb 2020,PutidaTALE_coumaric_cou_Fer_mix,P. putida Hydroxycinnamic TALE,Elsayed Mohamed,10.1016/j.mec.2020.e00143
A25 F31 I1 R1,clonal,,M9,,,,,,,37,,,,/var/data/Pseudomonas_putida_KT2440.gb,0.33.1,20:48:11 18 Feb 2020,PutidaTALE_coumaric_cou_Fer_mix,P. putida Hydroxycinnamic TALE,Elsayed Mohamed,10.1016/j.mec.2020.e00143
A25 F65 I1 R1,clonal,,M9,,,,,,,37,,,,/var/data/Pseudomonas_putida_KT2440.gb,0.33.1,20:41:19 17 Feb 2020,PutidaTALE_coumaric_cou_Fer_mix,P. putida Hydroxycinnamic TALE,Elsayed Mohamed,10.1016/j.mec.2020.e00143
A25 F97 I0 R1,population,,M9,,,,,,,37,,,,/var/data/Pseudomonas_putida_KT2440.gb,0.33.1,13:36:39 18 Feb 2020,PutidaTALE_coumaric_cou_Fer_mix,P. putida Hydroxycinnamic TALE,Elsayed Mohamed,10.1016/j.mec.2020.e00143
A25 F97 I2 R1,clonal,,M9,,,,,,,37,,,,/var/data/Pseudomonas_putida_KT2440.gb,0.33.1,01:11:17 18 Feb 2020,PutidaTALE_coumaric_cou_Fer_mix,P. putida Hydroxycinnamic TALE,Elsayed Mohamed,10.1016/j.mec.2020.e00143
A27 F32 I1 R1,clonal,,M9,,,,,,,37,,,,/var/data/Pseudomonas_putida_KT2440.gb,0.33.1,18:58:56 17 Feb 2020,PutidaTALE_coumaric_cou_Fer_mix,P. putida Hydroxycinnamic TALE,Elsayed Mohamed,10.1016/j.mec.2020.e00143
A27 F70 I1 R1,clonal,,M9,,,,,,,37,,,,/var/data/Pseudomonas_putida_KT2440.gb,0.33.1,20:20:06 18 Feb 2020,PutidaTALE_coumaric_cou_Fer_mix,P. putida Hydroxycinnamic TALE,Elsayed Mohamed,10.1016/j.mec.2020.e00143
A27 F103 I0 R1,population,,M9,,,,,,,37,,,,/var/data/Pseudomonas_putida_KT2440.gb,0.33.1,00:22:23 19 Feb 2020,PutidaTALE_coumaric_cou_Fer_mix,P. putida Hydroxycinnamic TALE,Elsayed Mohamed,10.1016/j.mec.2020.e00143
A27 F103 I2 R1,clonal,,M9,,,,,,,37,,,,/var/data/Pseudomonas_putida_KT2440.gb,0.33.1,10:16:47 18 Feb 2020,PutidaTALE_coumaric_cou_Fer_mix,P. putida Hydroxycinnamic TALE,Elsayed Mohamed,10.1016/j.mec.2020.e00143
A29 F30 I1 R1,clonal,,M9,,,,,,,37,160497,P. putida KT2440,,/var/data/Pseudomonas_putida_KT2440.gb,0.33.1,04:04:43 19 Feb 2020,PutidaTALE_coumaric_cou_Fer_mix,P. putida Hydroxycinnamic TALE,Elsayed Mohamed,10.1016/j.mec.2020.e00143
A29 F70 I1 R1,clonal,,M9,,,,,,,37,160497,P. putida KT2440,,/var/data/Pseudomonas_putida_KT2440.gb,0.33.1,14:15:43 18 Feb 2020,PutidaTALE_coumaric_cou_Fer_mix,P. putida Hydroxycinnamic TALE,Elsayed Mohamed,10.1016/j.mec.2020.e00143
A29 F103 I0 R1,population,,M9,,,,,,,37,160497,P. putida KT2440,,/var/data/Pseudomonas_putida_KT2440.gb,0.33.1,04:34:44 18 Feb 2020,PutidaTALE_coumaric_cou_Fer_mix,P. putida Hydroxycinnamic TALE,Elsayed Mohamed,10.1016/j.mec.2020.e00143
A29 F103 I2 R1,clonal,,M9,,,,,,,37,160497,P. putida KT2440,,/var/data/Pseudomonas_putida_KT2440.gb,0.33.1,11:15:02 18 Feb 2020,PutidaTALE_coumaric_cou_Fer_mix,P. putida Hydroxycinnamic TALE,Elsayed Mohamed,10.1016/j.mec.2020.e00143
A31 F32 I1 R1,clonal,,M9,,,,,,,37,,,,/var/data/Pseudomonas_putida_KT2440.gb,0.33.1,13:59:46 18 Feb 2020,PutidaTALE_coumaric_cou_Fer_mix,P. putida Hydroxycinnamic TALE,Elsayed Mohamed,10.1016/j.mec.2020.e00143
A31 F71 I1 R1,clonal,,M9,,,,,,,37,,,,/var/data/Pseudomonas_putida_KT2440.gb,0.33.1,09:06:22 18 Feb 2020,PutidaTALE_coumaric_cou_Fer_mix,P. putida Hydroxycinnamic TALE,Elsayed Mohamed,10.1016/j.mec.2020.e00143
A31 F102 I0 R1,population,,M9,,,,,,,37,,,,/var/data/Pseudomonas_putida_KT2440.gb,0.33.1,23:06:50 18 Feb 2020,PutidaTALE_coumaric_cou_Fer_mix,P. putida Hydroxycinnamic TALE,Elsayed Mohamed,10.1016/j.mec.2020.e00143
A31 F102 I2 R1,clonal,,M9,,,,,,,37,,,,/var/data/Pseudomonas_putida_KT2440.gb,0.33.1,06:19:20 18 Feb 2020,PutidaTALE_coumaric_cou_Fer_mix,P. putida Hydroxycinnamic TALE,Elsayed Mohamed,10.1016/j.mec.2020.e00143
A33 F34 I1 R1,clonal,,M9,,,,,,,37,,,,/var/data/Pseudomonas_putida_KT2440.gb,0.33.1,23:39:02 18 Feb 2020,PutidaTALE_coumaric_cou_Fer_mix,P. putida Hydroxycinnamic TALE,Elsayed Mohamed,10.1016/j.mec.2020.e00143
A33 F73 I1 R1,clonal,,M9,,,,,,,37,,,,/var/data/Pseudomonas_putida_KT2440.gb,0.33.1,11:47:36 18 Feb 2020,PutidaTALE_coumaric_cou_Fer_mix,P. putida Hydroxycinnamic TALE,Elsayed Mohamed,10.1016/j.mec.2020.e00143
A33 F108 I0 R1,population,,M9,,,,,,,37,,,,/var/data/Pseudomonas_putida_KT2440.gb,0.33.1,00:55:58 18 Feb 2020,PutidaTALE_coumaric_cou_Fer_mix,P. putida Hydroxycinnamic TALE,Elsayed Mohamed,10.1016/j.mec.2020.e00143
A33 F108 I2 R1,clonal,,M9,,,,,,,37,,,,/var/data/Pseudomonas_putida_KT2440.gb,0.33.1,00:13:12 18 Feb 2020,PutidaTALE_coumaric_cou_Fer_mix,P. putida Hydroxycinnamic TALE,Elsayed Mohamed,10.1016/j.mec.2020.e00143
A35 F29 I1 R1,clonal,,M9,,,,,,,37,,,,/var/data/Pseudomonas_putida_KT2440.gb,0.33.1,03:49:05 18 Feb 2020,PutidaTALE_coumaric_cou_Fer_mix,P. putida Hydroxycinnamic TALE,Elsayed Mohamed,10.1016/j.mec.2020.e00143
