sample_name,clonal_or_population,tech_rep_description,media_description,carbon_source,nitrogen_source,phosphorous_source,sulfur_source,calcium_source,supplement,temperature,strain,strain_details,taxonomy_id,reseq_reference,breseq_version,reseq_date,experiment,project,person,doi
A1 F17 I0 R1,population,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,07:51:05 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A1 F17 I1 R1,clonal,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,07:12:32 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A1 F71 I0 R1,population,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,07:49:25 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A1 F71 I1 R1,clonal,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,08:16:24 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A1 F112 I0 R1,population,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,07:35:22 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A1 F112 I1 R1,clonal,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,07:41:11 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A3 F34 I0 R1,population,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,08:07:24 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A3 F34 I1 R1,clonal,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,08:10:08 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A3 F44 I0 R1,population,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,08:01:56 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A3 F44 I1 R1,clonal,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,08:10:39 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A3 F76 I0 R1,population,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,07:17:23 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A3 F76 I1 R1,clonal,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,07:21:32 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A4 F237 I1 R1,clonal,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,BOP27,,/var/data/NC_000913.3.gb,0.35.4,08:10:33 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A5 F20 I0 R1,population,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,08:00:44 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A5 F20 I1 R1,clonal,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,08:00:56 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A5 F52 I0 R1,population,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,07:58:41 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A5 F52 I1 R1,clonal,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,07:59:26 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A5 F84 I0 R1,population,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,08:09:56 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A5 F84 I1 R1,clonal,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,07:11:59 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A7 F29 I0 R1,population,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,08:58:32 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A7 F29 I1 R1,clonal,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,07:50:25 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A7 F66 I0 R1,population,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,07:56:09 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A7 F66 I1 R1,clonal,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,08:05:18 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A7 F103 I0 R1,population,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,07:27:31 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A7 F103 I1 R1,clonal,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,07:22:52 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A9 F31 I0 R1,population,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,07:41:32 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A9 F31 I1 R1,clonal,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,07:09:12 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A9 F59 I0 R1,population,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,07:40:47 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
