sample_name,clonal_or_population,tech_rep_description,media_description,carbon_source,nitrogen_source,phosphorous_source,sulfur_source,calcium_source,supplement,temperature,strain,strain_details,taxonomy_id,reseq_reference,breseq_version,reseq_date,experiment,project,person,doi
A0 F0 I0 R1,population,,MHB,,,,,,,37,451516,S. aureus TCH1516 STM1,,/var/data/TCH1516_HM_ALE_referencePlusProkka_Jan2019.gbk,0.33.1,21:22:56 23 May 2019,SNFM_STM_1,SNFM,Michael Salazar,10.1128/mSystems.00828-19
A0 F0 I1 R1,clonal,,MHB,,,,,,,37,451516,S. aureus TCH1516 STM1,,/var/data/TCH1516_HM_ALE_referencePlusProkka_Jan2019.gbk,0.33.1,08:53:57 24 May 2019,SNFM_STM_1,SNFM,Michael Salazar,10.1128/mSystems.00828-19
A7 F17 I1 R1,clonal,,MHB,,,,,,,37,451516,S. aureus TCH1516 STM1,,/var/data/TCH1516_HM_ALE_referencePlusProkka_Jan2019.gbk,0.33.1,09:02:40 23 May 2019,SNFM_STM_1,SNFM,Michael Salazar,10.1128/mSystems.00828-19
A7 F42 I0 R1,population,,MHB,,,,,,,37,451516,S. aureus TCH1516 STM1,,/var/data/TCH1516_HM_ALE_referencePlusProkka_Jan2019.gbk,0.33.1,17:17:42 23 May 2019,SNFM_STM_1,SNFM,Michael Salazar,10.1128/mSystems.00828-19
A7 F42 I1 R1,clonal,,MHB,,,,,,,37,451516,S. aureus TCH1516 STM1,,/var/data/TCH1516_HM_ALE_referencePlusProkka_Jan2019.gbk,0.33.1,08:59:00 23 May 2019,SNFM_STM_1,SNFM,Michael Salazar,10.1128/mSystems.00828-19
A7 F57 I0 R1,population,,MHB,,,,,,,37,451516,S. aureus TCH1516 STM1,,/var/data/TCH1516_HM_ALE_referencePlusProkka_Jan2019.gbk,0.33.1,02:02:59 24 May 2019,SNFM_STM_1,SNFM,Michael Salazar,10.1128/mSystems.00828-19
A7 F57 I1 R1,clonal,,MHB,,,,,,,37,451516,S. aureus TCH1516 STM1,,/var/data/TCH1516_HM_ALE_referencePlusProkka_Jan2019.gbk,0.33.1,06:26:33 23 May 2019,SNFM_STM_1,SNFM,Michael Salazar,10.1128/mSystems.00828-19
A7 F72 I0 R1,population,,MHB,,,,,,,37,451516,S. aureus TCH1516 STM1,,/var/data/TCH1516_HM_ALE_referencePlusProkka_Jan2019.gbk,0.33.1,06:04:58 24 May 2019,SNFM_STM_1,SNFM,Michael Salazar,10.1128/mSystems.00828-19
A7 F72 I1 R1,clonal,,MHB,,,,,,,37,451516,S. aureus TCH1516 STM1,,/var/data/TCH1516_HM_ALE_referencePlusProkka_Jan2019.gbk,0.33.1,01:56:08 24 May 2019,SNFM_STM_1,SNFM,Michael Salazar,10.1128/mSystems.00828-19
A11 F18 I0 R1,population,,MHB,,,,,,,37,451516,S. aureus TCH1516 STM1,,/var/data/TCH1516_HM_ALE_referencePlusProkka_Jan2019.gbk,0.33.1,06:29:36 24 May 2019,SNFM_STM_1,SNFM,Michael Salazar,10.1128/mSystems.00828-19
A11 F18 I1 R1,clonal,,MHB,,,,,,,37,451516,S. aureus TCH1516 STM1,,/var/data/TCH1516_HM_ALE_referencePlusProkka_Jan2019.gbk,0.33.1,21:25:41 23 May 2019,SNFM_STM_1,SNFM,Michael Salazar,10.1128/mSystems.00828-19
A11 F42 I0 R1,population,,MHB,,,,,,,37,451516,S. aureus TCH1516 STM1,,/var/data/TCH1516_HM_ALE_referencePlusProkka_Jan2019.gbk,0.33.1,17:56:02 23 May 2019,SNFM_STM_1,SNFM,Michael Salazar,10.1128/mSystems.00828-19
A11 F42 I1 R1,clonal,,MHB,,,,,,,37,451516,S. aureus TCH1516 STM1,,/var/data/TCH1516_HM_ALE_referencePlusProkka_Jan2019.gbk,0.33.1,08:21:44 23 May 2019,SNFM_STM_1,SNFM,Michael Salazar,10.1128/mSystems.00828-19
A11 F58 I0 R1,population,,MHB,,,,,,,37,451516,S. aureus TCH1516 STM1,,/var/data/TCH1516_HM_ALE_referencePlusProkka_Jan2019.gbk,0.33.1,06:19:40 24 May 2019,SNFM_STM_1,SNFM,Michael Salazar,10.1128/mSystems.00828-19
A11 F58 I1 R1,clonal,,MHB,,,,,,,37,451516,S. aureus TCH1516 STM1,,/var/data/TCH1516_HM_ALE_referencePlusProkka_Jan2019.gbk,0.33.1,21:33:51 23 May 2019,SNFM_STM_1,SNFM,Michael Salazar,10.1128/mSystems.00828-19
A11 F75 I0 R1,population,,MHB,,,,,,,37,451516,S. aureus TCH1516 STM1,,/var/data/TCH1516_HM_ALE_referencePlusProkka_Jan2019.gbk,0.33.1,21:48:32 23 May 2019,SNFM_STM_1,SNFM,Michael Salazar,10.1128/mSystems.00828-19
A11 F75 I1 R1,clonal,,MHB,,,,,,,37,451516,S. aureus TCH1516 STM1,,/var/data/TCH1516_HM_ALE_referencePlusProkka_Jan2019.gbk,0.33.1,17:00:47 23 May 2019,SNFM_STM_1,SNFM,Michael Salazar,10.1128/mSystems.00828-19
A13 F16 I0 R1,population,,MHB,,,,,,,37,451516,S. aureus TCH1516 STM1,,/var/data/TCH1516_HM_ALE_referencePlusProkka_Jan2019.gbk,0.33.1,02:41:36 23 May 2019,SNFM_STM_1,SNFM,Michael Salazar,10.1128/mSystems.00828-19
