sample_name,clonal_or_population,tech_rep_description,media_description,carbon_source,nitrogen_source,phosphorous_source,sulfur_source,calcium_source,supplement,temperature,strain,strain_details,taxonomy_id,reseq_reference,breseq_version,reseq_date,experiment,project,person,doi
A0 F0 I0 R1,population,,RPMI,,Ca(NO3)2(4H2O)(0.1),Na2HPO4(0.8),MgSO4(0.04884),,,37,451516,S. aureus TCH1516 STR1,,/var/data/TCH1516_HM_ALE_referencePlusProkka_Jan2019.gbk,0.33.1,01:08:28 26 May 2019,SNFR_STR_1,SNFR,Michael Salazar,10.1128/mSystems.00828-19
A0 F0 I1 R1,clonal,,RPMI,,Ca(NO3)2(4H2O)(0.1),Na2HPO4(0.8),MgSO4(0.04884),,,37,451516,S. aureus TCH1516 STR1,,/var/data/TCH1516_HM_ALE_referencePlusProkka_Jan2019.gbk,0.33.1,05:22:43 26 May 2019,SNFR_STR_1,SNFR,Michael Salazar,10.1128/mSystems.00828-19
A7 F21 I0 R1,population,,RPMI,,Ca(NO3)2(4H2O)(0.1),Na2HPO4(0.8),MgSO4(0.04884),,,37,451516,S. aureus TCH1516 STR1,,/var/data/TCH1516_HM_ALE_referencePlusProkka_Jan2019.gbk,0.33.1,05:17:37 25 May 2019,SNFR_STR_1,SNFR,Michael Salazar,10.1128/mSystems.00828-19
A7 F21 I1 R1,clonal,,RPMI,,Ca(NO3)2(4H2O)(0.1),Na2HPO4(0.8),MgSO4(0.04884),,,37,451516,S. aureus TCH1516 STR1,,/var/data/TCH1516_HM_ALE_referencePlusProkka_Jan2019.gbk,0.33.1,09:25:20 25 May 2019,SNFR_STR_1,SNFR,Michael Salazar,10.1128/mSystems.00828-19
A7 F67 I0 R1,population,,RPMI,,Ca(NO3)2(4H2O)(0.1),Na2HPO4(0.8),MgSO4(0.04884),,,37,451516,S. aureus TCH1516 STR1,,/var/data/TCH1516_HM_ALE_referencePlusProkka_Jan2019.gbk,0.33.1,01:28:36 26 May 2019,SNFR_STR_1,SNFR,Michael Salazar,10.1128/mSystems.00828-19
A7 F67 I1 R1,clonal,,RPMI,,Ca(NO3)2(4H2O)(0.1),Na2HPO4(0.8),MgSO4(0.04884),,,37,451516,S. aureus TCH1516 STR1,,/var/data/TCH1516_HM_ALE_referencePlusProkka_Jan2019.gbk,0.33.1,13:45:51 25 May 2019,SNFR_STR_1,SNFR,Michael Salazar,10.1128/mSystems.00828-19
A7 F123 I0 R1,population,,RPMI,,Ca(NO3)2(4H2O)(0.1),Na2HPO4(0.8),MgSO4(0.04884),,,37,451516,S. aureus TCH1516 STR1,,/var/data/TCH1516_HM_ALE_referencePlusProkka_Jan2019.gbk,0.33.1,01:16:10 26 May 2019,SNFR_STR_1,SNFR,Michael Salazar,10.1128/mSystems.00828-19
A7 F184 I0 R1,population,,RPMI,,Ca(NO3)2(4H2O)(0.1),Na2HPO4(0.8),MgSO4(0.04884),,,37,451516,S. aureus TCH1516 STR1,,/var/data/TCH1516_HM_ALE_referencePlusProkka_Jan2019.gbk,0.33.1,07:07:47 26 May 2019,SNFR_STR_1,SNFR,Michael Salazar,10.1128/mSystems.00828-19
A7 F184 I1 R1,clonal,,RPMI,,Ca(NO3)2(4H2O)(0.1),Na2HPO4(0.8),MgSO4(0.04884),,,37,451516,S. aureus TCH1516 STR1,,/var/data/TCH1516_HM_ALE_referencePlusProkka_Jan2019.gbk,0.33.1,11:34:54 25 May 2019,SNFR_STR_1,SNFR,Michael Salazar,10.1128/mSystems.00828-19
A9 F22 I0 R1,population,,RPMI,,Ca(NO3)2(4H2O)(0.1),Na2HPO4(0.8),MgSO4(0.04884),,,37,451516,S. aureus TCH1516 STR1,,/var/data/TCH1516_HM_ALE_referencePlusProkka_Jan2019.gbk,0.33.1,07:33:40 26 May 2019,SNFR_STR_1,SNFR,Michael Salazar,10.1128/mSystems.00828-19
A9 F22 I1 R1,clonal,,RPMI,,Ca(NO3)2(4H2O)(0.1),Na2HPO4(0.8),MgSO4(0.04884),,,37,451516,S. aureus TCH1516 STR1,,/var/data/TCH1516_HM_ALE_referencePlusProkka_Jan2019.gbk,0.33.1,10:02:55 25 May 2019,SNFR_STR_1,SNFR,Michael Salazar,10.1128/mSystems.00828-19
A9 F59 I0 R1,population,,RPMI,,Ca(NO3)2(4H2O)(0.1),Na2HPO4(0.8),MgSO4(0.04884),,,37,451516,S. aureus TCH1516 STR1,,/var/data/TCH1516_HM_ALE_referencePlusProkka_Jan2019.gbk,0.33.1,07:12:53 26 May 2019,SNFR_STR_1,SNFR,Michael Salazar,10.1128/mSystems.00828-19
A9 F59 I1 R1,clonal,,RPMI,,Ca(NO3)2(4H2O)(0.1),Na2HPO4(0.8),MgSO4(0.04884),,,37,451516,S. aureus TCH1516 STR1,,/var/data/TCH1516_HM_ALE_referencePlusProkka_Jan2019.gbk,0.33.1,01:18:24 26 May 2019,SNFR_STR_1,SNFR,Michael Salazar,10.1128/mSystems.00828-19
A9 F110 I0 R1,population,,RPMI,,Ca(NO3)2(4H2O)(0.1),Na2HPO4(0.8),MgSO4(0.04884),,,37,451516,S. aureus TCH1516 STR1,,/var/data/TCH1516_HM_ALE_referencePlusProkka_Jan2019.gbk,0.33.1,01:37:50 26 May 2019,SNFR_STR_1,SNFR,Michael Salazar,10.1128/mSystems.00828-19
A9 F110 I1 R1,clonal,,RPMI,,Ca(NO3)2(4H2O)(0.1),Na2HPO4(0.8),MgSO4(0.04884),,,37,451516,S. aureus TCH1516 STR1,,/var/data/TCH1516_HM_ALE_referencePlusProkka_Jan2019.gbk,0.33.1,13:48:38 25 May 2019,SNFR_STR_1,SNFR,Michael Salazar,10.1128/mSystems.00828-19
A9 F174 I0 R1,population,,RPMI,,Ca(NO3)2(4H2O)(0.1),Na2HPO4(0.8),MgSO4(0.04884),,,37,451516,S. aureus TCH1516 STR1,,/var/data/TCH1516_HM_ALE_referencePlusProkka_Jan2019.gbk,0.33.1,23:25:14 25 May 2019,SNFR_STR_1,SNFR,Michael Salazar,10.1128/mSystems.00828-19
A9 F174 I1 R1,clonal,,RPMI,,Ca(NO3)2(4H2O)(0.1),Na2HPO4(0.8),MgSO4(0.04884),,,37,451516,S. aureus TCH1516 STR1,,/var/data/TCH1516_HM_ALE_referencePlusProkka_Jan2019.gbk,0.33.1,04:00:53 25 May 2019,SNFR_STR_1,SNFR,Michael Salazar,10.1128/mSystems.00828-19
