sample_name,clonal_or_population,tech_rep_description,media_description,carbon_source,nitrogen_source,phosphorous_source,sulfur_source,calcium_source,supplement,temperature,strain,strain_details,taxonomy_id,reseq_reference,breseq_version,reseq_date,experiment,project,person,doi
A0 F0 I0 R1,population,,RPMI,,Ca(NO3)2(4H2O)(0.1),Na2HPO4(0.8),MgSO4(0.04884),,,37,451516,S. aureus TCH1516,,/var/data/TCH1516_HM_ALE_referencePlusProkka_Jan2019.gbk,0.33.1,17:30:06 25 May 2019,SNFR_WT,SNFR,Michael Salazar,10.1128/mSystems.00828-19
A0 F0 I1 R1,clonal,,RPMI,,Ca(NO3)2(4H2O)(0.1),Na2HPO4(0.8),MgSO4(0.04884),,,37,451516,S. aureus TCH1516,,/var/data/TCH1516_HM_ALE_referencePlusProkka_Jan2019.gbk,0.33.1,20:18:03 25 May 2019,SNFR_WT,SNFR,Michael Salazar,10.1128/mSystems.00828-19
A1 F15 I0 R1,population,,RPMI,,Ca(NO3)2(4H2O)(0.1),Na2HPO4(0.8),MgSO4(0.04884),,,37,451516,S. aureus TCH1516,,/var/data/TCH1516_HM_ALE_referencePlusProkka_Jan2019.gbk,0.33.1,22:59:18 25 May 2019,SNFR_WT,SNFR,Michael Salazar,10.1128/mSystems.00828-19
A1 F15 I1 R1,clonal,,RPMI,,Ca(NO3)2(4H2O)(0.1),Na2HPO4(0.8),MgSO4(0.04884),,,37,451516,S. aureus TCH1516,,/var/data/TCH1516_HM_ALE_referencePlusProkka_Jan2019.gbk,0.33.1,04:03:40 26 May 2019,SNFR_WT,SNFR,Michael Salazar,10.1128/mSystems.00828-19
A1 F52 I0 R1,population,,RPMI,,Ca(NO3)2(4H2O)(0.1),Na2HPO4(0.8),MgSO4(0.04884),,,37,451516,S. aureus TCH1516,,/var/data/TCH1516_HM_ALE_referencePlusProkka_Jan2019.gbk,0.33.1,21:34:07 25 May 2019,SNFR_WT,SNFR,Michael Salazar,10.1128/mSystems.00828-19
A1 F52 I1 R1,clonal,,RPMI,,Ca(NO3)2(4H2O)(0.1),Na2HPO4(0.8),MgSO4(0.04884),,,37,451516,S. aureus TCH1516,,/var/data/TCH1516_HM_ALE_referencePlusProkka_Jan2019.gbk,0.33.1,07:27:21 25 May 2019,SNFR_WT,SNFR,Michael Salazar,10.1128/mSystems.00828-19
A1 F104 I0 R1,population,,RPMI,,Ca(NO3)2(4H2O)(0.1),Na2HPO4(0.8),MgSO4(0.04884),,,37,451516,S. aureus TCH1516,,/var/data/TCH1516_HM_ALE_referencePlusProkka_Jan2019.gbk,0.33.1,15:00:14 25 May 2019,SNFR_WT,SNFR,Michael Salazar,10.1128/mSystems.00828-19
A1 F104 I1 R1,clonal,,RPMI,,Ca(NO3)2(4H2O)(0.1),Na2HPO4(0.8),MgSO4(0.04884),,,37,451516,S. aureus TCH1516,,/var/data/TCH1516_HM_ALE_referencePlusProkka_Jan2019.gbk,0.33.1,11:05:23 25 May 2019,SNFR_WT,SNFR,Michael Salazar,10.1128/mSystems.00828-19
A1 F169 I0 R1,population,,RPMI,,Ca(NO3)2(4H2O)(0.1),Na2HPO4(0.8),MgSO4(0.04884),,,37,451516,S. aureus TCH1516,,/var/data/TCH1516_HM_ALE_referencePlusProkka_Jan2019.gbk,0.33.1,22:12:19 25 May 2019,SNFR_WT,SNFR,Michael Salazar,10.1128/mSystems.00828-19
A1 F169 I1 R1,clonal,,RPMI,,Ca(NO3)2(4H2O)(0.1),Na2HPO4(0.8),MgSO4(0.04884),,,37,451516,S. aureus TCH1516,,/var/data/TCH1516_HM_ALE_referencePlusProkka_Jan2019.gbk,0.33.1,08:59:09 25 May 2019,SNFR_WT,SNFR,Michael Salazar,10.1128/mSystems.00828-19
A3 F21 I0 R1,population,,RPMI,,Ca(NO3)2(4H2O)(0.1),Na2HPO4(0.8),MgSO4(0.04884),,,37,451516,S. aureus TCH1516,,/var/data/TCH1516_HM_ALE_referencePlusProkka_Jan2019.gbk,0.33.1,02:36:58 26 May 2019,SNFR_WT,SNFR,Michael Salazar,10.1128/mSystems.00828-19
A3 F21 I1 R1,clonal,,RPMI,,Ca(NO3)2(4H2O)(0.1),Na2HPO4(0.8),MgSO4(0.04884),,,37,451516,S. aureus TCH1516,,/var/data/TCH1516_HM_ALE_referencePlusProkka_Jan2019.gbk,0.33.1,13:17:59 25 May 2019,SNFR_WT,SNFR,Michael Salazar,10.1128/mSystems.00828-19
A3 F67 I0 R1,population,,RPMI,,Ca(NO3)2(4H2O)(0.1),Na2HPO4(0.8),MgSO4(0.04884),,,37,451516,S. aureus TCH1516,,/var/data/TCH1516_HM_ALE_referencePlusProkka_Jan2019.gbk,0.33.1,20:53:33 25 May 2019,SNFR_WT,SNFR,Michael Salazar,10.1128/mSystems.00828-19
A3 F67 I1 R1,clonal,,RPMI,,Ca(NO3)2(4H2O)(0.1),Na2HPO4(0.8),MgSO4(0.04884),,,37,451516,S. aureus TCH1516,,/var/data/TCH1516_HM_ALE_referencePlusProkka_Jan2019.gbk,0.33.1,09:11:47 25 May 2019,SNFR_WT,SNFR,Michael Salazar,10.1128/mSystems.00828-19
A3 F121 I0 R1,population,,RPMI,,Ca(NO3)2(4H2O)(0.1),Na2HPO4(0.8),MgSO4(0.04884),,,37,451516,S. aureus TCH1516,,/var/data/TCH1516_HM_ALE_referencePlusProkka_Jan2019.gbk,0.33.1,04:29:12 25 May 2019,SNFR_WT,SNFR,Michael Salazar,10.1128/mSystems.00828-19
A3 F121 I1 R1,clonal,,RPMI,,Ca(NO3)2(4H2O)(0.1),Na2HPO4(0.8),MgSO4(0.04884),,,37,451516,S. aureus TCH1516,,/var/data/TCH1516_HM_ALE_referencePlusProkka_Jan2019.gbk,0.33.1,12:57:42 25 May 2019,SNFR_WT,SNFR,Michael Salazar,10.1128/mSystems.00828-19
A5 F18 I0 R1,population,,RPMI,,Ca(NO3)2(4H2O)(0.1),Na2HPO4(0.8),MgSO4(0.04884),,,37,451516,S. aureus TCH1516,,/var/data/TCH1516_HM_ALE_referencePlusProkka_Jan2019.gbk,0.33.1,19:18:55 25 May 2019,SNFR_WT,SNFR,Michael Salazar,10.1128/mSystems.00828-19
A5 F18 I1 R1,clonal,,RPMI,,Ca(NO3)2(4H2O)(0.1),Na2HPO4(0.8),MgSO4(0.04884),,,37,451516,S. aureus TCH1516,,/var/data/TCH1516_HM_ALE_referencePlusProkka_Jan2019.gbk,0.33.1,08:12:14 26 May 2019,SNFR_WT,SNFR,Michael Salazar,10.1128/mSystems.00828-19
A5 F58 I0 R1,population,,RPMI,,Ca(NO3)2(4H2O)(0.1),Na2HPO4(0.8),MgSO4(0.04884),,,37,451516,S. aureus TCH1516,,/var/data/TCH1516_HM_ALE_referencePlusProkka_Jan2019.gbk,0.33.1,18:39:02 25 May 2019,SNFR_WT,SNFR,Michael Salazar,10.1128/mSystems.00828-19
A5 F58 I1 R1,clonal,,RPMI,,Ca(NO3)2(4H2O)(0.1),Na2HPO4(0.8),MgSO4(0.04884),,,37,451516,S. aureus TCH1516,,/var/data/TCH1516_HM_ALE_referencePlusProkka_Jan2019.gbk,0.33.1,09:02:21 26 May 2019,SNFR_WT,SNFR,Michael Salazar,10.1128/mSystems.00828-19
A5 F109 I0 R1,population,,RPMI,,Ca(NO3)2(4H2O)(0.1),Na2HPO4(0.8),MgSO4(0.04884),,,37,451516,S. aureus TCH1516,,/var/data/TCH1516_HM_ALE_referencePlusProkka_Jan2019.gbk,0.33.1,14:38:02 25 May 2019,SNFR_WT,SNFR,Michael Salazar,10.1128/mSystems.00828-19
A5 F109 I1 R1,clonal,,RPMI,,Ca(NO3)2(4H2O)(0.1),Na2HPO4(0.8),MgSO4(0.04884),,,37,451516,S. aureus TCH1516,,/var/data/TCH1516_HM_ALE_referencePlusProkka_Jan2019.gbk,0.33.1,04:18:24 26 May 2019,SNFR_WT,SNFR,Michael Salazar,10.1128/mSystems.00828-19
A5 F178 I0 R1,population,,RPMI,,Ca(NO3)2(4H2O)(0.1),Na2HPO4(0.8),MgSO4(0.04884),,,37,451516,S. aureus TCH1516,,/var/data/TCH1516_HM_ALE_referencePlusProkka_Jan2019.gbk,0.33.1,05:36:36 25 May 2019,SNFR_WT,SNFR,Michael Salazar,10.1128/mSystems.00828-19
A5 F178 I1 R1,clonal,,RPMI,,Ca(NO3)2(4H2O)(0.1),Na2HPO4(0.8),MgSO4(0.04884),,,37,451516,S. aureus TCH1516,,/var/data/TCH1516_HM_ALE_referencePlusProkka_Jan2019.gbk,0.33.1,00:27:34 26 May 2019,SNFR_WT,SNFR,Michael Salazar,10.1128/mSystems.00828-19
