sample_name,clonal_or_population,tech_rep_description,media_description,carbon_source,nitrogen_source,phosphorous_source,sulfur_source,calcium_source,supplement,temperature,strain,strain_details,taxonomy_id,reseq_reference,breseq_version,reseq_date,experiment,project,person,doi
A0 F0 I1 R1,clonal,,M9,glucose(4) or glycerol(2.5),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,,NC_000913_3.gb,0.27.0b,15:38:18 14 Feb 2016,SSW GLU GLY,SSW,Troy Sandberg,10.1128/AEM.00410-17
A4 F165 I0 R1,population,,M9,glucose(4) or glycerol(2.5),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,,NC_000913_3.gb,0.26.0,01:44:30 17 Apr 2015,SSW GLU GLY,SSW,Troy Sandberg,10.1128/AEM.00410-17
A4 F165 I0 R2,population,,M9,glucose(4) or glycerol(2.5),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,,NC_000913_3.gb,0.26.0,03:07:14 17 Apr 2015,SSW GLU GLY,SSW,Troy Sandberg,10.1128/AEM.00410-17
A4 F165 I1 R1,clonal,,M9,glucose(4) or glycerol(2.5),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,,NC_000913_3.gb,0.27.1,14:54:27 05 Mar 2016,SSW GLU GLY,SSW,Troy Sandberg,10.1128/AEM.00410-17
A4 F165 I2 R1,clonal,,M9,glucose(4) or glycerol(2.5),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,,NC_000913_3.gb,0.27.1,18:10:33 05 Mar 2016,SSW GLU GLY,SSW,Troy Sandberg,10.1128/AEM.00410-17
A5 F160 I0 R1,population,,M9,glucose(4) or glycerol(2.5),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,,NC_000913_3.gb,0.26.0,14:14:05 07 Jul 2015,SSW GLU GLY,SSW,Troy Sandberg,10.1128/AEM.00410-17
A5 F160 I0 R2,population,,M9,glucose(4) or glycerol(2.5),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,,NC_000913_3.gb,0.26.0,17:14:26 06 Jul 2015,SSW GLU GLY,SSW,Troy Sandberg,10.1128/AEM.00410-17
A5 F160 I1 R1,clonal,,M9,glucose(4) or glycerol(2.5),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,,NC_000913_3.gb,0.27.1,23:12:23 05 Mar 2016,SSW GLU GLY,SSW,Troy Sandberg,10.1128/AEM.00410-17
A5 F160 I2 R1,clonal,,M9,glucose(4) or glycerol(2.5),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,,NC_000913_3.gb,0.27.1,15:18:15 05 Mar 2016,SSW GLU GLY,SSW,Troy Sandberg,10.1128/AEM.00410-17
A5 F160 I3 R1,clonal,,M9,glucose(4) or glycerol(2.5),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,,NC_000913_3.gb,0.27.1,17:08:37 05 Mar 2016,SSW GLU GLY,SSW,Troy Sandberg,10.1128/AEM.00410-17
A6 F162 I0 R1,population,,M9,glucose(4) or glycerol(2.5),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,,NC_000913_3.gb,0.26.0,00:29:29 07 Jul 2015,SSW GLU GLY,SSW,Troy Sandberg,10.1128/AEM.00410-17
A6 F162 I0 R2,population,,M9,glucose(4) or glycerol(2.5),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,,NC_000913_3.gb,0.26.0,07:21:29 07 Jul 2015,SSW GLU GLY,SSW,Troy Sandberg,10.1128/AEM.00410-17
A6 F162 I1 R1,clonal,,M9,glucose(4) or glycerol(2.5),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,,NC_000913_3.gb,0.27.1,22:55:07 05 Mar 2016,SSW GLU GLY,SSW,Troy Sandberg,10.1128/AEM.00410-17
A6 F162 I2 R1,clonal,,M9,glucose(4) or glycerol(2.5),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,,NC_000913_3.gb,0.27.1,00:23:21 06 Mar 2016,SSW GLU GLY,SSW,Troy Sandberg,10.1128/AEM.00410-17
