sample_name,clonal_or_population,tech_rep_description,media_description,carbon_source,nitrogen_source,phosphorous_source,sulfur_source,calcium_source,supplement,temperature,strain,strain_details,taxonomy_id,reseq_reference,breseq_version,reseq_date,experiment,project,person,doi
A0 F0 I1 R1,clonal,,M9,glucose(4) or xylose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,,NC_000913_3.gb,0.27.0b,15:38:18 14 Feb 2016,SSW GLU XYL,SSW,Troy Sandberg,10.1128/AEM.00410-17
A1 F163 I0 R1,population,,M9,glucose(4) or xylose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,,NC_000913_3.gb,0.26.0,09:32:07 16 Apr 2015,SSW GLU XYL,SSW,Troy Sandberg,10.1128/AEM.00410-17
A1 F163 I0 R2,population,,M9,glucose(4) or xylose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,,NC_000913_3.gb,0.30.0,18:27:53 13 Apr 2017,SSW GLU XYL,SSW,Troy Sandberg,10.1128/AEM.00410-17
A1 F163 I1 R1,clonal,,M9,glucose(4) or xylose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,,NC_000913_3.gb,0.27.1,03:09:08 06 Mar 2016,SSW GLU XYL,SSW,Troy Sandberg,10.1128/AEM.00410-17
A1 F163 I2 R1,clonal,,M9,glucose(4) or xylose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,,NC_000913_3.gb,0.27.1,01:07:56 06 Mar 2016,SSW GLU XYL,SSW,Troy Sandberg,10.1128/AEM.00410-17
A1 F163 I3 R1,clonal,,M9,glucose(4) or xylose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,,NC_000913_3.gb,0.27.1,22:13:31 05 Mar 2016,SSW GLU XYL,SSW,Troy Sandberg,10.1128/AEM.00410-17
A1 F163 I4 R1,clonal,,M9,glucose(4) or xylose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,,NC_000913_3.gb,0.27.1,21:31:32 05 Mar 2016,SSW GLU XYL,SSW,Troy Sandberg,10.1128/AEM.00410-17
A1 F163 I5 R1,clonal,,M9,glucose(4) or xylose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,,NC_000913_3.gb,0.27.1,16:04:43 05 Mar 2016,SSW GLU XYL,SSW,Troy Sandberg,10.1128/AEM.00410-17
A1 F163 I6 R1,clonal,,M9,glucose(4) or xylose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,,NC_000913_3.gb,0.27.1,00:00:46 06 Mar 2016,SSW GLU XYL,SSW,Troy Sandberg,10.1128/AEM.00410-17
A1 F163 I7 R1,clonal,,M9,glucose(4) or xylose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,,NC_000913_3.gb,0.27.1,16:53:02 05 Mar 2016,SSW GLU XYL,SSW,Troy Sandberg,10.1128/AEM.00410-17
A1 F163 I8 R1,clonal,,M9,glucose(4) or xylose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,,NC_000913_3.gb,0.27.1,02:11:48 06 Mar 2016,SSW GLU XYL,SSW,Troy Sandberg,10.1128/AEM.00410-17
A2 F165 I0 R1,population,,M9,glucose(4) or xylose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,,NC_000913_3.gb,0.26.0,04:33:33 16 Apr 2015,SSW GLU XYL,SSW,Troy Sandberg,10.1128/AEM.00410-17
A2 F165 I0 R2,population,,M9,glucose(4) or xylose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,,NC_000913_3.gb,0.26.0,20:37:49 07 Jul 2015,SSW GLU XYL,SSW,Troy Sandberg,10.1128/AEM.00410-17
A2 F165 I0 R3,population,,M9,glucose(4) or xylose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,,NC_000913_3.gb,0.26.0,06:21:09 17 Apr 2015,SSW GLU XYL,SSW,Troy Sandberg,10.1128/AEM.00410-17
A2 F165 I0 R4,population,,M9,glucose(4) or xylose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,,NC_000913_3.gb,0.26.0,05:13:54 07 Jul 2015,SSW GLU XYL,SSW,Troy Sandberg,10.1128/AEM.00410-17
A2 F165 I1 R1,clonal,,M9,glucose(4) or xylose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,,NC_000913_3.gb,0.27.1,20:38:49 05 Mar 2016,SSW GLU XYL,SSW,Troy Sandberg,10.1128/AEM.00410-17
A2 F165 I2 R1,clonal,,M9,glucose(4) or xylose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,,NC_000913_3.gb,0.27.1,19:35:29 05 Mar 2016,SSW GLU XYL,SSW,Troy Sandberg,10.1128/AEM.00410-17
A3 F164 I0 R1,population,,M9,glucose(4) or xylose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,,NC_000913_3.gb,0.26.0,02:12:38 16 Apr 2015,SSW GLU XYL,SSW,Troy Sandberg,10.1128/AEM.00410-17
A3 F164 I0 R2,population,,M9,glucose(4) or xylose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,,NC_000913_3.gb,0.27.1,17:16:07 25 May 2016,SSW GLU XYL,SSW,Troy Sandberg,10.1128/AEM.00410-17
A3 F164 I1 R1,clonal,,M9,glucose(4) or xylose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,,NC_000913_3.gb,0.27.1,17:58:08 05 Mar 2016,SSW GLU XYL,SSW,Troy Sandberg,10.1128/AEM.00410-17
A3 F164 I2 R1,clonal,,M9,glucose(4) or xylose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,,NC_000913_3.gb,0.27.1,15:22:01 21 Mar 2016,SSW GLU XYL,SSW,Troy Sandberg,10.1128/AEM.00410-17
A3 F164 I3 R1,clonal,,M9,glucose(4) or xylose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,,NC_000913_3.gb,0.27.1,13:50:30 21 Mar 2016,SSW GLU XYL,SSW,Troy Sandberg,10.1128/AEM.00410-17
A3 F164 I4 R1,clonal,,M9,glucose(4) or xylose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,,NC_000913_3.gb,0.27.1,15:41:39 21 Mar 2016,SSW GLU XYL,SSW,Troy Sandberg,10.1128/AEM.00410-17
A3 F164 I5 R1,clonal,,M9,glucose(4) or xylose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,,NC_000913_3.gb,0.27.1,14:23:22 21 Mar 2016,SSW GLU XYL,SSW,Troy Sandberg,10.1128/AEM.00410-17
A3 F164 I6 R1,clonal,,M9,glucose(4) or xylose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,,NC_000913_3.gb,0.27.1,10:07:11 22 Mar 2016,SSW GLU XYL,SSW,Troy Sandberg,10.1128/AEM.00410-17
A3 F164 I7 R1,clonal,,M9,glucose(4) or xylose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,,NC_000913_3.gb,0.27.1,22:32:33 05 Mar 2016,SSW GLU XYL,SSW,Troy Sandberg,10.1128/AEM.00410-17
A3 F164 I8 R1,clonal,,M9,glucose(4) or xylose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),NaCl(0.5),37,511145,BOP27,,NC_000913_3.gb,0.27.1,17:53:29 16 Apr 2016,SSW GLU XYL,SSW,Troy Sandberg,10.1128/AEM.00410-17
