sample_name,clonal_or_population,tech_rep_description,media_description,carbon_source,nitrogen_source,phosphorous_source,sulfur_source,calcium_source,supplement,temperature,strain,strain_details,taxonomy_id,reseq_reference,breseq_version,reseq_date,experiment,project,person,doi
A0 F0 I1 R1,clonal,,LB,,,,,,,37,282459,Staphylococcus aureus subsp. aureus MSSA476,Kapa/ 100,/var/data/GCA_000011525.1_ASM1152v1_genomic.gb,0.33.1,04:45:42 07 Apr 2020,S_aureus_alone,Ford_etal_2016_NatComm,Suzanne A. Ford,10.1038/ncomms13430
A1 F5 I0 R1,population,,LB,,,,,,,37,282459,Staphylococcus aureus subsp. aureus MSSA476,Kapa/ 100,/var/data/GCA_000011525.1_ASM1152v1_genomic.gb,0.33.1,20:20:36 06 Apr 2020,S_aureus_alone,Ford_etal_2016_NatComm,Suzanne A. Ford,10.1038/ncomms13430
A1 F10 I0 R1,population,,LB,,,,,,,37,282459,Staphylococcus aureus subsp. aureus MSSA476,Kapa/ 100,/var/data/GCA_000011525.1_ASM1152v1_genomic.gb,0.33.1,01:37:13 07 Apr 2020,S_aureus_alone,Ford_etal_2016_NatComm,Suzanne A. Ford,10.1038/ncomms13430
A2 F5 I0 R1,population,,LB,,,,,,,37,282459,Staphylococcus aureus subsp. aureus MSSA476,Kapa/ 100,/var/data/GCA_000011525.1_ASM1152v1_genomic.gb,0.33.1,02:57:43 07 Apr 2020,S_aureus_alone,Ford_etal_2016_NatComm,Suzanne A. Ford,10.1038/ncomms13430
A2 F10 I0 R1,population,,LB,,,,,,,37,282459,Staphylococcus aureus subsp. aureus MSSA476,Kapa/ 100,/var/data/GCA_000011525.1_ASM1152v1_genomic.gb,0.33.1,22:40:16 06 Apr 2020,S_aureus_alone,Ford_etal_2016_NatComm,Suzanne A. Ford,10.1038/ncomms13430
A3 F5 I0 R1,population,,LB,,,,,,,37,282459,Staphylococcus aureus subsp. aureus MSSA476,Kapa/ 100,/var/data/GCA_000011525.1_ASM1152v1_genomic.gb,0.33.1,00:33:34 07 Apr 2020,S_aureus_alone,Ford_etal_2016_NatComm,Suzanne A. Ford,10.1038/ncomms13430
A3 F10 I0 R1,population,,LB,,,,,,,37,282459,Staphylococcus aureus subsp. aureus MSSA476,Kapa/ 100,/var/data/GCA_000011525.1_ASM1152v1_genomic.gb,0.33.1,21:38:52 06 Apr 2020,S_aureus_alone,Ford_etal_2016_NatComm,Suzanne A. Ford,10.1038/ncomms13430
A4 F5 I0 R1,population,,LB,,,,,,,37,282459,Staphylococcus aureus subsp. aureus MSSA476,Kapa/ 100,/var/data/GCA_000011525.1_ASM1152v1_genomic.gb,0.33.1,04:16:24 07 Apr 2020,S_aureus_alone,Ford_etal_2016_NatComm,Suzanne A. Ford,10.1038/ncomms13430
A4 F10 I0 R1,population,,LB,,,,,,,37,282459,Staphylococcus aureus subsp. aureus MSSA476,Kapa/ 100,/var/data/GCA_000011525.1_ASM1152v1_genomic.gb,0.33.1,00:07:42 07 Apr 2020,S_aureus_alone,Ford_etal_2016_NatComm,Suzanne A. Ford,10.1038/ncomms13430
A5 F5 I0 R1,population,,LB,,,,,,,37,282459,Staphylococcus aureus subsp. aureus MSSA476,Kapa/ 100,/var/data/GCA_000011525.1_ASM1152v1_genomic.gb,0.33.1,01:41:53 07 Apr 2020,S_aureus_alone,Ford_etal_2016_NatComm,Suzanne A. Ford,10.1038/ncomms13430
A5 F10 I0 R1,population,,LB,,,,,,,37,282459,Staphylococcus aureus subsp. aureus MSSA476,Kapa/ 100,/var/data/GCA_000011525.1_ASM1152v1_genomic.gb,0.33.1,05:34:25 07 Apr 2020,S_aureus_alone,Ford_etal_2016_NatComm,Suzanne A. Ford,10.1038/ncomms13430
