sample_name,clonal_or_population,tech_rep_description,media_description,carbon_source,nitrogen_source,phosphorous_source,sulfur_source,calcium_source,supplement,temperature,strain,strain_details,taxonomy_id,reseq_reference,breseq_version,reseq_date,experiment,project,person,doi
A0 F0 I1 R1,clonal,,LB,,,,,,,37,282459,Staphylococcus aureus subsp. aureus MSSA476,Kapa/ 100,/var/data/GCA_000011525.1_ASM1152v1_genomic.gb,0.33.1,21:39:33 07 Apr 2020,S_aureus_with_E_faecalis,Ford_etal_2016_NatComm,Suzanne A. Ford,10.1038/ncomms13430
A1 F5 I0 R1,population,,LB,,,,,,,37,282459,Staphylococcus aureus subsp. aureus MSSA476,Kapa/ 100,/var/data/GCA_000011525.1_ASM1152v1_genomic.gb,0.33.1,01:06:28 08 Apr 2020,S_aureus_with_E_faecalis,Ford_etal_2016_NatComm,Suzanne A. Ford,10.1038/ncomms13430
A1 F10 I0 R1,population,,LB,,,,,,,37,282459,Staphylococcus aureus subsp. aureus MSSA476,Kapa/ 100,/var/data/GCA_000011525.1_ASM1152v1_genomic.gb,0.33.1,17:24:48 07 Apr 2020,S_aureus_with_E_faecalis,Ford_etal_2016_NatComm,Suzanne A. Ford,10.1038/ncomms13430
A2 F5 I0 R1,population,,LB,,,,,,,37,282459,Staphylococcus aureus subsp. aureus MSSA476,Kapa/ 100,/var/data/GCA_000011525.1_ASM1152v1_genomic.gb,0.33.1,22:38:21 07 Apr 2020,S_aureus_with_E_faecalis,Ford_etal_2016_NatComm,Suzanne A. Ford,10.1038/ncomms13430
A2 F10 I0 R1,population,,LB,,,,,,,37,282459,Staphylococcus aureus subsp. aureus MSSA476,Kapa/ 100,/var/data/GCA_000011525.1_ASM1152v1_genomic.gb,0.33.1,01:11:51 08 Apr 2020,S_aureus_with_E_faecalis,Ford_etal_2016_NatComm,Suzanne A. Ford,10.1038/ncomms13430
A3 F5 I0 R1,population,,LB,,,,,,,37,282459,Staphylococcus aureus subsp. aureus MSSA476,Kapa/ 100,/var/data/GCA_000011525.1_ASM1152v1_genomic.gb,0.33.1,18:52:10 07 Apr 2020,S_aureus_with_E_faecalis,Ford_etal_2016_NatComm,Suzanne A. Ford,10.1038/ncomms13430
A3 F10 I0 R1,population,,LB,,,,,,,37,282459,Staphylococcus aureus subsp. aureus MSSA476,Kapa/ 100,/var/data/GCA_000011525.1_ASM1152v1_genomic.gb,0.33.1,21:39:58 07 Apr 2020,S_aureus_with_E_faecalis,Ford_etal_2016_NatComm,Suzanne A. Ford,10.1038/ncomms13430
A4 F5 I0 R1,population,,LB,,,,,,,37,282459,Staphylococcus aureus subsp. aureus MSSA476,Kapa/ 100,/var/data/GCA_000011525.1_ASM1152v1_genomic.gb,0.33.1,21:07:28 07 Apr 2020,S_aureus_with_E_faecalis,Ford_etal_2016_NatComm,Suzanne A. Ford,10.1038/ncomms13430
A4 F10 I0 R1,population,,LB,,,,,,,37,282459,Staphylococcus aureus subsp. aureus MSSA476,Kapa/ 100,/var/data/GCA_000011525.1_ASM1152v1_genomic.gb,0.33.1,20:15:22 07 Apr 2020,S_aureus_with_E_faecalis,Ford_etal_2016_NatComm,Suzanne A. Ford,10.1038/ncomms13430
A5 F5 I0 R1,population,,LB,,,,,,,37,282459,Staphylococcus aureus subsp. aureus MSSA476,Kapa/ 100,/var/data/GCA_000011525.1_ASM1152v1_genomic.gb,0.33.1,16:55:26 07 Apr 2020,S_aureus_with_E_faecalis,Ford_etal_2016_NatComm,Suzanne A. Ford,10.1038/ncomms13430
A5 F10 I0 R1,population,,LB,,,,,,,37,282459,Staphylococcus aureus subsp. aureus MSSA476,Kapa/ 100,/var/data/GCA_000011525.1_ASM1152v1_genomic.gb,0.33.1,23:50:13 07 Apr 2020,S_aureus_with_E_faecalis,Ford_etal_2016_NatComm,Suzanne A. Ford,10.1038/ncomms13430
