sample_name,clonal_or_population,tech_rep_description,media_description,carbon_source,nitrogen_source,phosphorous_source,sulfur_source,calcium_source,supplement,temperature,strain,strain_details,taxonomy_id,reseq_reference,breseq_version,reseq_date,experiment,project,person,doi
A0 F0 I1 R1,clonal,,DM,Glucose(0.025),(NH4)2SO4(1),"K2HPO4(5.3),KH2PO4(2)","(NH4)2SO4(1),MgSO4(idk concentration)",,,37,413997,REL606,,https://raw.githubusercontent.com/barricklab/LTEE/7da91974eafac0c5a8f903ae57275795d4395af2/reference/REL606.gbk,,,TEE,TEE,Jeffery Barrick,10.1073/pnas.1616132114
A1 F1 I1 R1,clonal,,DM,glucose(0.025),(NH4)2SO4(1),"K2HPO4(5.3),KH2PO4(2)","(NH4)2SO4(1),MgSO4(idk concentration)",,,20,413997,REL606,,https://raw.githubusercontent.com/barricklab/LTEE/7da91974eafac0c5a8f903ae57275795d4395af2/reference/REL606.gbk,,,TEE,TEE,Jeffery Barrick,10.1073/pnas.1616132114
A1 F1 I2 R1,clonal,,DM,glucose(0.025),(NH4)2SO4(1),"K2HPO4(5.3),KH2PO4(2)","(NH4)2SO4(1),MgSO4(idk concentration)",,,20,413997,REL606,,https://raw.githubusercontent.com/barricklab/LTEE/7da91974eafac0c5a8f903ae57275795d4395af2/reference/REL606.gbk,,,TEE,TEE,Jeffery Barrick,10.1073/pnas.1616132114
A1 F1 I3 R1,clonal,,DM,glucose(0.025),(NH4)2SO4(1),"K2HPO4(5.3),KH2PO4(2)","(NH4)2SO4(1),MgSO4(idk concentration)",,,20,413997,REL606,,https://raw.githubusercontent.com/barricklab/LTEE/7da91974eafac0c5a8f903ae57275795d4395af2/reference/REL606.gbk,,,TEE,TEE,Jeffery Barrick,10.1073/pnas.1616132114
A2 F1 I1 R1,clonal,,DM,glucose(0.025),(NH4)2SO4(1),"K2HPO4(5.3),KH2PO4(2)","(NH4)2SO4(1),MgSO4(idk concentration)",,,32,413997,REL606,,https://raw.githubusercontent.com/barricklab/LTEE/7da91974eafac0c5a8f903ae57275795d4395af2/reference/REL606.gbk,,,TEE,TEE,Jeffery Barrick,10.1073/pnas.1616132114
A2 F1 I2 R1,clonal,,DM,glucose(0.025),(NH4)2SO4(1),"K2HPO4(5.3),KH2PO4(2)","(NH4)2SO4(1),MgSO4(idk concentration)",,,32,413997,REL606,,https://raw.githubusercontent.com/barricklab/LTEE/7da91974eafac0c5a8f903ae57275795d4395af2/reference/REL606.gbk,,,TEE,TEE,Jeffery Barrick,10.1073/pnas.1616132114
A2 F1 I3 R1,clonal,,DM,glucose(0.025),(NH4)2SO4(1),"K2HPO4(5.3),KH2PO4(2)","(NH4)2SO4(1),MgSO4(idk concentration)",,,32,413997,REL606,,https://raw.githubusercontent.com/barricklab/LTEE/7da91974eafac0c5a8f903ae57275795d4395af2/reference/REL606.gbk,,,TEE,TEE,Jeffery Barrick,10.1073/pnas.1616132114
A3 F1 I1 R1,clonal,,DM,Glucose(0.025),(NH4)2SO4(1),"K2HPO4(5.3),KH2PO4(2)","(NH4)2SO4(1),MgSO4(idk concentration)",,,37,413997,REL606,,https://raw.githubusercontent.com/barricklab/LTEE/7da91974eafac0c5a8f903ae57275795d4395af2/reference/REL606.gbk,,,TEE,TEE,Jeffery Barrick,10.1073/pnas.1616132114
A3 F1 I2 R1,clonal,,DM,Glucose(0.025),(NH4)2SO4(1),"K2HPO4(5.3),KH2PO4(2)","(NH4)2SO4(1),MgSO4(idk concentration)",,,37,413997,REL606,,https://raw.githubusercontent.com/barricklab/LTEE/7da91974eafac0c5a8f903ae57275795d4395af2/reference/REL606.gbk,,,TEE,TEE,Jeffery Barrick,10.1073/pnas.1616132114
A3 F1 I3 R1,clonal,,DM,Glucose(0.025),(NH4)2SO4(1),"K2HPO4(5.3),KH2PO4(2)","(NH4)2SO4(1),MgSO4(idk concentration)",,,37,413997,REL606,,https://raw.githubusercontent.com/barricklab/LTEE/7da91974eafac0c5a8f903ae57275795d4395af2/reference/REL606.gbk,,,TEE,TEE,Jeffery Barrick,10.1073/pnas.1616132114
A4 F1 I1 R1,clonal,,DM,glucose(0.025),(NH4)2SO4(1),"K2HPO4(5.3),KH2PO4(2)","(NH4)2SO4(1),MgSO4(idk concentration)",,,42,413997,REL606,,https://raw.githubusercontent.com/barricklab/LTEE/7da91974eafac0c5a8f903ae57275795d4395af2/reference/REL606.gbk,,,TEE,TEE,Jeffery Barrick,10.1073/pnas.1616132114
A4 F1 I2 R1,clonal,,DM,glucose(0.025),(NH4)2SO4(1),"K2HPO4(5.3),KH2PO4(2)","(NH4)2SO4(1),MgSO4(idk concentration)",,,42,413997,REL606,,https://raw.githubusercontent.com/barricklab/LTEE/7da91974eafac0c5a8f903ae57275795d4395af2/reference/REL606.gbk,,,TEE,TEE,Jeffery Barrick,10.1073/pnas.1616132114
A4 F1 I3 R1,clonal,,DM,glucose(0.025),(NH4)2SO4(1),"K2HPO4(5.3),KH2PO4(2)","(NH4)2SO4(1),MgSO4(idk concentration)",,,42,413997,REL606,,https://raw.githubusercontent.com/barricklab/LTEE/7da91974eafac0c5a8f903ae57275795d4395af2/reference/REL606.gbk,,,TEE,TEE,Jeffery Barrick,10.1073/pnas.1616132114
A5 F1 I1 R1,clonal,,DM,glucose(0.025),(NH4)2SO4(1),"K2HPO4(5.3),KH2PO4(2)","(NH4)2SO4(1),MgSO4(idk concentration)",,,"32,42",413997,REL606,,https://raw.githubusercontent.com/barricklab/LTEE/7da91974eafac0c5a8f903ae57275795d4395af2/reference/REL606.gbk,,,TEE,TEE,Jeffery Barrick,10.1073/pnas.1616132114
A5 F1 I2 R1,clonal,,DM,glucose(0.025),(NH4)2SO4(1),"K2HPO4(5.3),KH2PO4(2)","(NH4)2SO4(1),MgSO4(idk concentration)",,,"32,42",413997,REL606,,https://raw.githubusercontent.com/barricklab/LTEE/7da91974eafac0c5a8f903ae57275795d4395af2/reference/REL606.gbk,,,TEE,TEE,Jeffery Barrick,10.1073/pnas.1616132114
A5 F1 I3 R1,clonal,,DM,glucose(0.025),(NH4)2SO4(1),"K2HPO4(5.3),KH2PO4(2)","(NH4)2SO4(1),MgSO4(idk concentration)",,,"32,42",413997,REL606,,https://raw.githubusercontent.com/barricklab/LTEE/7da91974eafac0c5a8f903ae57275795d4395af2/reference/REL606.gbk,,,TEE,TEE,Jeffery Barrick,10.1073/pnas.1616132114
