sample_name,clonal_or_population,tech_rep_description,media_description,carbon_source,nitrogen_source,phosphorous_source,sulfur_source,calcium_source,supplement,temperature,strain,strain_details,taxonomy_id,reseq_reference,breseq_version,reseq_date,experiment,project,person,doi
A1 F50 I1 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),"2,3-butanediol()",37,511145,BOP27,,NC_000913_3.gb,0.29.0,10:59:01 02 Jan 2017,"TOL 2,3-butanediol",E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A1 F50 I2 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),"2,3-butanediol()",37,511145,BOP27,,NC_000913_3.gb,0.29.0,06:47:28 02 Jan 2017,"TOL 2,3-butanediol",E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A2 F50 I1 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),"2,3-butanediol()",37,511145,BOP27,,NC_000913_3.gb,0.29.0,10:12:29 02 Jan 2017,"TOL 2,3-butanediol",E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A2 F50 I2 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),"2,3-butanediol()",37,511145,BOP27,,NC_000913_3.gb,0.29.0,07:58:58 02 Jan 2017,"TOL 2,3-butanediol",E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A2 F50 I3 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),"2,3-butanediol()",37,511145,BOP27,,NC_000913_3.gb,0.29.0,09:47:21 02 Jan 2017,"TOL 2,3-butanediol",E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A3 F50 I1 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),"2,3-butanediol()",37,511145,BOP27,,NC_000913_3.gb,0.29.0,10:36:41 02 Jan 2017,"TOL 2,3-butanediol",E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A3 F50 I2 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),"2,3-butanediol()",37,511145,BOP27,,NC_000913_3.gb,0.29.0,07:06:20 02 Jan 2017,"TOL 2,3-butanediol",E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A3 F50 I3 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),"2,3-butanediol()",37,511145,BOP27,,NC_000913_3.gb,0.29.0,11:24:35 02 Jan 2017,"TOL 2,3-butanediol",E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A4 F50 I1 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),"2,3-butanediol()",37,511145,BOP27,,NC_000913_3.gb,0.29.0,13:26:54 02 Jan 2017,"TOL 2,3-butanediol",E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A4 F50 I2 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),"2,3-butanediol()",37,511145,BOP27,,NC_000913_3.gb,0.29.0,13:51:57 02 Jan 2017,"TOL 2,3-butanediol",E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A4 F50 I3 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),"2,3-butanediol()",37,511145,BOP27,,NC_000913_3.gb,0.29.0,14:18:46 02 Jan 2017,"TOL 2,3-butanediol",E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A5 F50 I1 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),"2,3-butanediol()",37,511145,BOP27,,NC_000913_3.gb,0.29.0,08:22:22 02 Jan 2017,"TOL 2,3-butanediol",E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A5 F50 I2 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),"2,3-butanediol()",37,511145,BOP27,,NC_000913_3.gb,0.29.0,07:30:16 02 Jan 2017,"TOL 2,3-butanediol",E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A5 F50 I3 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),"2,3-butanediol()",37,511145,BOP27,,NC_000913_3.gb,0.29.0,08:52:12 02 Jan 2017,"TOL 2,3-butanediol",E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A6 F50 I1 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),"2,3-butanediol()",37,511145,BOP27,,NC_000913_3.gb,0.29.0,12:19:52 02 Jan 2017,"TOL 2,3-butanediol",E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A7 F50 I1 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),"2,3-butanediol()",37,511145,BOP27,,NC_000913_3.gb,0.29.0,13:05:21 02 Jan 2017,"TOL 2,3-butanediol",E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A7 F50 I2 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),"2,3-butanediol()",37,511145,BOP27,,NC_000913_3.gb,0.29.0,09:16:18 02 Jan 2017,"TOL 2,3-butanediol",E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A7 F50 I3 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),"2,3-butanediol()",37,511145,BOP27,,NC_000913_3.gb,0.29.0,14:47:09 02 Jan 2017,"TOL 2,3-butanediol",E. coli chemical tolerance,Markus Herrgard,10.1101/634105
