sample_name,clonal_or_population,tech_rep_description,media_description,carbon_source,nitrogen_source,phosphorous_source,sulfur_source,calcium_source,supplement,temperature,strain,strain_details,taxonomy_id,reseq_reference,breseq_version,reseq_date,experiment,project,person,doi
A1 F50 I1 R1,clonal,supplement:Adipate(),M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),adipate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,14:40:57 03 Jan 2017,TOL adipic acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A1 F50 I2 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),adipate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,19:55:32 03 Jan 2017,TOL adipic acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A2 F50 I1 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),adipate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,13:01:28 03 Jan 2017,TOL adipic acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A2 F50 I2 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),adipate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,18:27:37 03 Jan 2017,TOL adipic acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A2 F50 I3 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),adipate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,11:56:46 03 Jan 2017,TOL adipic acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A3 F50 I1 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),adipate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,21:16:03 03 Jan 2017,TOL adipic acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A3 F50 I2 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),adipate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,16:51:46 03 Jan 2017,TOL adipic acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A3 F50 I3 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),adipate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,15:18:49 03 Jan 2017,TOL adipic acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A4 F50 I1 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),adipate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,13:34:09 03 Jan 2017,TOL adipic acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A4 F50 I2 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),adipate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,15:49:05 03 Jan 2017,TOL adipic acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A5 F50 I1 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),adipate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,20:47:05 03 Jan 2017,TOL adipic acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A5 F50 I2 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),adipate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,22:03:54 03 Jan 2017,TOL adipic acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A6 F50 I1 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),adipate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,12:30:49 03 Jan 2017,TOL adipic acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A6 F50 I2 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),adipate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,19:20:54 03 Jan 2017,TOL adipic acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A6 F50 I3 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),adipate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,17:54:06 03 Jan 2017,TOL adipic acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
