sample_name,clonal_or_population,tech_rep_description,media_description,carbon_source,nitrogen_source,phosphorous_source,sulfur_source,calcium_source,supplement,temperature,strain,strain_details,taxonomy_id,reseq_reference,breseq_version,reseq_date,experiment,project,person,doi
A1 F50 I1 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),coumarate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,10:36:24 03 Jan 2017,TOL coumaric acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A2 F50 I1 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),coumarate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,12:22:43 03 Jan 2017,TOL coumaric acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A2 F50 I2 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),coumarate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,14:39:29 03 Jan 2017,TOL coumaric acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A2 F50 I3 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),coumarate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,07:55:32 04 Jan 2017,TOL coumaric acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A3 F50 I1 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),coumarate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,11:12:32 03 Jan 2017,TOL coumaric acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A3 F50 I2 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),coumarate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,09:38:54 03 Jan 2017,TOL coumaric acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A3 F50 I3 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),coumarate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,15:17:14 03 Jan 2017,TOL coumaric acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A4 F50 I1 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),coumarate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,16:28:18 03 Jan 2017,TOL coumaric acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A4 F50 I2 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),coumarate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,17:36:15 03 Jan 2017,TOL coumaric acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A4 F50 I3 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),coumarate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,09:04:37 03 Jan 2017,TOL coumaric acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A5 F50 I1 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),coumarate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,11:52:46 03 Jan 2017,TOL coumaric acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A5 F50 I2 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),coumarate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,10:06:26 03 Jan 2017,TOL coumaric acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A5 F50 I3 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),coumarate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,15:52:44 03 Jan 2017,TOL coumaric acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A6 F50 I1 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),coumarate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,13:39:28 03 Jan 2017,TOL coumaric acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A6 F50 I2 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),coumarate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,13:03:52 03 Jan 2017,TOL coumaric acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A6 F50 I3 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),coumarate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,17:01:49 03 Jan 2017,TOL coumaric acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A7 F50 I1 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),coumarate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,09:17:29 03 Jan 2017,TOL coumaric acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A7 F50 I2 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),coumarate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,14:08:11 03 Jan 2017,TOL coumaric acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A8 F50 I1 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),coumarate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,10:50:03 03 Jan 2017,TOL coumaric acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A8 F50 I2 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),coumarate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,10:16:19 03 Jan 2017,TOL coumaric acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
