sample_name,clonal_or_population,tech_rep_description,media_description,carbon_source,nitrogen_source,phosphorous_source,sulfur_source,calcium_source,supplement,temperature,strain,strain_details,taxonomy_id,reseq_reference,breseq_version,reseq_date,experiment,project,person,doi
A1 F50 I1 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),glutarate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,23:41:45 02 Jan 2017,TOL glutaric acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A1 F50 I2 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),glutarate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,01:02:42 03 Jan 2017,TOL glutaric acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A1 F50 I3 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),glutarate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,15:25:23 02 Jan 2017,TOL glutaric acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A2 F50 I1 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),glutarate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,00:38:32 03 Jan 2017,TOL glutaric acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A2 F50 I2 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),glutarate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,23:59:14 02 Jan 2017,TOL glutaric acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A2 F50 I3 R2,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),glutarate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,00:22:31 03 Jan 2017,TOL glutaric acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A3 F50 I1 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),glutarate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,16:35:17 02 Jan 2017,TOL glutaric acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A3 F50 I2 R2,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),glutarate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,18:52:37 02 Jan 2017,TOL glutaric acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A3 F50 I3 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),glutarate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,17:07:31 02 Jan 2017,TOL glutaric acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A4 F50 I1 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),glutarate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,20:02:11 02 Jan 2017,TOL glutaric acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A4 F50 I2 R2,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),glutarate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,15:04:27 02 Jan 2017,TOL glutaric acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A4 F50 I3 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),glutarate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,14:33:13 02 Jan 2017,TOL glutaric acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A5 F50 I1 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),glutarate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,18:08:21 02 Jan 2017,TOL glutaric acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A5 F50 I2 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),glutarate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,17:37:08 02 Jan 2017,TOL glutaric acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A5 F50 I3 R2,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),glutarate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,19:15:23 02 Jan 2017,TOL glutaric acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A6 F50 I1 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),glutarate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,20:23:46 02 Jan 2017,TOL glutaric acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A6 F50 I2 R2,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),glutarate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,18:30:18 02 Jan 2017,TOL glutaric acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A6 F50 I3 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),glutarate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,22:07:47 02 Jan 2017,TOL glutaric acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A7 F50 I1 R2,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),glutarate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,14:09:55 02 Jan 2017,TOL glutaric acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
