sample_name,clonal_or_population,tech_rep_description,media_description,carbon_source,nitrogen_source,phosphorous_source,sulfur_source,calcium_source,supplement,temperature,strain,strain_details,taxonomy_id,reseq_reference,breseq_version,reseq_date,experiment,project,person,doi
A1 F50 I1 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),hexanoate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,16:20:18 02 Jan 2017,TOL hexanoic acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A1 F50 I2 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),hexanoate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,14:46:24 02 Jan 2017,TOL hexanoic acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A1 F50 I3 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),hexanoate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,15:21:44 02 Jan 2017,TOL hexanoic acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A2 F50 I1 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),hexanoate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,12:48:32 02 Jan 2017,TOL hexanoic acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A2 F50 I2 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),hexanoate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,13:32:19 02 Jan 2017,TOL hexanoic acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A2 F50 I3 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),hexanoate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,06:57:15 02 Jan 2017,TOL hexanoic acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A3 F50 I1 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),hexanoate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,12:15:21 02 Jan 2017,TOL hexanoic acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A3 F50 I2 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),hexanoate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,08:54:40 02 Jan 2017,TOL hexanoic acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A3 F50 I3 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),hexanoate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,11:13:09 02 Jan 2017,TOL hexanoic acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A4 F50 I1 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),hexanoate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,14:11:54 02 Jan 2017,TOL hexanoic acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A4 F50 I2 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),hexanoate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,08:27:13 02 Jan 2017,TOL hexanoic acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A4 F50 I3 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),hexanoate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,10:12:57 02 Jan 2017,TOL hexanoic acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A5 F50 I1 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),hexanoate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,10:51:01 02 Jan 2017,TOL hexanoic acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
