sample_name,clonal_or_population,tech_rep_description,media_description,carbon_source,nitrogen_source,phosphorous_source,sulfur_source,calcium_source,supplement,temperature,strain,strain_details,taxonomy_id,reseq_reference,breseq_version,reseq_date,experiment,project,person,doi
A1 F50 I1 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),isobutyrate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,22:35:14 03 Jan 2017,TOL isobutyric acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A1 F50 I2 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),isobutyrate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,18:15:05 03 Jan 2017,TOL isobutyric acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A2 F50 I1 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),isobutyrate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,18:49:21 03 Jan 2017,TOL isobutyric acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A2 F50 I2 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),isobutyrate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,19:58:03 03 Jan 2017,TOL isobutyric acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A2 F50 I3 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),isobutyrate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,21:46:24 03 Jan 2017,TOL isobutyric acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A3 F50 I1 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),isobutyrate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,21:23:26 03 Jan 2017,TOL isobutyric acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A3 F50 I2 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),isobutyrate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,17:37:00 03 Jan 2017,TOL isobutyric acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A4 F50 I1 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),isobutyrate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,15:16:07 03 Jan 2017,TOL isobutyric acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A4 F50 I2 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),isobutyrate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,13:02:19 03 Jan 2017,TOL isobutyric acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A4 F50 I3 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),isobutyrate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,12:28:24 03 Jan 2017,TOL isobutyric acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A5 F50 I1 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),isobutyrate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,17:01:46 03 Jan 2017,TOL isobutyric acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A5 F50 I2 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),isobutyrate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,16:25:49 03 Jan 2017,TOL isobutyric acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
