sample_name,clonal_or_population,tech_rep_description,media_description,carbon_source,nitrogen_source,phosphorous_source,sulfur_source,calcium_source,supplement,temperature,strain,strain_details,taxonomy_id,reseq_reference,breseq_version,reseq_date,experiment,project,person,doi
A1 F50 I1 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),octanoate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,13:20:15 02 Jan 2017,TOL octanoic acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A1 F50 I2 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),octanoate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,08:42:39 02 Jan 2017,TOL octanoic acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A1 F50 I3 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),octanoate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,15:28:12 02 Jan 2017,TOL octanoic acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A2 F50 I1 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),octanoate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,09:18:59 02 Jan 2017,TOL octanoic acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A2 F50 I2 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),octanoate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,11:15:54 02 Jan 2017,TOL octanoic acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A2 F50 I3 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),octanoate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,10:55:33 02 Jan 2017,TOL octanoic acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A3 F50 I1 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),octanoate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,07:41:28 02 Jan 2017,TOL octanoic acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A3 F50 I2 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),octanoate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,07:20:17 02 Jan 2017,TOL octanoic acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A3 F50 I3 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),octanoate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,15:58:38 02 Jan 2017,TOL octanoic acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A4 F50 I1 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),octanoate(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,14:59:03 02 Jan 2017,TOL octanoic acid,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
