sample_name,clonal_or_population,tech_rep_description,media_description,carbon_source,nitrogen_source,phosphorous_source,sulfur_source,calcium_source,supplement,temperature,strain,strain_details,taxonomy_id,reseq_reference,breseq_version,reseq_date,experiment,project,person,doi
A1 F50 I1 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),propanediol(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,09:10:41 02 Jan 2017,TOL propanediol,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A1 F50 I2 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),propanediol(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,11:02:32 02 Jan 2017,TOL propanediol,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A1 F50 I3 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),propanediol(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,11:48:38 02 Jan 2017,TOL propanediol,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A2 F50 I1 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),propanediol(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,09:31:40 02 Jan 2017,TOL propanediol,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A2 F50 I2 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),propanediol(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,17:40:37 02 Jan 2017,TOL propanediol,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A3 F50 I1 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),propanediol(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,08:10:14 02 Jan 2017,TOL propanediol,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A3 F50 I2 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),propanediol(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,08:29:15 02 Jan 2017,TOL propanediol,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A3 F50 I3 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),propanediol(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,16:17:19 02 Jan 2017,TOL propanediol,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A4 F50 I1 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),propanediol(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,10:26:11 02 Jan 2017,TOL propanediol,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A4 F50 I2 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),propanediol(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,18:50:32 02 Jan 2017,TOL propanediol,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A4 F50 I3 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),propanediol(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,18:34:15 02 Jan 2017,TOL propanediol,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A5 F50 I1 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),propanediol(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,16:47:22 02 Jan 2017,TOL propanediol,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A5 F50 I2 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),propanediol(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,13:45:59 02 Jan 2017,TOL propanediol,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A6 F50 I1 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),propanediol(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,12:17:10 02 Jan 2017,TOL propanediol,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A6 F50 I2 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),propanediol(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,14:31:41 02 Jan 2017,TOL propanediol,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A7 F50 I1 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),propanediol(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,15:24:00 02 Jan 2017,TOL propanediol,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A7 F50 I2 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),propanediol(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,17:57:02 02 Jan 2017,TOL propanediol,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A8 F50 I1 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),propanediol(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,07:13:21 02 Jan 2017,TOL propanediol,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A8 F50 I2 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),propanediol(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,06:54:02 02 Jan 2017,TOL propanediol,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
