sample_name,clonal_or_population,tech_rep_description,media_description,carbon_source,nitrogen_source,phosphorous_source,sulfur_source,calcium_source,supplement,temperature,strain,strain_details,taxonomy_id,reseq_reference,breseq_version,reseq_date,experiment,project,person,doi
A1 F50 I1 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),putrescine(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,16:58:46 03 Jan 2017,TOL putrescine,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A1 F50 I2 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),putrescine(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,14:39:38 03 Jan 2017,TOL putrescine,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A2 F50 I1 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),putrescine(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,15:31:24 03 Jan 2017,TOL putrescine,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A2 F50 I2 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),putrescine(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,18:18:40 03 Jan 2017,TOL putrescine,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A2 F50 I3 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),putrescine(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,11:55:59 03 Jan 2017,TOL putrescine,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A3 F50 I1 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),putrescine(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,22:39:58 03 Jan 2017,TOL putrescine,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A3 F50 I2 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),putrescine(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,23:29:56 03 Jan 2017,TOL putrescine,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A3 F50 I3 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),putrescine(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,18:49:23 03 Jan 2017,TOL putrescine,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A4 F50 I1 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),putrescine(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,23:51:10 03 Jan 2017,TOL putrescine,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
A4 F50 I2 R1,clonal,,M9,glucose(10),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),putrescine(),37,511145,BOP27,,NC_000913_3.gb,0.29.0,12:29:25 03 Jan 2017,TOL putrescine,E. coli chemical tolerance,Markus Herrgard,10.1101/634105
