sample_name,clonal_or_population,tech_rep_description,media_description,carbon_source,nitrogen_source,phosphorous_source,sulfur_source,calcium_source,supplement,temperature,strain,strain_details,taxonomy_id,reseq_reference,breseq_version,reseq_date,experiment,project,person,doi
A0 F0 I1 R1,clonal,LBK variant of LB,LB,,,,,,"C8H18N2O6S2(30.237),C7H5KO2(3.2042),NaCl(0),KCl(7.45)",37,316407,E. coli K-12 W3110 ,Illumina/ 500,/var/data/NC_007779_W3110_cfb.gbk,0.33.1,01:03:45 15 Feb 2020,W3110_Benzoate_Tolerization_in_LBK,W3110 Benzoate Tolerization,Joan Slonczewski,10.1128/AEM.02736-16
A1 F2000 I1 R1,clonal,LBK variant of LB,LB,,,,,,"C8H18N2O6S2(30.237),C7H5KO2(3.2042),NaCl(0),KCl(7.45)",37,316407,E. coli K-12 W3110 ,Illumina/ 500,/var/data/NC_007779_W3110_cfb.gbk,0.33.1,00:11:03 15 Feb 2020,W3110_Benzoate_Tolerization_in_LBK,W3110 Benzoate Tolerization,Joan Slonczewski,10.1128/AEM.02736-16
A2 F2000 I1 R1,clonal,LBK variant of LB,LB,,,,,,"C8H18N2O6S2(30.237),C7H5KO2(3.2042),NaCl(0),KCl(7.45)",37,316407,E. coli K-12 W3110 ,Illumina/ 500,/var/data/NC_007779_W3110_cfb.gbk,0.33.1,03:46:34 15 Feb 2020,W3110_Benzoate_Tolerization_in_LBK,W3110 Benzoate Tolerization,Joan Slonczewski,10.1128/AEM.02736-16
A3 F2000 I1 R1,clonal,LBK variant of LB,LB,,,,,,"C8H18N2O6S2(30.237),C7H5KO2(3.2042),NaCl(0),KCl(7.45)",37,316407,E. coli K-12 W3110 ,Illumina/ 500,/var/data/NC_007779_W3110_cfb.gbk,0.33.1,05:09:31 15 Feb 2020,W3110_Benzoate_Tolerization_in_LBK,W3110 Benzoate Tolerization,Joan Slonczewski,10.1128/AEM.02736-16
A3 F2000 I2 R1,clonal,LBK variant of LB,LB,,,,,,"C8H18N2O6S2(30.237),C7H5KO2(3.2042),NaCl(0),KCl(7.45)",37,316407,E. coli K-12 W3110 ,Illumina/ 500,/var/data/NC_007779_W3110_cfb.gbk,0.33.1,07:14:38 15 Feb 2020,W3110_Benzoate_Tolerization_in_LBK,W3110 Benzoate Tolerization,Joan Slonczewski,10.1128/AEM.02736-16
A4 F2000 I1 R1,clonal,LBK variant of LB,LB,,,,,,"C8H18N2O6S2(30.237),C7H5KO2(3.2042),NaCl(0),KCl(7.45)",37,316407,E. coli K-12 W3110 ,Illumina/ 500,/var/data/NC_007779_W3110_cfb.gbk,0.33.1,05:33:49 15 Feb 2020,W3110_Benzoate_Tolerization_in_LBK,W3110 Benzoate Tolerization,Joan Slonczewski,10.1128/AEM.02736-16
A7 F2000 I1 R1,clonal,LBK variant of LB,LB,,,,,,"C8H18N2O6S2(30.237),C7H5KO2(3.2042),NaCl(0),KCl(7.45)",37,316407,E. coli K-12 W3110 ,Illumina/ 500,/var/data/NC_007779_W3110_cfb.gbk,0.33.1,02:35:50 15 Feb 2020,W3110_Benzoate_Tolerization_in_LBK,W3110 Benzoate Tolerization,Joan Slonczewski,10.1128/AEM.02736-16
A8 F2000 I1 R1,clonal,LBK variant of LB,LB,,,,,,"C8H18N2O6S2(30.237),C7H5KO2(3.2042),NaCl(0),KCl(7.45)",37,316407,E. coli K-12 W3110 ,Illumina/ 500,/var/data/NC_007779_W3110_cfb.gbk,0.33.1,06:03:29 15 Feb 2020,W3110_Benzoate_Tolerization_in_LBK,W3110 Benzoate Tolerization,Joan Slonczewski,10.1128/AEM.02736-16
A8 F2000 I2 R1,clonal,LBK variant of LB,LB,,,,,,"C8H18N2O6S2(30.237),C7H5KO2(3.2042),NaCl(0),KCl(7.45)",37,316407,E. coli K-12 W3110 ,Illumina/ 500,/var/data/NC_007779_W3110_cfb.gbk,0.33.1,04:41:39 15 Feb 2020,W3110_Benzoate_Tolerization_in_LBK,W3110 Benzoate Tolerization,Joan Slonczewski,10.1128/AEM.02736-16
A12 F2000 I1 R1,clonal,LBK variant of LB,LB,,,,,,"C8H18N2O6S2(30.237),C7H5KO2(3.2042),NaCl(0),KCl(7.45)",37,316407,E. coli K-12 W3110 ,Illumina/ 500,/var/data/NC_007779_W3110_cfb.gbk,0.33.1,00:33:37 15 Feb 2020,W3110_Benzoate_Tolerization_in_LBK,W3110 Benzoate Tolerization,Joan Slonczewski,10.1128/AEM.02736-16
A13 F2000 I1 R1,clonal,LBK variant of LB,LB,,,,,,"C8H18N2O6S2(30.237),C7H5KO2(3.2042),NaCl(0),KCl(7.45)",37,316407,E. coli K-12 W3110 ,Illumina/ 500,/var/data/NC_007779_W3110_cfb.gbk,0.33.1,02:11:22 15 Feb 2020,W3110_Benzoate_Tolerization_in_LBK,W3110 Benzoate Tolerization,Joan Slonczewski,10.1128/AEM.02736-16
A13 F2000 I2 R1,clonal,LBK variant of LB,LB,,,,,,"C8H18N2O6S2(30.237),C7H5KO2(3.2042),NaCl(0),KCl(7.45)",37,316407,E. coli K-12 W3110 ,Illumina/ 500,/var/data/NC_007779_W3110_cfb.gbk,0.33.1,23:27:14 14 Feb 2020,W3110_Benzoate_Tolerization_in_LBK,W3110 Benzoate Tolerization,Joan Slonczewski,10.1128/AEM.02736-16
A20 F2000 I1 R1,clonal,LBK variant of LB,LB,,,,,,"C8H18N2O6S2(30.237),C7H5KO2(3.2042),NaCl(0),KCl(7.45)",37,316407,E. coli K-12 W3110 ,Illumina/ 500,/var/data/NC_007779_W3110_cfb.gbk,0.33.1,03:02:09 15 Feb 2020,W3110_Benzoate_Tolerization_in_LBK,W3110 Benzoate Tolerization,Joan Slonczewski,10.1128/AEM.02736-16
