sample_name,clonal_or_population,tech_rep_description,media_description,carbon_source,nitrogen_source,phosphorous_source,sulfur_source,calcium_source,supplement,temperature,strain,strain_details,taxonomy_id,reseq_reference,breseq_version,reseq_date,experiment,project,person,doi
A1 F999 I0 R1,clonal,initially supplemented with 0.1% LB medium reduced in a stepwise manner to eventually achieve supplement-free growth. ,M9,glucose(2g/L),NH4Cl(1g/L),"KH2PO4(3g/L),Na2HPO4(6.78g/L)",MgSO4(1mM),CaCl2(0.1mM),,37,511145,Escherichia coli MS56,Illumina/ 50,/var/data/MG1655.gbk,0.33.1,21:05:41 01 Apr 2019,application_of_ALE_to_re-optimize_growth_performance_of_genome-reduced_strain_MS56-M9-MG1655gbk,Genome-Reduced Ecoli,Donghui Choe,10.1038/s41467-019-08888-6.
A2 F999 I0 R1,clonal,initially supplemented with 0.1% LB medium reduced in a stepwise manner to eventually achieve supplement-free growth. ,M9,glucose(2g/L),NH4Cl(1g/L),"KH2PO4(3g/L),Na2HPO4(6.78g/L)",MgSO4(1mM),CaCl2(0.1mM),,37,511145,Escherichia coli MS56,Illumina/ 50,/var/data/MG1655.gbk,0.33.1,00:19:08 02 Apr 2019,application_of_ALE_to_re-optimize_growth_performance_of_genome-reduced_strain_MS56-M9-MG1655gbk,Genome-Reduced Ecoli,Donghui Choe,10.1038/s41467-019-08888-6.
A3 F999 I0 R1,clonal,initially supplemented with 0.1% LB medium reduced in a stepwise manner to eventually achieve supplement-free growth. ,M9,glucose(2g/L),NH4Cl(1g/L),"KH2PO4(3g/L),Na2HPO4(6.78g/L)",MgSO4(1mM),CaCl2(0.1mM),,37,511145,Escherichia coli MS56,Illumina/ 50,/var/data/MG1655.gbk,0.33.1,01:45:54 02 Apr 2019,application_of_ALE_to_re-optimize_growth_performance_of_genome-reduced_strain_MS56-M9-MG1655gbk,Genome-Reduced Ecoli,Donghui Choe,10.1038/s41467-019-08888-6.
A4 F999 I0 R1,clonal,initially supplemented with 0.1% LB medium reduced in a stepwise manner to eventually achieve supplement-free growth. ,M9,glucose(2g/L),NH4Cl(1g/L),"KH2PO4(3g/L),Na2HPO4(6.78g/L)",MgSO4(1mM),CaCl2(0.1mM),,37,511145,Escherichia coli MS56,Illumina/ 50,/var/data/MG1655.gbk,0.33.1,22:02:17 01 Apr 2019,application_of_ALE_to_re-optimize_growth_performance_of_genome-reduced_strain_MS56-M9-MG1655gbk,Genome-Reduced Ecoli,Donghui Choe,10.1038/s41467-019-08888-6.
A5 F999 I0 R1,clonal,initially supplemented with 0.1% LB medium reduced in a stepwise manner to eventually achieve supplement-free growth. ,M9,glucose(2g/L),NH4Cl(1g/L),"KH2PO4(3g/L),Na2HPO4(6.78g/L)",MgSO4(1mM),CaCl2(0.1mM),,37,511145,Escherichia coli MS56,Illumina/ 50,/var/data/MG1655.gbk,0.33.1,02:41:49 02 Apr 2019,application_of_ALE_to_re-optimize_growth_performance_of_genome-reduced_strain_MS56-M9-MG1655gbk,Genome-Reduced Ecoli,Donghui Choe,10.1038/s41467-019-08888-6.
A6 F999 I0 R1,clonal,initially supplemented with 0.1% LB medium reduced in a stepwise manner to eventually achieve supplement-free growth. ,M9,glucose(2g/L),NH4Cl(1g/L),"KH2PO4(3g/L),Na2HPO4(6.78g/L)",MgSO4(1mM),CaCl2(0.1mM),,37,511145,Escherichia coli MS56,Illumina/ 50,/var/data/MG1655.gbk,0.33.1,22:50:07 01 Apr 2019,application_of_ALE_to_re-optimize_growth_performance_of_genome-reduced_strain_MS56-M9-MG1655gbk,Genome-Reduced Ecoli,Donghui Choe,10.1038/s41467-019-08888-6.
A7 F999 I0 R1,clonal,initially supplemented with 0.1% LB medium reduced in a stepwise manner to eventually achieve supplement-free growth. ,M9,glucose(2g/L),NH4Cl(1g/L),"KH2PO4(3g/L),Na2HPO4(6.78g/L)",MgSO4(1mM),CaCl2(0.1mM),,37,511145,Escherichia coli MS56,Illumina/ 50,/var/data/MG1655.gbk,0.33.1,20:40:40 01 Apr 2019,application_of_ALE_to_re-optimize_growth_performance_of_genome-reduced_strain_MS56-M9-MG1655gbk,Genome-Reduced Ecoli,Donghui Choe,10.1038/s41467-019-08888-6.
A8 F999 I0 R1,clonal,initially supplemented with 0.1% LB medium reduced in a stepwise manner to eventually achieve supplement-free growth. ,M9,glucose(2g/L),NH4Cl(1g/L),"KH2PO4(3g/L),Na2HPO4(6.78g/L)",MgSO4(1mM),CaCl2(0.1mM),,37,511145,Escherichia coli MS56,Illumina/ 50,/var/data/MG1655.gbk,0.33.1,19:58:41 01 Apr 2019,application_of_ALE_to_re-optimize_growth_performance_of_genome-reduced_strain_MS56-M9-MG1655gbk,Genome-Reduced Ecoli,Donghui Choe,10.1038/s41467-019-08888-6.
A9 F999 I0 R1,clonal,initially supplemented with 0.1% LB medium reduced in a stepwise manner to eventually achieve supplement-free growth. ,M9,glucose(2g/L),NH4Cl(1g/L),"KH2PO4(3g/L),Na2HPO4(6.78g/L)",MgSO4(1mM),CaCl2(0.1mM),,37,511145,Escherichia coli MS56,Illumina/ 50,/var/data/MG1655.gbk,0.33.1,01:10:36 02 Apr 2019,application_of_ALE_to_re-optimize_growth_performance_of_genome-reduced_strain_MS56-M9-MG1655gbk,Genome-Reduced Ecoli,Donghui Choe,10.1038/s41467-019-08888-6.
A10 F999 I0 R1,clonal,initially supplemented with 0.1% LB medium reduced in a stepwise manner to eventually achieve supplement-free growth. ,M9,glucose(2g/L),NH4Cl(1g/L),"KH2PO4(3g/L),Na2HPO4(6.78g/L)",MgSO4(1mM),CaCl2(0.1mM),,37,511145,Escherichia coli MS56,Illumina/ 50,/var/data/MG1655.gbk,0.33.1,23:40:25 01 Apr 2019,application_of_ALE_to_re-optimize_growth_performance_of_genome-reduced_strain_MS56-M9-MG1655gbk,Genome-Reduced Ecoli,Donghui Choe,10.1038/s41467-019-08888-6.
