sample_name,clonal_or_population,tech_rep_description,media_description,carbon_source,nitrogen_source,phosphorous_source,sulfur_source,calcium_source,supplement,temperature,strain,strain_details,taxonomy_id,reseq_reference,breseq_version,reseq_date,experiment,project,person,doi
A23 F0 I0 R1,population,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,GLU ALE4 EP,,/var/data/NC_000913_3.gb,0.33.1,15:15:20 26 Feb 2020,evo,CCK,Elsayed Mohamed,
A23 F1 I0 R1,population,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,GLU ALE4 EP,,/var/data/NC_000913_3.gb,0.33.1,17:36:33 26 Feb 2020,evo,CCK,Elsayed Mohamed,
A23 F148 I1 R1,clonal,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,38,511145,GLU ALE4 EP,,/var/data/NC_000913_3.gb,0.33.1,10:33:04 28 Feb 2020,evo,CCK,Elsayed Mohamed,
A23 F184 I0 R1,population,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,GLU ALE4 EP,,/var/data/NC_000913_3.gb,0.33.1,03:46:59 25 Feb 2020,evo,CCK,Elsayed Mohamed,
A23 F184 I2 R1,clonal,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,GLU ALE4 EP,,/var/data/NC_000913_3.gb,0.33.1,02:03:42 29 Feb 2020,evo,CCK,Elsayed Mohamed,
A24 F1 I0 R1,population,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,GLU ALE4 EP,,/var/data/NC_000913_3.gb,0.33.1,16:47:33 25 Feb 2020,evo,CCK,Elsayed Mohamed,
A24 F2 I0 R1,population,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,GLU ALE4 EP,,/var/data/NC_000913_3.gb,0.33.1,09:53:24 26 Feb 2020,evo,CCK,Elsayed Mohamed,
A24 F184 I0 R1,population,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,GLU ALE4 EP,,/var/data/NC_000913_3.gb,0.33.1,07:14:55 26 Feb 2020,evo,CCK,Elsayed Mohamed,
A24 F184 I1 R1,clonal,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,GLU ALE4 EP,,/var/data/NC_000913_3.gb,0.33.1,17:58:02 29 Feb 2020,evo,CCK,Elsayed Mohamed,
A24 F184 I2 R1,clonal,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,GLU ALE4 EP,,/var/data/NC_000913_3.gb,0.33.1,23:06:26 25 Feb 2020,evo,CCK,Elsayed Mohamed,
