sample_name,clonal_or_population,tech_rep_description,media_description,carbon_source,nitrogen_source,phosphorous_source,sulfur_source,calcium_source,supplement,temperature,strain,strain_details,taxonomy_id,reseq_reference,breseq_version,reseq_date,experiment,project,person,doi
A0 F0 I1 R1,clonal,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δgnd,,/var/data/NC_000913_3.gb,0.33.1,01:22:49 28 Feb 2020,gnd,CCK,Elsayed Mohamed,
A17 F170 I0 R1,population,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δgnd,,/var/data/NC_000913_3.gb,0.33.1,20:46:57 27 Feb 2020,gnd,CCK,Elsayed Mohamed,
A17 F170 I1 R1,clonal,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δgnd,,/var/data/NC_000913_3.gb,0.33.1,15:34:26 29 Feb 2020,gnd,CCK,Elsayed Mohamed,
A17 F170 I2 R1,clonal,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δgnd,,/var/data/NC_000913_3.gb,0.33.1,19:01:48 26 Feb 2020,gnd,CCK,Elsayed Mohamed,
A18 F169 I0 R1,population,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δgnd,,/var/data/NC_000913_3.gb,0.33.1,08:06:47 26 Feb 2020,gnd,CCK,Elsayed Mohamed,
A18 F169 I1 R1,clonal,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δgnd,,/var/data/NC_000913_3.gb,0.33.1,20:31:23 26 Feb 2020,gnd,CCK,Elsayed Mohamed,
A18 F169 I2 R1,clonal,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δgnd,,/var/data/NC_000913_3.gb,0.33.1,14:32:47 29 Feb 2020,gnd,CCK,Elsayed Mohamed,
A19 F171 I0 R1,population,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δgnd,,/var/data/NC_000913_3.gb,0.33.1,21:24:49 27 Feb 2020,gnd,CCK,Elsayed Mohamed,
A19 F171 I1 R1,clonal,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δgnd,,/var/data/NC_000913_3.gb,0.33.1,14:02:17 27 Feb 2020,gnd,CCK,Elsayed Mohamed,
A19 F171 I2 R1,clonal,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δgnd,,/var/data/NC_000913_3.gb,0.33.1,21:18:01 24 Feb 2020,gnd,CCK,Elsayed Mohamed,
