sample_name,clonal_or_population,tech_rep_description,media_description,carbon_source,nitrogen_source,phosphorous_source,sulfur_source,calcium_source,supplement,temperature,strain,strain_details,taxonomy_id,reseq_reference,breseq_version,reseq_date,experiment,project,person,doi
A0 F0 I1 R1,clonal,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpgi,,/var/data/NC_000913_3.gb,0.33.1,23:57:15 27 Feb 2020,pgi,CCK,Elsayed Mohamed,
A1 F9 I0 R1,population,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpgi,,/var/data/NC_000913_3.gb,0.33.1,13:59:51 29 Feb 2020,pgi,CCK,Elsayed Mohamed,
A1 F18 I0 R1,population,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpgi,,/var/data/NC_000913_3.gb,0.33.1,23:14:31 26 Feb 2020,pgi,CCK,Elsayed Mohamed,
A1 F113 I0 R1,population,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpgi,,/var/data/NC_000913_3.gb,0.33.1,07:16:51 25 Feb 2020,pgi,CCK,Elsayed Mohamed,
A1 F113 I1 R1,clonal,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpgi,,/var/data/NC_000913_3.gb,0.33.1,08:25:27 26 Feb 2020,pgi,CCK,Elsayed Mohamed,
A1 F113 I2 R1,clonal,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpgi,,/var/data/NC_000913_3.gb,0.33.1,10:17:14 26 Feb 2020,pgi,CCK,Elsayed Mohamed,
A2 F9 I0 R1,population,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpgi,,/var/data/NC_000913_3.gb,0.33.1,21:50:03 26 Feb 2020,pgi,CCK,Elsayed Mohamed,
A2 F17 I0 R1,population,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpgi,,/var/data/NC_000913_3.gb,0.33.1,13:06:27 27 Feb 2020,pgi,CCK,Elsayed Mohamed,
A2 F27 I0 R1,population,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpgi,,/var/data/NC_000913_3.gb,0.33.1,02:41:06 28 Feb 2020,pgi,CCK,Elsayed Mohamed,
A2 F107 I0 R1,population,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpgi,,/var/data/NC_000913_3.gb,0.33.1,06:09:18 29 Feb 2020,pgi,CCK,Elsayed Mohamed,
A2 F107 I1 R1,clonal,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpgi,,/var/data/NC_000913_3.gb,0.33.1,22:47:46 28 Feb 2020,pgi,CCK,Elsayed Mohamed,
A2 F107 I2 R1,clonal,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpgi,,/var/data/NC_000913_3.gb,0.33.1,18:25:06 28 Feb 2020,pgi,CCK,Elsayed Mohamed,
A3 F9 I0 R1,population,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpgi,,/var/data/NC_000913_3.gb,0.33.1,20:30:30 29 Feb 2020,pgi,CCK,Elsayed Mohamed,
A3 F17 I0 R1,population,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpgi,,/var/data/NC_000913_3.gb,0.33.1,15:38:44 24 Feb 2020,pgi,CCK,Elsayed Mohamed,
A3 F28 I0 R1,population,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpgi,,/var/data/NC_000913_3.gb,0.33.1,19:39:05 26 Feb 2020,pgi,CCK,Elsayed Mohamed,
A3 F108 I0 R1,population,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpgi,,/var/data/NC_000913_3.gb,0.33.1,16:42:43 24 Feb 2020,pgi,CCK,Elsayed Mohamed,
A3 F108 I1 R1,clonal,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpgi,,/var/data/NC_000913_3.gb,0.33.1,06:48:12 29 Feb 2020,pgi,CCK,Elsayed Mohamed,
A3 F108 I2 R1,clonal,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpgi,,/var/data/NC_000913_3.gb,0.33.1,23:11:15 27 Feb 2020,pgi,CCK,Elsayed Mohamed,
A4 F9 I0 R1,population,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpgi,,/var/data/NC_000913_3.gb,0.33.1,22:26:27 24 Feb 2020,pgi,CCK,Elsayed Mohamed,
A4 F17 I0 R1,population,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpgi,,/var/data/NC_000913_3.gb,0.33.1,03:17:52 29 Feb 2020,pgi,CCK,Elsayed Mohamed,
A4 F27 I0 R1,population,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpgi,,/var/data/NC_000913_3.gb,0.33.1,12:20:28 26 Feb 2020,pgi,CCK,Elsayed Mohamed,
A4 F111 I0 R1,population,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpgi,,/var/data/NC_000913_3.gb,0.33.1,21:54:44 29 Feb 2020,pgi,CCK,Elsayed Mohamed,
