sample_name,clonal_or_population,tech_rep_description,media_description,carbon_source,nitrogen_source,phosphorous_source,sulfur_source,calcium_source,supplement,temperature,strain,strain_details,taxonomy_id,reseq_reference,breseq_version,reseq_date,experiment,project,person,doi
A0 F0 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,B. melitensis pgi E. coli K-12 MG1655,,/var/data/NC_000913_3_Bme_pgi.gb,0.35.4,21:23:10 19 Dec 2020,pgiBME,SvNS,Troy Sandberg,
A13 F8 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,B. melitensis pgi E. coli K-12 MG1655,,/var/data/NC_000913_3_Bme_pgi.gb,0.35.4,21:09:53 19 Dec 2020,pgiBME,SvNS,Troy Sandberg,
A13 F29 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,B. melitensis pgi E. coli K-12 MG1655,,/var/data/NC_000913_3_Bme_pgi.gb,0.35.4,21:04:43 19 Dec 2020,pgiBME,SvNS,Troy Sandberg,
A14 F15 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,B. melitensis pgi E. coli K-12 MG1655,,/var/data/NC_000913_3_Bme_pgi.gb,0.35.4,19:02:26 19 Dec 2020,pgiBME,SvNS,Troy Sandberg,
A14 F22 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,B. melitensis pgi E. coli K-12 MG1655,,/var/data/NC_000913_3_Bme_pgi.gb,0.35.4,18:50:44 19 Dec 2020,pgiBME,SvNS,Troy Sandberg,
A14 F41 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,B. melitensis pgi E. coli K-12 MG1655,,/var/data/NC_000913_3_Bme_pgi.gb,0.35.4,18:57:17 19 Dec 2020,pgiBME,SvNS,Troy Sandberg,
A16 F7 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,B. melitensis pgi E. coli K-12 MG1655,,/var/data/NC_000913_3_Bme_pgi.gb,0.35.4,21:39:55 19 Dec 2020,pgiBME,SvNS,Troy Sandberg,
A16 F27 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,B. melitensis pgi E. coli K-12 MG1655,,/var/data/NC_000913_3_Bme_pgi.gb,0.35.4,22:46:56 19 Dec 2020,pgiBME,SvNS,Troy Sandberg,
A18 F20 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,B. melitensis pgi E. coli K-12 MG1655,,/var/data/NC_000913_3_Bme_pgi.gb,0.35.4,18:48:04 19 Dec 2020,pgiBME,SvNS,Troy Sandberg,
A19 F7 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,B. melitensis pgi E. coli K-12 MG1655,,/var/data/NC_000913_3_Bme_pgi.gb,0.35.4,18:46:26 19 Dec 2020,pgiBME,SvNS,Troy Sandberg,
