sample_name,clonal_or_population,tech_rep_description,media_description,carbon_source,nitrogen_source,phosphorous_source,sulfur_source,calcium_source,supplement,temperature,strain,strain_details,taxonomy_id,reseq_reference,breseq_version,reseq_date,experiment,project,person,doi
A0 F0 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,H. sapien pgi E. coli K-12 MG1655,,/var/data/NC_000913_3_Hsa_pgi.gb,0.35.4,22:39:58 19 Dec 2020,pgiHSA,SvNS,Troy Sandberg,
A12 F11 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,H. sapien pgi E. coli K-12 MG1655,,/var/data/NC_000913_3_Hsa_pgi.gb,0.35.4,22:59:57 19 Dec 2020,pgiHSA,SvNS,Troy Sandberg,
A12 F95 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,H. sapien pgi E. coli K-12 MG1655,,/var/data/NC_000913_3_Hsa_pgi.gb,0.35.4,19:41:54 19 Dec 2020,pgiHSA,SvNS,Troy Sandberg,
A14 F68 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,H. sapien pgi E. coli K-12 MG1655,,/var/data/NC_000913_3_Hsa_pgi.gb,0.35.4,19:20:53 19 Dec 2020,pgiHSA,SvNS,Troy Sandberg,
A16 F77 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,H. sapien pgi E. coli K-12 MG1655,,/var/data/NC_000913_3_Hsa_pgi.gb,0.35.4,19:49:04 19 Dec 2020,pgiHSA,SvNS,Troy Sandberg,
A17 F39 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,H. sapien pgi E. coli K-12 MG1655,,/var/data/NC_000913_3_Hsa_pgi.gb,0.35.4,19:49:14 19 Dec 2020,pgiHSA,SvNS,Troy Sandberg,
A17 F83 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,H. sapien pgi E. coli K-12 MG1655,,/var/data/NC_000913_3_Hsa_pgi.gb,0.35.4,19:51:40 19 Dec 2020,pgiHSA,SvNS,Troy Sandberg,
A19 F9 I0 R1,population,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,H. sapien pgi E. coli K-12 MG1655,,/var/data/NC_000913_3_Hsa_pgi.gb,0.35.4,19:26:47 19 Dec 2020,pgiHSA,SvNS,Troy Sandberg,
A20 F14 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,H. sapien pgi E. coli K-12 MG1655,,/var/data/NC_000913_3_Hsa_pgi.gb,0.35.4,22:18:43 19 Dec 2020,pgiHSA,SvNS,Troy Sandberg,
A20 F20 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,H. sapien pgi E. coli K-12 MG1655,,/var/data/NC_000913_3_Hsa_pgi.gb,0.35.4,19:04:15 19 Dec 2020,pgiHSA,SvNS,Troy Sandberg,
A20 F30 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,H. sapien pgi E. coli K-12 MG1655,,/var/data/NC_000913_3_Hsa_pgi.gb,0.35.4,19:15:47 19 Dec 2020,pgiHSA,SvNS,Troy Sandberg,
A20 F47 I0 R1,population,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,H. sapien pgi E. coli K-12 MG1655,,/var/data/NC_000913_3_Hsa_pgi.gb,0.35.4,20:40:29 19 Dec 2020,pgiHSA,SvNS,Troy Sandberg,
A20 F47 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,H. sapien pgi E. coli K-12 MG1655,,/var/data/NC_000913_3_Hsa_pgi.gb,0.35.4,19:09:29 19 Dec 2020,pgiHSA,SvNS,Troy Sandberg,
