sample_name,clonal_or_population,tech_rep_description,media_description,carbon_source,nitrogen_source,phosphorous_source,sulfur_source,calcium_source,supplement,temperature,strain,strain_details,taxonomy_id,reseq_reference,breseq_version,reseq_date,experiment,project,person,doi
A0 F0 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,Δpgi E. coli K-12 MG1655,,/var/data/NC_000913_3_KO_pgi.gb,0.35.4,22:08:02 19 Dec 2020,pgiKO,SvNS,Troy Sandberg,
A3 F10 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,Δpgi E. coli K-12 MG1655,,/var/data/NC_000913_3_KO_pgi.gb,0.35.4,19:31:05 19 Dec 2020,pgiKO,SvNS,Troy Sandberg,
A3 F22 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,Δpgi E. coli K-12 MG1655,,/var/data/NC_000913_3_KO_pgi.gb,0.35.4,18:37:14 19 Dec 2020,pgiKO,SvNS,Troy Sandberg,
A4 F11 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,Δpgi E. coli K-12 MG1655,,/var/data/NC_000913_3_KO_pgi.gb,0.35.4,18:42:12 19 Dec 2020,pgiKO,SvNS,Troy Sandberg,
A4 F16 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,Δpgi E. coli K-12 MG1655,,/var/data/NC_000913_3_KO_pgi.gb,0.35.4,18:42:31 19 Dec 2020,pgiKO,SvNS,Troy Sandberg,
A4 F26 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,Δpgi E. coli K-12 MG1655,,/var/data/NC_000913_3_KO_pgi.gb,0.35.4,18:54:12 19 Dec 2020,pgiKO,SvNS,Troy Sandberg,
A19 F20 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,Δpgi E. coli K-12 MG1655,,/var/data/NC_000913_3_KO_pgi.gb,0.35.4,19:45:11 19 Dec 2020,pgiKO,SvNS,Troy Sandberg,
A19 F55 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,Δpgi E. coli K-12 MG1655,,/var/data/NC_000913_3_KO_pgi.gb,0.35.4,19:14:33 19 Dec 2020,pgiKO,SvNS,Troy Sandberg,
A19 F90 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,Δpgi E. coli K-12 MG1655,,/var/data/NC_000913_3_KO_pgi.gb,0.35.4,20:54:07 19 Dec 2020,pgiKO,SvNS,Troy Sandberg,
A20 F9 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,Δpgi E. coli K-12 MG1655,,/var/data/NC_000913_3_KO_pgi.gb,0.35.4,22:40:26 19 Dec 2020,pgiKO,SvNS,Troy Sandberg,
A20 F13 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,Δpgi E. coli K-12 MG1655,,/var/data/NC_000913_3_KO_pgi.gb,0.35.4,20:57:10 19 Dec 2020,pgiKO,SvNS,Troy Sandberg,
A20 F60 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,Δpgi E. coli K-12 MG1655,,/var/data/NC_000913_3_KO_pgi.gb,0.35.4,19:54:49 19 Dec 2020,pgiKO,SvNS,Troy Sandberg,
A20 F103 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,Δpgi E. coli K-12 MG1655,,/var/data/NC_000913_3_KO_pgi.gb,0.35.4,19:46:24 19 Dec 2020,pgiKO,SvNS,Troy Sandberg,
