sample_name,clonal_or_population,tech_rep_description,media_description,carbon_source,nitrogen_source,phosphorous_source,sulfur_source,calcium_source,supplement,temperature,strain,strain_details,taxonomy_id,reseq_reference,breseq_version,reseq_date,experiment,project,person,doi
A0 F0 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,P. aerophilum pgi E. coli K-12 MG1655,,/var/data/NC_000913_3_Pae_pgi.gb,0.35.4,22:15:23 19 Dec 2020,pgiPAE,SvNS,Troy Sandberg,
A9 F8 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,P. aerophilum pgi E. coli K-12 MG1655,,/var/data/NC_000913_3_Pae_pgi.gb,0.35.4,18:46:40 19 Dec 2020,pgiPAE,SvNS,Troy Sandberg,
A9 F18 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,P. aerophilum pgi E. coli K-12 MG1655,,/var/data/NC_000913_3_Pae_pgi.gb,0.35.4,19:48:39 19 Dec 2020,pgiPAE,SvNS,Troy Sandberg,
A9 F30 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,P. aerophilum pgi E. coli K-12 MG1655,,/var/data/NC_000913_3_Pae_pgi.gb,0.35.4,19:08:00 19 Dec 2020,pgiPAE,SvNS,Troy Sandberg,
A10 F8 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,P. aerophilum pgi E. coli K-12 MG1655,,/var/data/NC_000913_3_Pae_pgi.gb,0.35.4,19:22:54 19 Dec 2020,pgiPAE,SvNS,Troy Sandberg,
A10 F12 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,P. aerophilum pgi E. coli K-12 MG1655,,/var/data/NC_000913_3_Pae_pgi.gb,0.35.4,18:40:09 19 Dec 2020,pgiPAE,SvNS,Troy Sandberg,
A10 F18 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,P. aerophilum pgi E. coli K-12 MG1655,,/var/data/NC_000913_3_Pae_pgi.gb,0.35.4,18:20:24 19 Dec 2020,pgiPAE,SvNS,Troy Sandberg,
A10 F30 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,P. aerophilum pgi E. coli K-12 MG1655,,/var/data/NC_000913_3_Pae_pgi.gb,0.35.4,18:57:05 19 Dec 2020,pgiPAE,SvNS,Troy Sandberg,
A11 F8 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,P. aerophilum pgi E. coli K-12 MG1655,,/var/data/NC_000913_3_Pae_pgi.gb,0.35.4,18:27:34 19 Dec 2020,pgiPAE,SvNS,Troy Sandberg,
A11 F12 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,P. aerophilum pgi E. coli K-12 MG1655,,/var/data/NC_000913_3_Pae_pgi.gb,0.35.4,18:32:01 19 Dec 2020,pgiPAE,SvNS,Troy Sandberg,
A11 F18 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,P. aerophilum pgi E. coli K-12 MG1655,,/var/data/NC_000913_3_Pae_pgi.gb,0.35.4,19:16:03 19 Dec 2020,pgiPAE,SvNS,Troy Sandberg,
A12 F11 I2 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,P. aerophilum pgi E. coli K-12 MG1655,,/var/data/NC_000913_3_Pae_pgi.gb,0.35.4,19:09:40 19 Dec 2020,pgiPAE,SvNS,Troy Sandberg,
A12 F16 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,P. aerophilum pgi E. coli K-12 MG1655,,/var/data/NC_000913_3_Pae_pgi.gb,0.35.4,18:58:32 19 Dec 2020,pgiPAE,SvNS,Troy Sandberg,
A12 F27 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,P. aerophilum pgi E. coli K-12 MG1655,,/var/data/NC_000913_3_Pae_pgi.gb,0.35.4,18:42:13 19 Dec 2020,pgiPAE,SvNS,Troy Sandberg,
A24 F8 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,P. aerophilum pgi E. coli K-12 MG1655,,/var/data/NC_000913_3_Pae_pgi.gb,0.35.4,20:07:08 19 Dec 2020,pgiPAE,SvNS,Troy Sandberg,
A24 F19 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,P. aerophilum pgi E. coli K-12 MG1655,,/var/data/NC_000913_3_Pae_pgi.gb,0.35.4,21:04:43 19 Dec 2020,pgiPAE,SvNS,Troy Sandberg,
A24 F54 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,P. aerophilum pgi E. coli K-12 MG1655,,/var/data/NC_000913_3_Pae_pgi.gb,0.35.4,20:24:45 19 Dec 2020,pgiPAE,SvNS,Troy Sandberg,
A24 F90 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,P. aerophilum pgi E. coli K-12 MG1655,,/var/data/NC_000913_3_Pae_pgi.gb,0.35.4,20:14:32 19 Dec 2020,pgiPAE,SvNS,Troy Sandberg,
A25 F8 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,P. aerophilum pgi E. coli K-12 MG1655,,/var/data/NC_000913_3_Pae_pgi.gb,0.35.4,20:29:18 19 Dec 2020,pgiPAE,SvNS,Troy Sandberg,
A25 F20 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,P. aerophilum pgi E. coli K-12 MG1655,,/var/data/NC_000913_3_Pae_pgi.gb,0.35.4,20:17:31 19 Dec 2020,pgiPAE,SvNS,Troy Sandberg,
A25 F51 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,P. aerophilum pgi E. coli K-12 MG1655,,/var/data/NC_000913_3_Pae_pgi.gb,0.35.4,20:39:21 19 Dec 2020,pgiPAE,SvNS,Troy Sandberg,
