sample_name,clonal_or_population,tech_rep_description,media_description,carbon_source,nitrogen_source,phosphorous_source,sulfur_source,calcium_source,supplement,temperature,strain,strain_details,taxonomy_id,reseq_reference,breseq_version,reseq_date,experiment,project,person,doi
A0 F0 I1 R1,clonal,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpgi,,/var/data/NC_000913_3.gb,0.33.1,14:14:08 24 Feb 2020,pts,CCK,Elsayed Mohamed,
A9 F131 I0 R1,population,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpts,,/var/data/NC_000913_3.gb,0.33.1,06:05:30 27 Feb 2020,pts,CCK,Elsayed Mohamed,
A9 F131 I1 R1,clonal,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpts,,/var/data/NC_000913_3.gb,0.33.1,11:08:17 28 Feb 2020,pts,CCK,Elsayed Mohamed,
A9 F131 I2 R1,clonal,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpts,,/var/data/NC_000913_3.gb,0.33.1,01:00:16 28 Feb 2020,pts,CCK,Elsayed Mohamed,
A10 F135 I0 R1,population,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpts,,/var/data/NC_000913_3.gb,0.33.1,01:57:41 26 Feb 2020,pts,CCK,Elsayed Mohamed,
A10 F135 I1 R1,clonal,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpts,,/var/data/NC_000913_3.gb,0.33.1,22:49:50 25 Feb 2020,pts,CCK,Elsayed Mohamed,
A10 F135 I2 R1,clonal,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpts,,/var/data/NC_000913_3.gb,0.33.1,06:58:43 27 Feb 2020,pts,CCK,Elsayed Mohamed,
A11 F138 I0 R1,population,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpts,,/var/data/NC_000913_3.gb,0.33.1,01:34:44 29 Feb 2020,pts,CCK,Elsayed Mohamed,
A11 F138 I1 R1,clonal,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpts,,/var/data/NC_000913_3.gb,0.33.1,18:58:45 28 Feb 2020,pts,CCK,Elsayed Mohamed,
A11 F138 I2 R1,clonal,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpts,,/var/data/NC_000913_3.gb,0.33.1,14:13:26 29 Feb 2020,pts,CCK,Elsayed Mohamed,
A12 F142 I0 R1,population,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpts,,/var/data/NC_000913_3.gb,0.33.1,22:26:05 28 Feb 2020,pts,CCK,Elsayed Mohamed,
A12 F142 I1 R1,clonal,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpts,,/var/data/NC_000913_3.gb,0.33.1,04:20:20 29 Feb 2020,pts,CCK,Elsayed Mohamed,
A12 F142 I2 R1,clonal,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpts,,/var/data/NC_000913_3.gb,0.33.1,07:18:31 29 Feb 2020,pts,CCK,Elsayed Mohamed,
