sample_name,clonal_or_population,tech_rep_description,media_description,carbon_source,nitrogen_source,phosphorous_source,sulfur_source,calcium_source,supplement,temperature,strain,strain_details,taxonomy_id,reseq_reference,breseq_version,reseq_date,experiment,project,person,doi
A0 F0 I1 R1,clonal,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δtpi,,/var/data/NC_000913_3.gb,0.33.1,22:19:17 29 Feb 2020,tpi,CCK,Elsayed Mohamed,
A13 F89 I0 R1,population,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δtpi,,/var/data/NC_000913_3.gb,0.33.1,12:29:05 25 Feb 2020,tpi,CCK,Elsayed Mohamed,
A13 F89 I1 R1,clonal,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δtpi,,/var/data/NC_000913_3.gb,0.33.1,13:58:33 25 Feb 2020,tpi,CCK,Elsayed Mohamed,
A13 F89 I2 R1,clonal,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δtpi,,/var/data/NC_000913_3.gb,0.33.1,22:30:37 27 Feb 2020,tpi,CCK,Elsayed Mohamed,
A14 F89 I0 R1,population,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δtpi,,/var/data/NC_000913_3.gb,0.33.1,18:43:52 26 Feb 2020,tpi,CCK,Elsayed Mohamed,
A14 F89 I1 R1,clonal,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δtpi,,/var/data/NC_000913_3.gb,0.33.1,06:55:29 29 Feb 2020,tpi,CCK,Elsayed Mohamed,
A14 F89 I2 R1,clonal,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δtpi,,/var/data/NC_000913_3.gb,0.33.1,03:30:18 29 Feb 2020,tpi,CCK,Elsayed Mohamed,
A15 F88 I0 R1,population,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δtpi,,/var/data/NC_000913_3.gb,0.33.1,20:25:11 27 Feb 2020,tpi,CCK,Elsayed Mohamed,
A15 F88 I1 R1,clonal,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δtpi,,/var/data/NC_000913_3.gb,0.33.1,02:36:02 26 Feb 2020,tpi,CCK,Elsayed Mohamed,
A15 F88 I2 R1,clonal,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δtpi,,/var/data/NC_000913_3.gb,0.33.1,05:20:30 27 Feb 2020,tpi,CCK,Elsayed Mohamed,
A16 F88 I0 R1,population,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δtpi,,/var/data/NC_000913_3.gb,0.33.1,23:20:58 24 Feb 2020,tpi,CCK,Elsayed Mohamed,
A16 F88 I1 R1,clonal,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δtpi,,/var/data/NC_000913_3.gb,0.33.1,11:47:42 27 Feb 2020,tpi,CCK,Elsayed Mohamed,
A16 F88 I2 R1,clonal,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δtpi,,/var/data/NC_000913_3.gb,0.33.1,17:20:45 24 Feb 2020,tpi,CCK,Elsayed Mohamed,
