sample_name,clonal_or_population,tech_rep_description,media_description,carbon_source,nitrogen_source,phosphorous_source,sulfur_source,calcium_source,supplement,temperature,strain,strain_details,taxonomy_id,reseq_reference,breseq_version,reseq_date,experiment,project,person,doi
A0 F0 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,H. sapien tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiHSA.gb,0.35.4,18:43:41 19 Dec 2020,tpiHSA,SvNS,Troy Sandberg,
A1 F9 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,H. sapien tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiHSA.gb,0.35.4,19:26:26 19 Dec 2020,tpiHSA,SvNS,Troy Sandberg,
A1 F22 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,H. sapien tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiHSA.gb,0.35.4,19:17:42 19 Dec 2020,tpiHSA,SvNS,Troy Sandberg,
A1 F68 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,H. sapien tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiHSA.gb,0.35.4,19:07:55 19 Dec 2020,tpiHSA,SvNS,Troy Sandberg,
A1 F94 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,H. sapien tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiHSA.gb,0.35.4,18:56:23 19 Dec 2020,tpiHSA,SvNS,Troy Sandberg,
A2 F7 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,H. sapien tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiHSA.gb,0.35.4,18:29:44 19 Dec 2020,tpiHSA,SvNS,Troy Sandberg,
A2 F18 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,H. sapien tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiHSA.gb,0.35.4,18:22:30 19 Dec 2020,tpiHSA,SvNS,Troy Sandberg,
A2 F74 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,H. sapien tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiHSA.gb,0.35.4,18:35:27 19 Dec 2020,tpiHSA,SvNS,Troy Sandberg,
A2 F101 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,H. sapien tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiHSA.gb,0.35.4,18:39:31 19 Dec 2020,tpiHSA,SvNS,Troy Sandberg,
A3 F8 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,H. sapien tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiHSA.gb,0.35.4,18:34:55 19 Dec 2020,tpiHSA,SvNS,Troy Sandberg,
A3 F24 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,H. sapien tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiHSA.gb,0.35.4,18:31:52 19 Dec 2020,tpiHSA,SvNS,Troy Sandberg,
A3 F71 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,H. sapien tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiHSA.gb,0.35.4,18:42:16 19 Dec 2020,tpiHSA,SvNS,Troy Sandberg,
A3 F96 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,H. sapien tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiHSA.gb,0.35.4,18:56:34 19 Dec 2020,tpiHSA,SvNS,Troy Sandberg,
A4 F6 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,H. sapien tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiHSA.gb,0.35.4,18:43:57 19 Dec 2020,tpiHSA,SvNS,Troy Sandberg,
A4 F26 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,H. sapien tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiHSA.gb,0.35.4,18:50:38 19 Dec 2020,tpiHSA,SvNS,Troy Sandberg,
A4 F73 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,H. sapien tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiHSA.gb,0.35.4,19:04:29 19 Dec 2020,tpiHSA,SvNS,Troy Sandberg,
A4 F100 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,H. sapien tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiHSA.gb,0.35.4,18:52:46 19 Dec 2020,tpiHSA,SvNS,Troy Sandberg,
A5 F9 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,H. sapien tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiHSA.gb,0.35.4,18:50:51 19 Dec 2020,tpiHSA,SvNS,Troy Sandberg,
A5 F23 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,H. sapien tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiHSA.gb,0.35.4,18:48:23 19 Dec 2020,tpiHSA,SvNS,Troy Sandberg,
A5 F70 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,H. sapien tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiHSA.gb,0.35.4,18:33:15 19 Dec 2020,tpiHSA,SvNS,Troy Sandberg,
A5 F95 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,H. sapien tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiHSA.gb,0.35.4,19:02:04 19 Dec 2020,tpiHSA,SvNS,Troy Sandberg,
A6 F7 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,H. sapien tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiHSA.gb,0.35.4,18:34:45 19 Dec 2020,tpiHSA,SvNS,Troy Sandberg,
A6 F21 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,H. sapien tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiHSA.gb,0.35.4,18:36:04 19 Dec 2020,tpiHSA,SvNS,Troy Sandberg,
A6 F76 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,H. sapien tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiHSA.gb,0.35.4,18:36:45 19 Dec 2020,tpiHSA,SvNS,Troy Sandberg,
A6 F102 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,H. sapien tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiHSA.gb,0.35.4,19:09:29 19 Dec 2020,tpiHSA,SvNS,Troy Sandberg,
A6 F102 I2 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,H. sapien tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiHSA.gb,0.35.4,19:07:05 19 Dec 2020,tpiHSA,SvNS,Troy Sandberg,
A7 F7 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,H. sapien tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiHSA.gb,0.35.4,19:05:49 19 Dec 2020,tpiHSA,SvNS,Troy Sandberg,
A7 F26 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,H. sapien tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiHSA.gb,0.35.4,18:48:18 19 Dec 2020,tpiHSA,SvNS,Troy Sandberg,
A7 F74 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,H. sapien tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiHSA.gb,0.35.4,19:15:51 19 Dec 2020,tpiHSA,SvNS,Troy Sandberg,
A7 F74 I2 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,H. sapien tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiHSA.gb,0.35.4,20:34:33 19 Dec 2020,tpiHSA,SvNS,Troy Sandberg,
A7 F101 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,H. sapien tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiHSA.gb,0.35.4,19:11:09 19 Dec 2020,tpiHSA,SvNS,Troy Sandberg,
A8 F6 I0 R1,population,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,H. sapien tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiHSA.gb,0.35.4,20:07:21 19 Dec 2020,tpiHSA,SvNS,Troy Sandberg,
A8 F6 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,H. sapien tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiHSA.gb,0.35.4,18:29:06 19 Dec 2020,tpiHSA,SvNS,Troy Sandberg,
A8 F9 I0 R1,population,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,H. sapien tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiHSA.gb,0.35.4,19:33:36 19 Dec 2020,tpiHSA,SvNS,Troy Sandberg,
A8 F9 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,H. sapien tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiHSA.gb,0.35.4,18:33:37 19 Dec 2020,tpiHSA,SvNS,Troy Sandberg,
A8 F23 I0 R1,population,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,H. sapien tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiHSA.gb,0.35.4,19:39:33 19 Dec 2020,tpiHSA,SvNS,Troy Sandberg,
A8 F23 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,H. sapien tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiHSA.gb,0.35.4,18:19:46 19 Dec 2020,tpiHSA,SvNS,Troy Sandberg,
A8 F29 I0 R1,population,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,H. sapien tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiHSA.gb,0.35.4,19:34:01 19 Dec 2020,tpiHSA,SvNS,Troy Sandberg,
A8 F29 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,H. sapien tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiHSA.gb,0.35.4,20:28:51 19 Dec 2020,tpiHSA,SvNS,Troy Sandberg,
A8 F29 I2 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,H. sapien tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiHSA.gb,0.35.4,20:12:03 19 Dec 2020,tpiHSA,SvNS,Troy Sandberg,
A8 F34 I0 R1,population,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,H. sapien tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiHSA.gb,0.35.4,19:23:27 19 Dec 2020,tpiHSA,SvNS,Troy Sandberg,
A8 F34 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,H. sapien tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiHSA.gb,0.35.4,18:22:13 19 Dec 2020,tpiHSA,SvNS,Troy Sandberg,
A8 F34 I2 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,H. sapien tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiHSA.gb,0.35.4,19:39:37 19 Dec 2020,tpiHSA,SvNS,Troy Sandberg,
A8 F34 I3 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,H. sapien tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiHSA.gb,0.35.4,20:53:28 19 Dec 2020,tpiHSA,SvNS,Troy Sandberg,
A8 F40 I0 R1,population,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,H. sapien tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiHSA.gb,0.35.4,19:33:49 19 Dec 2020,tpiHSA,SvNS,Troy Sandberg,
A8 F57 I0 R1,population,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,H. sapien tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiHSA.gb,0.35.4,19:49:41 19 Dec 2020,tpiHSA,SvNS,Troy Sandberg,
A8 F57 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,H. sapien tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiHSA.gb,0.35.4,20:05:23 19 Dec 2020,tpiHSA,SvNS,Troy Sandberg,
A9 F7 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,H. sapien tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiHSA.gb,0.35.4,18:47:25 19 Dec 2020,tpiHSA,SvNS,Troy Sandberg,
A9 F24 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,H. sapien tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiHSA.gb,0.35.4,18:55:09 19 Dec 2020,tpiHSA,SvNS,Troy Sandberg,
A9 F75 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,H. sapien tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiHSA.gb,0.35.4,19:10:42 19 Dec 2020,tpiHSA,SvNS,Troy Sandberg,
A9 F101 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,H. sapien tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiHSA.gb,0.35.4,18:42:10 19 Dec 2020,tpiHSA,SvNS,Troy Sandberg,
A10 F7 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,H. sapien tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiHSA.gb,0.35.4,19:14:48 19 Dec 2020,tpiHSA,SvNS,Troy Sandberg,
A10 F23 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,H. sapien tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiHSA.gb,0.35.4,18:47:23 19 Dec 2020,tpiHSA,SvNS,Troy Sandberg,
A10 F29 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,H. sapien tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiHSA.gb,0.35.4,19:22:31 19 Dec 2020,tpiHSA,SvNS,Troy Sandberg,
A10 F76 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,H. sapien tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiHSA.gb,0.35.4,18:50:23 19 Dec 2020,tpiHSA,SvNS,Troy Sandberg,
A10 F104 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,H. sapien tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiHSA.gb,0.35.4,18:38:13 19 Dec 2020,tpiHSA,SvNS,Troy Sandberg,
