sample_name,clonal_or_population,tech_rep_description,media_description,carbon_source,nitrogen_source,phosphorous_source,sulfur_source,calcium_source,supplement,temperature,strain,strain_details,taxonomy_id,reseq_reference,breseq_version,reseq_date,experiment,project,person,doi
A0 F0 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,P. aerophilum tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiPAE.gb,0.35.4,18:51:46 19 Dec 2020,tpiPAE,SvNS,Troy Sandberg,
A13 F6 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,P. aerophilum tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiPAE.gb,0.35.4,18:31:44 19 Dec 2020,tpiPAE,SvNS,Troy Sandberg,
A13 F6 I2 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,P. aerophilum tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiPAE.gb,0.35.4,18:27:53 19 Dec 2020,tpiPAE,SvNS,Troy Sandberg,
A13 F17 I2 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,P. aerophilum tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiPAE.gb,0.35.4,21:47:47 19 Dec 2020,tpiPAE,SvNS,Troy Sandberg,
A13 F30 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,P. aerophilum tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiPAE.gb,0.35.4,21:07:33 19 Dec 2020,tpiPAE,SvNS,Troy Sandberg,
A13 F127 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,P. aerophilum tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiPAE.gb,0.35.4,20:01:37 19 Dec 2020,tpiPAE,SvNS,Troy Sandberg,
A14 F3 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,P. aerophilum tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiPAE.gb,0.35.4,18:27:45 19 Dec 2020,tpiPAE,SvNS,Troy Sandberg,
A14 F8 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,P. aerophilum tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiPAE.gb,0.35.4,19:01:56 19 Dec 2020,tpiPAE,SvNS,Troy Sandberg,
A14 F19 I0 R1,population,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,P. aerophilum tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiPAE.gb,0.35.4,20:09:04 19 Dec 2020,tpiPAE,SvNS,Troy Sandberg,
A14 F19 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,P. aerophilum tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiPAE.gb,0.35.4,20:49:01 19 Dec 2020,tpiPAE,SvNS,Troy Sandberg,
A14 F19 I2 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,P. aerophilum tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiPAE.gb,0.35.4,21:01:39 19 Dec 2020,tpiPAE,SvNS,Troy Sandberg,
