sample_name,clonal_or_population,tech_rep_description,media_description,carbon_source,nitrogen_source,phosphorous_source,sulfur_source,calcium_source,supplement,temperature,strain,strain_details,taxonomy_id,reseq_reference,breseq_version,reseq_date,experiment,project,person,doi
A0 F0 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,V. cholerae tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiVCH.gb,0.35.4,18:51:54 19 Dec 2020,tpiVCH,SvNS,Troy Sandberg,
A25 F14 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,V. cholerae tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiVCH.gb,0.35.4,18:28:39 19 Dec 2020,tpiVCH,SvNS,Troy Sandberg,
A25 F65 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,V. cholerae tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiVCH.gb,0.35.4,18:32:31 19 Dec 2020,tpiVCH,SvNS,Troy Sandberg,
A26 F14 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,V. cholerae tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiVCH.gb,0.35.4,18:22:48 19 Dec 2020,tpiVCH,SvNS,Troy Sandberg,
A26 F25 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,V. cholerae tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiVCH.gb,0.35.4,18:23:18 19 Dec 2020,tpiVCH,SvNS,Troy Sandberg,
A27 F14 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,V. cholerae tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiVCH.gb,0.35.4,18:49:44 19 Dec 2020,tpiVCH,SvNS,Troy Sandberg,
A27 F24 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,V. cholerae tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiVCH.gb,0.35.4,18:31:04 19 Dec 2020,tpiVCH,SvNS,Troy Sandberg,
A27 F65 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,V. cholerae tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiVCH.gb,0.35.4,18:33:31 19 Dec 2020,tpiVCH,SvNS,Troy Sandberg,
A28 F14 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,V. cholerae tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiVCH.gb,0.35.4,18:53:09 19 Dec 2020,tpiVCH,SvNS,Troy Sandberg,
A28 F25 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,V. cholerae tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiVCH.gb,0.35.4,19:07:39 19 Dec 2020,tpiVCH,SvNS,Troy Sandberg,
A28 F66 I1 R1,clonal,,M9,glucose(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,V. cholerae tpi E. coli K-12 MG1655,,/var/data/SvNS_tpiVCH.gb,0.35.4,18:38:58 19 Dec 2020,tpiVCH,SvNS,Troy Sandberg,
