,sample,study,project,condition,rep_id,Strain Description,Strain,Culture Type,Evolved Sample,Base Media,Temperature (C),pH,Carbon Source (g/L),Nitrogen Source (g/L),Electron Acceptor,Trace Element Mixture,Supplement,Antibiotic for selection,Growth Rate (1/hr),Isolate Type,Additional Details,project_reference,Sequencing Machine,LibraryLayout,Platform,Biological Replicates,doi,GEO,SRX,Run,R1,R2,contact,creator,passed_fastqc,passed_pct_reads_mapped,passed_reads_mapped_to_CDS,passed_global_correlation,full_name,passed_similar_replicates,passed_number_replicates,run_date,n_replicates,,,,,,,
p1k_00125,glu__glu_ale3__1,Glucose Evolution,glu,glu_ale3,1,Escherichia coli GLU.3.412.1,MG1655,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,1.01,Clonal,GLU A3 F412 I1,p1k_00001,p1k_00002,MiSeq,PAIRED,ILLUMINA,1,doi.org/10.1128/AEM.02246-14,GSE61327,SRX699437,SRR1573437,s3://precise-db/raw_data/glu/SRR1573437_1.fastq,s3://precise-db/raw_data/glu/SRR1573437_2.fastq,Ryan LaCroix,Richard Szubin,True,True,True,True,glu:glu_ale3,True,False,4/15/13,1,,,,,,
p1k_00126,glu__glu_ale4__1,Glucose Evolution,glu,glu_ale4,1,Escherichia coli GLU.4.403.1,MG1655,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,0.98,Clonal,GLU A4 F403 I1,p1k_00001,p1k_00002,MiSeq,PAIRED,ILLUMINA,1,doi.org/10.1128/AEM.02246-14,GSE61327,SRX699438,SRR1573438,s3://precise-db/raw_data/glu/SRR1573438_1.fastq,s3://precise-db/raw_data/glu/SRR1573438_2.fastq,Ryan LaCroix,Richard Szubin,True,True,True,True,glu:glu_ale4,True,True,4/16/13,1,,,,,,
p1k_00127,glu__glu_ale5__1,Glucose Evolution,glu,glu_ale5,1,Escherichia coli GLU.5.288.1,MG1655,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,1.01,Clonal,GLU A5 F288 I1,p1k_00001,p1k_00002,MiSeq,PAIRED,ILLUMINA,1,doi.org/10.1128/AEM.02246-14,GSE61327,SRX699439,SRR1573439,s3://precise-db/raw_data/glu/SRR1573439_1.fastq,s3://precise-db/raw_data/glu/SRR1573439_2.fastq,Ryan LaCroix,Richard Szubin,True,True,True,True,glu:glu_ale5,True,False,4/16/13,1,,,,,,
p1k_00128,glu__glu_ale6__1,Glucose Evolution,glu,glu_ale6,1,Escherichia coli GLU.6.406.1,MG1655,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,1,Clonal,GLU A6 F406 I1,p1k_00001,p1k_00002,MiSeq,PAIRED,ILLUMINA,1,doi.org/10.1128/AEM.02246-14,GSE61327,SRX699440,SRR1573440,s3://precise-db/raw_data/glu/SRR1573440_1.fastq,s3://precise-db/raw_data/glu/SRR1573440_2.fastq,Ryan LaCroix,Richard Szubin,True,True,True,True,glu:glu_ale6,True,False,4/19/13,1,,,,,,
p1k_00129,glu__glu_ale8__1,Glucose Evolution,glu,glu_ale8,1,Escherichia coli GLU.8.380.1,MG1655,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,0.99,Clonal,GLU A8 F380 I1,p1k_00001,p1k_00002,MiSeq,PAIRED,ILLUMINA,1,doi.org/10.1128/AEM.02246-14,GSE61327,SRX699442,SRR1573442,s3://precise-db/raw_data/glu/SRR1573442_1.fastq,s3://precise-db/raw_data/glu/SRR1573442_2.fastq,Ryan LaCroix,Richard Szubin,True,True,True,True,glu:glu_ale8,True,False,5/1/13,1,,,,,,
p1k_00130,glu__glu_ale9__1,Glucose Evolution,glu,glu_ale9,1,Escherichia coli GLU.9.433.1,MG1655,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,1.01,Clonal,GLU A9 F422 I1,p1k_00001,p1k_00002,MiSeq,PAIRED,ILLUMINA,1,doi.org/10.1128/AEM.02246-14,GSE61327,SRX699443,SRR1573443,s3://precise-db/raw_data/glu/SRR1573443_1.fastq,s3://precise-db/raw_data/glu/SRR1573443_2.fastq,Ryan LaCroix,Richard Szubin,True,True,True,True,glu:glu_ale9,True,False,5/18/13,1,,,,,,
p1k_00131,glu__glu_ale10__1,Glucose Evolution,glu,glu_ale10,1,Escherichia coli GLU.10.418.1,MG1655,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,1.02,Clonal,GLU A10 F418 I1,p1k_00001,p1k_00002,MiSeq,PAIRED,ILLUMINA,1,doi.org/10.1128/AEM.02246-14,GSE61327,SRX699444,SRR1573444,s3://precise-db/raw_data/glu/SRR1573444_1.fastq,s3://precise-db/raw_data/glu/SRR1573444_2.fastq,Ryan LaCroix,Richard Szubin,True,True,True,True,glu:glu_ale10,True,False,5/19/13,1,,,,,,
p1k_00133,42c__42c_ale1__1,42C Evolution,42c,42c_ale1,1,Escherichia coli 42C.1.124.1,MG1655,Batch,Endpoint,M9,42,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,0.95,Clonal,42C A1 F124 I1,p1k_00132,MiSeq,PAIRED,ILLUMINA,1,doi.org/10.1093/molbev/msu209,GSE132442,SRX6027825,SRR9257364,s3://precise-db/raw_data/42c/ALE-42-glu-end-point-Clone-1_S1_L001_R1_001.fastq.gz,s3://precise-db/raw_data/42c/ALE-42-glu-end-point-Clone-1_S1_L001_R2_001.fastq.gz,Ryan LaCroix,Richard Szubin,True,True,True,True,42c:42c_ale1,True,False,5/7/13,1,,,,,,,
p1k_00134,42c__42c_ale2__1,42C Evolution,42c,42c_ale2,1,Escherichia coli 42C.2.163.1,MG1655,Batch,Endpoint,M9,42,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,0.97,Clonal,42C A2 F163 I1,p1k_00132,MiSeq,PAIRED,ILLUMINA,1,doi.org/10.1093/molbev/msu209,GSE132442,SRX6027826,SRR9257365,s3://precise-db/raw_data/42c/ALE-42-glu-end-point-Clone-2_S1_L001_R1_001.fastq.gz,s3://precise-db/raw_data/42c/ALE-42-glu-end-point-Clone-2_S1_L001_R2_001.fastq.gz,Ryan LaCroix,Richard Szubin,True,True,True,True,42c:42c_ale2,True,False,5/2/13,1,,,,,,,
p1k_00135,42c__42c_ale3__1,42C Evolution,42c,42c_ale3,1,Escherichia coli 42C.3.120.1,MG1655,Batch,Endpoint,M9,42,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,0.92,Clonal,42C A3 F120 I1,p1k_00132,MiSeq,PAIRED,ILLUMINA,1,doi.org/10.1093/molbev/msu209,GSE132442,SRX6027827,SRR9257366,s3://precise-db/raw_data/42c/ALE-42-glu-end-point-Clone-3_S2_L001_R1_001.fastq.gz,s3://precise-db/raw_data/42c/ALE-42-glu-end-point-Clone-3_S2_L001_R2_001.fastq.gz,Ryan LaCroix,Richard Szubin,True,True,True,True,42c:42c_ale3,True,False,5/1/13,1,,,,,,,
